,VER,PER,LEC,ALO,SAI,HAM,GAS,RUS,STR,NOR,BOT,TSU,ALB,SAR,HUL,MAG,OCO,PIA,ZHO,DEV,RIC,LAW
Bahrain Grand Prix,-1.0477306041726746,-0.9099639011951863,-0.7483685221599324,-0.4530739229816795,-0.27094422526926215,-0.21991230805793155,-0.18293905084423656,-0.16911089193592785,-0.1592866136134882,0.01697048387154639,0.17678324217848793,0.21068242826801883,0.2383942993372006,0.38012428149228666,0.4634543295692114,0.5022025642128205,0.5657112914772365,0.6663446371610863,0.6896774537323705,0.8904925007756804,,
Saudi Arabian Grand Prix,-1.2389702769909745,-1.7863532557143778,-0.33353213083860384,-1.231140489756932,-0.45106230818414256,-0.5580553833739538,0.07295662882696977,-0.9549490003952297,-0.3633299415204675,0.7798905713481581,1.467588494492044,0.5463488719451963,1.0342229465709758,0.9350204884760928,0.5467634514390565,0.3483636463708305,-0.026923435186430228,0.5867051646495931,0.5398523403279449,0.7187538218094277,,
Australian Grand Prix,-0.8841466248362007,-0.5223218502075433,,-0.6666609942770034,-0.6515498831658928,-0.6462536683893609,-0.4597276609436708,-0.7207288011695894,-0.45179432761033717,-0.21830543872144909,0.7992466935264496,0.8041612279452187,-0.4554385964912295,1.1041632814675566,-0.15403877205478284,0.45068237473418227,-0.15186730475299595,0.18731678350077346,0.6013167835007733,1.242596317181842,,
Azerbaijan Grand Prix,-1.5831442920957361,-1.6879984587624017,-1.1841651254290693,-1.0509776254290684,-0.6277901254290699,-0.4425864337070566,0.2962553451504206,-0.27352635150202786,-0.41835262542906965,0.3691369705482616,1.0719520218838245,0.712628607822128,0.6929923509148723,0.9589911224821318,0.8896137878614152,0.6307114386333694,0.5816833250818201,0.625737134869644,1.0310801530690035,0.6196862422600642,,
Miami Grand Prix,-1.0103352062754924,-0.9099818228168465,-0.0811535020148416,-0.5457036273281243,-0.3303774995085766,-0.15583029615035804,-0.033244538429407555,-0.4279392163005554,0.02174195265346994,0.3736807086343318,0.24427331871345004,0.03856491916064639,0.21754099571567037,0.6414560390627978,0.298058590716989,0.12823246289743853,0.03705671101773968,0.9243322573863858,0.2630022397348088,0.3829328335991487,,
Monaco Grand Prix,-1.119534197250887,0.163104163689768,-0.6132368768252532,-0.9019990936303669,-0.629155980139095,-0.699544053227474,-0.6103684557726228,-0.5035360970981588,0.7916611707841027,0.16738762647359226,0.6388433016503525,0.1554725627530374,0.6343749961638797,0.9387531354983206,0.431477497314714,0.8828925627530358,-0.6608454282168336,0.30622084734628646,0.5077729805282432,0.6761102344031349,,
Spanish Grand Prix,-1.0091407037431201,-0.5011377296727648,-0.03146219825161971,-0.06637327223286897,-0.301268719093996,-0.6580676500150482,-0.016020036201614817,-0.5441494255791975,-0.04401049540978641,0.05364312992381454,0.8211742029805704,0.002999001042912679,0.5244613741025568,0.8376266731027445,0.11609711324276652,0.41817304076649403,0.056224290774425256,0.1924881531786456,0.020187713564958753,0.21946514697560035,,
Canadian Grand Prix,-1.0030401525132473,-0.27989724955268314,-0.5314117678763652,-0.8030674893739174,-0.49888130192654434,-0.7377138738536357,0.1388364909380494,0.1263747527519786,0.09808307563750139,0.15897644896951274,0.22809445181581298,0.20593179105258438,0.3527605529541247,0.691500000000002,0.6240947776917781,0.5268248702843704,0.06691703246097527,0.160517601720937,0.6075361311776165,0.6548932296677216,,
Austrian Grand Prix,-1.1580386273665928,-0.6245178105203395,-0.7057588063536036,-0.38264188410810784,-0.6137365841313817,-0.2660722373670338,-0.055315525451499724,-0.1147271091619064,-0.29634021466818,-0.41483480146959945,0.5994829630877694,0.6960090031334182,0.13110366006886237,0.40278056384834726,0.607429605263162,1.030148332939415,0.2583660417895246,0.5007954228865051,0.4390272895903007,0.5673696733274232,,
British Grand Prix,-1.074374554299219,-0.27239174846601294,-0.3195223839009297,-0.006765858647044169,-0.07615324809846129,-0.44015716299487134,0.18683400186482477,-0.38820248557122644,0.30095786301265104,-0.8065267282122626,0.5582962992932408,0.49084705686899904,0.07699501091817218,0.3823339107014412,0.41178476359744487,0.8369782542139651,0.3928895711500944,-0.56192536138822,0.48681481788145553,0.5598987972096214,,
