Date,EventName,Circuit,Location,Length (km),Turns,Laps,Turns/km,Mean Speed (km/h)
March 5,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,5.412,15,57,2.77,214.08
March 19,Saudi Arabian Grand Prix,Jeddah Street Circuit,Jeddah,6.175,27,50,4.37,251.65
April 2,Australian Grand Prix,Albert Park Circuit,Melbourne,5.279,16,58,3.03,245.23
April 30,Azerbaijan Grand Prix,Baku City Circuit,Baku,6.003,20,51,3.33,212.46
May 7,Miami Grand Prix,Miami International Autodrome,Miami,5.41,19,57,3.51,222.17
May 21,Emilia Romagna Grand Prix,Imola,Imola,4.909,21,66,4.28,235.99
May 28,Monaco Grand Prix,Circuit de Monaco,Monte Carlo,3.34,19,78,5.69,166.97
June 4,Spanish Grand Prix,Circuit de Barcelona,Montmeló,4.655,16,66,3.44,231.81
June 18,Canadian Grand Prix,Circuit Gilles Villeneuve 14 turns,Montreal,4.361,14,70,3.21,198.95
July 2,Austrian Grand Prix,Red Bull Ring,Spielberg,4.326,10,71,2.31,236.76
July 9,British Grand Prix,Silverstone Circuit,Silverstone,5.891,18,52,3.06,241.55
July 23,Hungarian Grand Prix,Hungaroring,Mogyoród,4.381,14,70,3.2,205.4
July 30,Belgian Grand Prix,Circuit de Spa-Francorchamps,Stavelot,7.004,19,44,2.71,235.99
August 27,Dutch Grand Prix,Circuit Zandvoort,Zandvoort,4.459,14,72,3.14,216.41
September 3,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,5.793,17,53,2.93,259.09
September 17,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,5.063,23,61,4.54,191.76
September 24,Japanese Grand Prix,Suzuka International Racing Course,Suzuka,5.807,18,53,3.1,234.1
October 8,Qatar Grand Prix,Losail International Circuit,Losail,5.38,16,57,2.97,232.15
October 22,United States Grand Prix,Circuit of the Americas,Austin,5.513,20,56,3.63,206.39
October 29,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,4.304,17,71,3.95,199.16
November 5,São Paulo Grand Prix,Autódromo José Carlos Pace,São Paulo,4.309,15,71,3.48,218.76
November 18,Las Vegas Grand Prix,Las Vegas Street Circuit,Las Vegas,6.12,17,50,2.78,238.3
November 26,Abu Dhabi Grand Prix,"Yas Marina Circuit,",Abu Dhabi,5.554,21,55,3.78,226.05
