,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,16
1,ALB,2.0,HARD,27
2,ALB,3.0,HARD,15
3,ALO,1.0,MEDIUM,12
4,ALO,2.0,HARD,24
5,ALO,3.0,HARD,22
6,BOT,1.0,HARD,29
7,BOT,2.0,MEDIUM,28
8,GAS,1.0,MEDIUM,17
9,GAS,2.0,HARD,15
10,GAS,3.0,HARD,26
11,HAM,1.0,MEDIUM,15
12,HAM,2.0,HARD,20
13,HAM,3.0,HARD,23
14,HUL,1.0,MEDIUM,13
15,HUL,2.0,HARD,20
16,HUL,3.0,HARD,25
17,LEC,1.0,MEDIUM,17
18,LEC,2.0,HARD,18
19,LEC,3.0,HARD,23
20,MAG,1.0,MEDIUM,5
21,MAG,2.0,HARD,17
22,MAG,3.0,HARD,35
23,NOR,1.0,MEDIUM,14
24,NOR,2.0,HARD,19
25,NOR,3.0,HARD,25
26,OCO,1.0,MEDIUM,15
27,OCO,2.0,HARD,43
28,PER,1.0,MEDIUM,17
29,PER,2.0,HARD,25
30,PER,3.0,HARD,16
31,PIA,1.0,MEDIUM,13
32,PIA,2.0,HARD,23
33,PIA,3.0,HARD,22
34,RIC,1.0,MEDIUM,7
35,RIC,2.0,HARD,24
36,RIC,3.0,HARD,27
37,RUS,1.0,MEDIUM,14
38,RUS,2.0,HARD,20
39,RUS,3.0,HARD,24
40,SAI,1.0,HARD,23
41,SAI,2.0,HARD,33
42,SAI,3.0,SOFT,1
43,SAR,1.0,MEDIUM,15
44,SAR,2.0,HARD,26
45,SAR,3.0,HARD,17
46,STR,1.0,HARD,22
47,STR,2.0,HARD,20
48,STR,3.0,MEDIUM,16
49,TSU,1.0,MEDIUM,22
50,TSU,2.0,HARD,36
51,VER,1.0,MEDIUM,16
52,VER,2.0,HARD,27
53,VER,3.0,HARD,15
54,ZHO,1.0,MEDIUM,13
55,ZHO,2.0,HARD,24
56,ZHO,3.0,MEDIUM,21
