,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,7
1,ALO,1.0,MEDIUM,8
2,ALO,2.0,HARD,47
3,ALO,3.0,SOFT,2
4,ALO,4.0,SOFT,1
5,BOT,1.0,SOFT,1
6,BOT,2.0,HARD,7
7,BOT,3.0,HARD,45
8,BOT,4.0,SOFT,1
9,BOT,5.0,SOFT,1
10,BOT,6.0,SOFT,2
11,BOT,7.0,SOFT,1
12,DEV,1.0,HARD,8
13,DEV,2.0,MEDIUM,37
14,DEV,3.0,SOFT,9
15,DEV,4.0,SOFT,1
16,DEV,5.0,SOFT,2
17,GAS,1.0,SOFT,8
18,GAS,2.0,HARD,47
19,GAS,3.0,SOFT,2
20,HAM,1.0,MEDIUM,8
21,HAM,2.0,HARD,47
22,HAM,3.0,SOFT,2
23,HAM,4.0,SOFT,1
24,HUL,1.0,MEDIUM,8
25,HUL,2.0,HARD,47
26,HUL,3.0,SOFT,2
27,HUL,4.0,SOFT,1
28,LEC,1.0,MEDIUM,1
29,MAG,1.0,MEDIUM,7
30,MAG,2.0,HARD,1
31,MAG,3.0,HARD,45
32,NOR,1.0,MEDIUM,8
33,NOR,2.0,HARD,47
34,NOR,3.0,SOFT,2
35,NOR,4.0,SOFT,1
36,OCO,1.0,SOFT,1
37,OCO,2.0,HARD,7
38,OCO,3.0,HARD,47
39,OCO,4.0,SOFT,2
40,PER,1.0,HARD,1
41,PER,2.0,MEDIUM,1
42,PER,3.0,HARD,6
43,PER,4.0,HARD,47
44,PER,5.0,SOFT,2
45,PER,6.0,SOFT,1
46,PIA,1.0,MEDIUM,8
47,PIA,2.0,HARD,46
48,PIA,3.0,SOFT,1
49,PIA,4.0,SOFT,2
50,PIA,5.0,SOFT,1
51,RUS,1.0,MEDIUM,7
52,RUS,2.0,HARD,1
53,RUS,3.0,HARD,10
54,SAI,1.0,MEDIUM,7
55,SAI,2.0,HARD,1
56,SAI,3.0,HARD,47
57,SAI,4.0,SOFT,2
58,SAI,5.0,SOFT,1
59,SAR,1.0,HARD,1
60,SAR,2.0,MEDIUM,1
61,SAR,3.0,HARD,6
62,SAR,4.0,MEDIUM,28
63,SAR,5.0,HARD,18
64,SAR,6.0,SOFT,1
65,SAR,7.0,SOFT,2
66,STR,1.0,MEDIUM,8
67,STR,2.0,HARD,47
68,STR,3.0,SOFT,2
69,STR,4.0,SOFT,1
70,TSU,1.0,MEDIUM,8
71,TSU,2.0,HARD,46
72,TSU,3.0,SOFT,1
73,TSU,4.0,SOFT,2
74,TSU,5.0,SOFT,1
75,VER,1.0,MEDIUM,8
76,VER,2.0,HARD,47
77,VER,3.0,SOFT,2
78,VER,4.0,SOFT,1
79,ZHO,1.0,SOFT,1
80,ZHO,2.0,HARD,7
81,ZHO,3.0,HARD,46
82,ZHO,4.0,SOFT,1
83,ZHO,5.0,SOFT,2
84,ZHO,6.0,SOFT,1
