,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,2
1,ALB,2.0,MEDIUM,12
2,ALB,3.0,HARD,27
3,ALB,4.0,HARD,30
4,ALO,1.0,HARD,2
5,ALO,2.0,HARD,13
6,ALO,3.0,MEDIUM,29
7,ALO,4.0,MEDIUM,27
8,BOT,1.0,HARD,2
9,BOT,2.0,HARD,19
10,BOT,3.0,MEDIUM,19
11,BOT,4.0,HARD,30
12,DEV,1.0,MEDIUM,2
13,DEV,2.0,MEDIUM,10
14,DEV,3.0,HARD,25
15,DEV,4.0,MEDIUM,33
16,GAS,1.0,MEDIUM,2
17,GAS,2.0,MEDIUM,12
18,GAS,3.0,HARD,30
19,GAS,4.0,MEDIUM,27
20,HAM,1.0,MEDIUM,2
21,HAM,2.0,MEDIUM,12
22,HAM,3.0,HARD,28
23,HAM,4.0,MEDIUM,29
24,HUL,1.0,MEDIUM,2
25,HUL,2.0,MEDIUM,9
26,HUL,3.0,HARD,2
27,LEC,1.0,MEDIUM,2
28,LEC,2.0,MEDIUM,13
29,LEC,3.0,MEDIUM,32
30,LEC,4.0,HARD,24
31,MAG,1.0,HARD,1
32,MAG,2.0,MEDIUM,1
33,MAG,3.0,HARD,32
34,MAG,4.0,HARD,36
35,NOR,1.0,MEDIUM,2
36,NOR,2.0,MEDIUM,12
37,NOR,3.0,HARD,27
38,NOR,4.0,HARD,30
39,OCO,1.0,MEDIUM,2
40,OCO,2.0,MEDIUM,12
41,OCO,3.0,HARD,26
42,OCO,4.0,HARD,30
43,PER,1.0,MEDIUM,2
44,PER,2.0,MEDIUM,23
45,PER,3.0,MEDIUM,25
46,PER,4.0,HARD,21
47,PIA,1.0,MEDIUM,2
48,PIA,2.0,MEDIUM,12
49,PIA,3.0,HARD,8
50,PIA,4.0,HARD,19
51,PIA,5.0,MEDIUM,29
52,RUS,1.0,MEDIUM,2
53,RUS,2.0,MEDIUM,12
54,RUS,3.0,HARD,27
55,RUS,4.0,MEDIUM,30
56,SAI,1.0,MEDIUM,2
57,SAI,2.0,MEDIUM,13
58,SAI,3.0,MEDIUM,30
59,SAI,4.0,HARD,26
60,SAR,1.0,MEDIUM,2
61,SAR,2.0,MEDIUM,12
62,SAR,3.0,HARD,29
63,SAR,4.0,HARD,27
64,STR,1.0,MEDIUM,2
65,STR,2.0,MEDIUM,13
66,STR,3.0,HARD,21
67,STR,4.0,HARD,18
68,STR,5.0,MEDIUM,17
69,TSU,1.0,MEDIUM,1
70,TSU,2.0,HARD,1
71,TSU,3.0,HARD,21
72,TSU,4.0,HARD,20
73,TSU,5.0,MEDIUM,27
74,VER,1.0,MEDIUM,2
75,VER,2.0,MEDIUM,22
76,VER,3.0,HARD,25
77,VER,4.0,MEDIUM,20
78,VER,5.0,SOFT,2
79,ZHO,1.0,MEDIUM,2
80,ZHO,2.0,MEDIUM,6
81,ZHO,3.0,HARD,30
82,ZHO,4.0,HARD,32
