,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,7
1,ALB,2.0,HARD,44
2,ALO,1.0,MEDIUM,11
3,ALO,2.0,HARD,40
4,BOT,1.0,MEDIUM,6
5,BOT,2.0,HARD,6
6,BOT,3.0,HARD,22
7,BOT,4.0,MEDIUM,16
8,DEV,1.0,HARD,10
9,GAS,1.0,MEDIUM,5
10,GAS,2.0,HARD,18
11,GAS,3.0,HARD,28
12,HAM,1.0,MEDIUM,9
13,HAM,2.0,HARD,42
14,HUL,1.0,HARD,49
15,HUL,2.0,SOFT,1
16,LEC,1.0,MEDIUM,11
17,LEC,2.0,HARD,40
18,MAG,1.0,MEDIUM,10
19,MAG,2.0,HARD,41
20,NOR,1.0,MEDIUM,9
21,NOR,2.0,HARD,42
22,OCO,1.0,HARD,50
23,OCO,2.0,SOFT,1
24,PER,1.0,MEDIUM,11
25,PER,2.0,HARD,40
26,PIA,1.0,MEDIUM,8
27,PIA,2.0,HARD,43
28,RUS,1.0,MEDIUM,11
29,RUS,2.0,HARD,38
30,RUS,3.0,SOFT,2
31,SAI,1.0,MEDIUM,11
32,SAI,2.0,HARD,40
33,SAR,1.0,MEDIUM,8
34,SAR,2.0,HARD,43
35,STR,1.0,MEDIUM,11
36,STR,2.0,HARD,40
37,TSU,1.0,MEDIUM,8
38,TSU,2.0,HARD,43
39,VER,1.0,MEDIUM,10
40,VER,2.0,HARD,41
41,ZHO,1.0,MEDIUM,11
42,ZHO,2.0,HARD,25
