,Driver,Stint,Compound,StintLength
0,ALB,1.0,SOFT,11
1,ALB,2.0,SOFT,15
2,ALB,3.0,HARD,14
3,ALB,4.0,SOFT,17
4,ALO,1.0,SOFT,14
5,ALO,2.0,HARD,20
6,ALO,3.0,HARD,23
7,BOT,1.0,SOFT,11
8,BOT,2.0,HARD,18
9,BOT,3.0,HARD,28
10,DEV,1.0,SOFT,11
11,DEV,2.0,HARD,16
12,DEV,3.0,HARD,29
13,GAS,1.0,SOFT,9
14,GAS,2.0,HARD,16
15,GAS,3.0,HARD,15
16,GAS,4.0,SOFT,17
17,HAM,1.0,SOFT,12
18,HAM,2.0,HARD,18
19,HAM,3.0,HARD,27
20,HUL,1.0,SOFT,11
21,HUL,2.0,HARD,15
22,HUL,3.0,HARD,14
23,HUL,4.0,SOFT,16
24,LEC,1.0,SOFT,13
25,LEC,2.0,HARD,20
26,LEC,3.0,HARD,7
27,MAG,1.0,HARD,15
28,MAG,2.0,HARD,14
29,MAG,3.0,SOFT,11
30,MAG,4.0,SOFT,16
31,NOR,1.0,SOFT,10
32,NOR,2.0,HARD,7
33,NOR,3.0,SOFT,10
34,NOR,4.0,MEDIUM,10
35,NOR,5.0,HARD,10
36,NOR,6.0,SOFT,7
37,NOR,7.0,SOFT,1
38,OCO,1.0,SOFT,12
39,OCO,2.0,HARD,3
40,OCO,3.0,HARD,17
41,OCO,4.0,HARD,9
42,PER,1.0,SOFT,17
43,PER,2.0,SOFT,17
44,PER,3.0,HARD,23
45,PIA,1.0,SOFT,13
46,RUS,1.0,SOFT,13
47,RUS,2.0,HARD,18
48,RUS,3.0,HARD,26
49,SAI,1.0,SOFT,13
50,SAI,2.0,HARD,18
51,SAI,3.0,HARD,26
52,SAR,1.0,SOFT,12
53,SAR,2.0,SOFT,18
54,SAR,3.0,HARD,10
55,SAR,4.0,SOFT,16
56,STR,1.0,SOFT,15
57,STR,2.0,HARD,15
58,STR,3.0,HARD,27
59,TSU,1.0,SOFT,10
60,TSU,2.0,HARD,16
61,TSU,3.0,HARD,14
62,TSU,4.0,SOFT,17
63,VER,1.0,SOFT,14
64,VER,2.0,SOFT,22
65,VER,3.0,HARD,21
66,ZHO,1.0,SOFT,12
67,ZHO,2.0,HARD,20
68,ZHO,3.0,SOFT,22
69,ZHO,4.0,SOFT,2
