,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,12
1,ALB,2.0,HARD,58
2,ALO,1.0,MEDIUM,12
3,ALO,2.0,HARD,29
4,ALO,3.0,HARD,29
5,BOT,1.0,HARD,36
6,BOT,2.0,MEDIUM,34
7,DEV,1.0,MEDIUM,11
8,DEV,2.0,HARD,39
9,DEV,3.0,HARD,19
10,GAS,1.0,SOFT,10
11,GAS,2.0,HARD,23
12,GAS,3.0,HARD,37
13,HAM,1.0,MEDIUM,12
14,HAM,2.0,HARD,28
15,HAM,3.0,MEDIUM,30
16,HUL,1.0,MEDIUM,11
17,HUL,2.0,HARD,20
18,HUL,3.0,HARD,38
19,LEC,1.0,MEDIUM,39
20,LEC,2.0,HARD,31
21,MAG,1.0,HARD,35
22,MAG,2.0,MEDIUM,18
23,MAG,3.0,MEDIUM,16
24,NOR,1.0,MEDIUM,12
25,NOR,2.0,HARD,23
26,NOR,3.0,HARD,35
27,OCO,1.0,MEDIUM,12
28,OCO,2.0,HARD,24
29,OCO,3.0,HARD,34
30,PER,1.0,HARD,37
31,PER,2.0,MEDIUM,31
32,PER,3.0,SOFT,2
33,PIA,1.0,MEDIUM,12
34,PIA,2.0,HARD,25
35,PIA,3.0,HARD,33
36,RUS,1.0,MEDIUM,12
37,RUS,2.0,HARD,42
38,SAI,1.0,MEDIUM,38
39,SAI,2.0,HARD,32
40,SAR,1.0,MEDIUM,7
41,STR,1.0,MEDIUM,11
42,STR,2.0,HARD,16
43,STR,3.0,HARD,43
44,TSU,1.0,MEDIUM,1
45,TSU,2.0,HARD,1
46,TSU,3.0,HARD,68
47,VER,1.0,MEDIUM,12
48,VER,2.0,HARD,30
49,VER,3.0,MEDIUM,28
50,ZHO,1.0,MEDIUM,12
51,ZHO,2.0,HARD,20
52,ZHO,3.0,HARD,37
