,Driver,Stint,Compound,StintLength
0,ALB,1.0,SOFT,44
1,ALB,2.0,MEDIUM,17
2,ALB,3.0,INTERMEDIATE,2
3,ALB,4.0,INTERMEDIATE,1
4,ALB,5.0,INTERMEDIATE,8
5,ALO,1.0,SOFT,2
6,ALO,2.0,INTERMEDIATE,8
7,ALO,3.0,SOFT,38
8,ALO,4.0,SOFT,13
9,ALO,5.0,INTERMEDIATE,3
10,ALO,6.0,INTERMEDIATE,8
11,BOT,1.0,SOFT,16
12,BOT,2.0,MEDIUM,31
13,BOT,3.0,SOFT,12
14,BOT,4.0,INTERMEDIATE,4
15,BOT,5.0,INTERMEDIATE,1
16,BOT,6.0,INTERMEDIATE,8
17,GAS,1.0,SOFT,1
18,GAS,2.0,INTERMEDIATE,10
19,GAS,3.0,SOFT,35
20,GAS,4.0,SOFT,14
21,GAS,5.0,INTERMEDIATE,4
22,GAS,6.0,INTERMEDIATE,8
23,HAM,1.0,MEDIUM,3
24,HAM,2.0,INTERMEDIATE,6
25,HAM,3.0,SOFT,36
26,HAM,4.0,SOFT,15
27,HAM,5.0,INTERMEDIATE,4
28,HAM,6.0,INTERMEDIATE,8
29,HUL,1.0,SOFT,16
30,HUL,2.0,MEDIUM,32
31,HUL,3.0,SOFT,12
32,HUL,4.0,INTERMEDIATE,3
33,HUL,5.0,INTERMEDIATE,1
34,HUL,6.0,INTERMEDIATE,8
35,LAW,1.0,SOFT,1
36,LAW,2.0,INTERMEDIATE,9
37,LAW,3.0,SOFT,7
38,LAW,4.0,MEDIUM,29
39,LAW,5.0,SOFT,13
40,LAW,6.0,INTERMEDIATE,4
41,LAW,7.0,INTERMEDIATE,1
42,LAW,8.0,INTERMEDIATE,8
43,LEC,1.0,SOFT,1
44,LEC,2.0,INTERMEDIATE,10
45,LEC,3.0,SOFT,30
46,MAG,1.0,SOFT,1
47,MAG,2.0,INTERMEDIATE,8
48,MAG,3.0,SOFT,26
49,MAG,4.0,MEDIUM,25
50,MAG,5.0,INTERMEDIATE,3
51,MAG,6.0,INTERMEDIATE,1
52,MAG,7.0,INTERMEDIATE,8
53,NOR,1.0,SOFT,3
54,NOR,2.0,INTERMEDIATE,7
55,NOR,3.0,SOFT,32
56,NOR,4.0,SOFT,18
57,NOR,5.0,INTERMEDIATE,3
58,NOR,6.0,INTERMEDIATE,1
59,NOR,7.0,INTERMEDIATE,8
60,OCO,1.0,SOFT,2
61,OCO,2.0,INTERMEDIATE,8
62,OCO,3.0,SOFT,33
63,OCO,4.0,SOFT,18
64,OCO,5.0,WET,2
65,OCO,6.0,INTERMEDIATE,1
66,OCO,7.0,INTERMEDIATE,8
67,PER,1.0,SOFT,1
68,PER,2.0,INTERMEDIATE,11
69,PER,3.0,SOFT,33
70,PER,4.0,SOFT,15
71,PER,5.0,INTERMEDIATE,3
72,PER,6.0,INTERMEDIATE,1
73,PER,7.0,INTERMEDIATE,8
74,PIA,1.0,SOFT,15
75,PIA,2.0,SOFT,31
76,PIA,3.0,MEDIUM,14
77,PIA,4.0,INTERMEDIATE,3
78,PIA,5.0,INTERMEDIATE,1
79,PIA,6.0,INTERMEDIATE,8
80,RUS,1.0,SOFT,4
81,RUS,2.0,INTERMEDIATE,6
82,RUS,3.0,SOFT,6
83,RUS,4.0,HARD,44
84,RUS,5.0,INTERMEDIATE,3
85,RUS,6.0,INTERMEDIATE,1
86,RUS,7.0,INTERMEDIATE,3
87,RUS,8.0,INTERMEDIATE,5
88,SAI,1.0,SOFT,2
89,SAI,2.0,INTERMEDIATE,8
90,SAI,3.0,SOFT,31
91,SAI,4.0,SOFT,19
92,SAI,5.0,INTERMEDIATE,4
93,SAI,6.0,INTERMEDIATE,8
94,SAR,1.0,SOFT,15
95,STR,1.0,SOFT,4
96,STR,2.0,INTERMEDIATE,5
97,STR,3.0,SOFT,7
98,STR,4.0,MEDIUM,18
99,STR,5.0,SOFT,26
100,STR,6.0,INTERMEDIATE,3
101,STR,7.0,INTERMEDIATE,1
102,STR,8.0,INTERMEDIATE,8
103,TSU,1.0,SOFT,1
104,TSU,2.0,INTERMEDIATE,9
105,TSU,3.0,SOFT,50
106,TSU,4.0,INTERMEDIATE,3
107,TSU,5.0,INTERMEDIATE,1
108,TSU,6.0,INTERMEDIATE,8
109,VER,1.0,SOFT,2
110,VER,2.0,INTERMEDIATE,9
111,VER,3.0,SOFT,38
112,VER,4.0,SOFT,12
113,VER,5.0,INTERMEDIATE,2
114,VER,6.0,WET,1
115,VER,7.0,INTERMEDIATE,8
116,ZHO,1.0,SOFT,1
117,ZHO,2.0,INTERMEDIATE,9
118,ZHO,3.0,MEDIUM,27
119,ZHO,4.0,SOFT,23
120,ZHO,5.0,INTERMEDIATE,3
