,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,15
1,ALB,2.0,HARD,37
2,ALO,1.0,MEDIUM,21
3,ALO,2.0,HARD,31
4,BOT,1.0,HARD,25
5,BOT,2.0,MEDIUM,26
6,GAS,1.0,MEDIUM,10
7,GAS,2.0,HARD,21
8,GAS,3.0,MEDIUM,20
9,HAM,1.0,HARD,27
10,HAM,2.0,MEDIUM,25
11,HUL,1.0,MEDIUM,14
12,HUL,2.0,HARD,25
13,HUL,3.0,MEDIUM,12
14,LAW,1.0,MEDIUM,13
15,LAW,2.0,HARD,20
16,LAW,3.0,MEDIUM,18
17,LEC,1.0,MEDIUM,20
18,LEC,2.0,HARD,32
19,MAG,1.0,HARD,12
20,MAG,2.0,MEDIUM,21
21,MAG,3.0,MEDIUM,18
22,NOR,1.0,MEDIUM,22
23,NOR,2.0,HARD,30
24,OCO,1.0,MEDIUM,24
25,OCO,2.0,HARD,15
26,PER,1.0,MEDIUM,21
27,PER,2.0,HARD,31
28,PIA,1.0,MEDIUM,23
29,PIA,2.0,HARD,18
30,PIA,3.0,MEDIUM,10
31,RUS,1.0,MEDIUM,19
32,RUS,2.0,HARD,33
33,SAI,1.0,MEDIUM,19
34,SAI,2.0,HARD,33
35,SAR,1.0,MEDIUM,14
36,SAR,2.0,HARD,37
37,STR,1.0,MEDIUM,20
38,STR,2.0,HARD,31
39,TSU,1.0,MEDIUM,1
40,VER,1.0,MEDIUM,20
41,VER,2.0,HARD,32
42,ZHO,1.0,MEDIUM,11
43,ZHO,2.0,HARD,22
44,ZHO,3.0,MEDIUM,18
