,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,1
1,ALB,2.0,MEDIUM,12
2,ALB,3.0,SOFT,13
3,ALO,1.0,SOFT,11
4,ALO,2.0,HARD,14
5,ALO,3.0,HARD,28
6,BOT,1.0,SOFT,1
7,BOT,2.0,SOFT,5
8,BOT,3.0,HARD,1
9,GAS,1.0,MEDIUM,18
10,GAS,2.0,HARD,16
11,GAS,3.0,HARD,19
12,HAM,1.0,MEDIUM,16
13,HAM,2.0,HARD,18
14,HAM,3.0,HARD,19
15,HUL,1.0,SOFT,8
16,HUL,2.0,MEDIUM,13
17,HUL,3.0,HARD,16
18,HUL,4.0,MEDIUM,15
19,LAW,1.0,SOFT,10
20,LAW,2.0,MEDIUM,15
21,LAW,3.0,HARD,27
22,LEC,1.0,MEDIUM,17
23,LEC,2.0,MEDIUM,17
24,LEC,3.0,HARD,19
25,MAG,1.0,MEDIUM,12
26,MAG,2.0,HARD,19
27,MAG,3.0,HARD,21
28,NOR,1.0,MEDIUM,17
29,NOR,2.0,HARD,19
30,NOR,3.0,HARD,17
31,OCO,1.0,MEDIUM,1
32,OCO,2.0,HARD,27
33,OCO,3.0,HARD,25
34,PER,1.0,MEDIUM,2
35,PER,2.0,HARD,10
36,PER,3.0,SOFT,1
37,PER,4.0,SOFT,1
38,PER,5.0,SOFT,1
39,PIA,1.0,MEDIUM,13
40,PIA,2.0,HARD,22
41,PIA,3.0,HARD,18
42,RUS,1.0,MEDIUM,24
43,RUS,2.0,HARD,29
44,SAI,1.0,MEDIUM,18
45,SAI,2.0,MEDIUM,20
46,SAI,3.0,HARD,15
47,SAR,1.0,MEDIUM,2
48,SAR,2.0,MEDIUM,3
49,SAR,3.0,MEDIUM,16
50,SAR,4.0,HARD,1
51,STR,1.0,SOFT,14
52,STR,2.0,MEDIUM,6
53,TSU,1.0,SOFT,9
54,TSU,2.0,MEDIUM,21
55,TSU,3.0,HARD,22
56,VER,1.0,MEDIUM,16
57,VER,2.0,MEDIUM,21
58,VER,3.0,HARD,16
59,ZHO,1.0,SOFT,1
60,ZHO,2.0,SOFT,9
61,ZHO,3.0,SOFT,19
62,ZHO,4.0,HARD,23
