,Driver,Stint,Compound,StintLength
0,ALB,1.0,HARD,33
1,ALB,2.0,MEDIUM,1
2,ALB,3.0,MEDIUM,37
3,ALO,1.0,MEDIUM,29
4,ALO,2.0,HARD,5
5,ALO,3.0,HARD,13
6,BOT,1.0,MEDIUM,31
7,BOT,2.0,HARD,3
8,BOT,3.0,HARD,37
9,GAS,1.0,MEDIUM,28
10,GAS,2.0,HARD,6
11,GAS,3.0,HARD,37
12,HAM,1.0,MEDIUM,24
13,HAM,2.0,HARD,10
14,HAM,3.0,MEDIUM,37
15,HUL,1.0,MEDIUM,23
16,HUL,2.0,HARD,11
17,HUL,3.0,MEDIUM,37
18,LEC,1.0,MEDIUM,31
19,LEC,2.0,HARD,3
20,LEC,3.0,HARD,37
21,MAG,1.0,MEDIUM,23
22,MAG,2.0,HARD,9
23,NOR,1.0,SOFT,11
24,NOR,2.0,HARD,22
25,NOR,3.0,MEDIUM,1
26,NOR,4.0,MEDIUM,37
27,OCO,1.0,HARD,34
28,OCO,2.0,MEDIUM,37
29,PER,1.0,MEDIUM,1
30,PIA,1.0,MEDIUM,25
31,PIA,2.0,HARD,9
32,PIA,3.0,MEDIUM,37
33,RIC,1.0,MEDIUM,27
34,RIC,2.0,HARD,7
35,RIC,3.0,HARD,37
36,RUS,1.0,MEDIUM,26
37,RUS,2.0,HARD,8
38,RUS,3.0,MEDIUM,37
39,SAI,1.0,MEDIUM,30
40,SAI,2.0,HARD,4
41,SAI,3.0,HARD,37
42,SAR,1.0,MEDIUM,22
43,SAR,2.0,HARD,12
44,SAR,3.0,MEDIUM,37
45,STR,1.0,MEDIUM,30
46,STR,2.0,HARD,4
47,STR,3.0,HARD,32
48,TSU,1.0,MEDIUM,9
49,TSU,2.0,HARD,25
50,TSU,3.0,HARD,37
51,VER,1.0,MEDIUM,19
52,VER,2.0,HARD,14
53,VER,3.0,HARD,1
54,VER,4.0,HARD,37
55,ZHO,1.0,MEDIUM,21
56,ZHO,2.0,HARD,13
57,ZHO,3.0,HARD,37
