,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,22
1,ALB,2.0,HARD,35
2,ALO,1.0,MEDIUM,24
3,ALO,2.0,HARD,33
4,BOT,1.0,MEDIUM,15
5,BOT,2.0,HARD,42
6,DEV,1.0,MEDIUM,15
7,DEV,2.0,HARD,42
8,GAS,1.0,MEDIUM,15
9,GAS,2.0,HARD,42
10,HAM,1.0,HARD,37
11,HAM,2.0,MEDIUM,20
12,HUL,1.0,HARD,33
13,HUL,2.0,MEDIUM,24
14,LEC,1.0,MEDIUM,17
15,LEC,2.0,HARD,40
16,MAG,1.0,MEDIUM,14
17,MAG,2.0,HARD,43
18,NOR,1.0,SOFT,4
19,NOR,2.0,HARD,53
20,OCO,1.0,HARD,39
21,OCO,2.0,MEDIUM,18
22,PER,1.0,MEDIUM,20
23,PER,2.0,HARD,37
24,PIA,1.0,SOFT,5
25,PIA,2.0,HARD,51
26,RUS,1.0,MEDIUM,17
27,RUS,2.0,HARD,40
28,SAI,1.0,MEDIUM,18
29,SAI,2.0,HARD,39
30,SAR,1.0,MEDIUM,2
31,SAR,2.0,HARD,54
32,STR,1.0,HARD,42
33,STR,2.0,MEDIUM,15
34,TSU,1.0,HARD,36
35,TSU,2.0,MEDIUM,21
36,VER,1.0,HARD,45
37,VER,2.0,MEDIUM,12
38,ZHO,1.0,HARD,31
39,ZHO,2.0,MEDIUM,26
