,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,18
1,ALB,2.0,MEDIUM,13
2,ALB,3.0,HARD,13
3,ALB,4.0,HARD,13
4,ALO,1.0,MEDIUM,11
5,ALO,2.0,MEDIUM,15
6,ALO,3.0,HARD,18
7,ALO,4.0,MEDIUM,13
8,BOT,1.0,SOFT,3
9,BOT,2.0,MEDIUM,18
10,BOT,3.0,HARD,18
11,BOT,4.0,HARD,18
12,GAS,1.0,MEDIUM,11
13,GAS,2.0,MEDIUM,15
14,GAS,3.0,HARD,18
15,GAS,4.0,MEDIUM,13
16,HAM,1.0,SOFT,1
17,HUL,1.0,MEDIUM,13
18,HUL,2.0,HARD,14
19,HUL,3.0,MEDIUM,12
20,HUL,4.0,HARD,17
21,LAW,1.0,SOFT,3
22,LAW,2.0,HARD,18
23,LAW,3.0,HARD,18
24,LAW,4.0,MEDIUM,17
25,LEC,1.0,MEDIUM,12
26,LEC,2.0,MEDIUM,13
27,LEC,3.0,HARD,18
28,LEC,4.0,MEDIUM,14
29,MAG,1.0,SOFT,3
30,MAG,2.0,MEDIUM,18
31,MAG,3.0,HARD,18
32,MAG,4.0,HARD,17
33,NOR,1.0,MEDIUM,13
34,NOR,2.0,MEDIUM,14
35,NOR,3.0,MEDIUM,17
36,NOR,4.0,HARD,13
37,OCO,1.0,MEDIUM,10
38,OCO,2.0,MEDIUM,15
39,OCO,3.0,HARD,18
40,OCO,4.0,MEDIUM,14
41,PER,1.0,HARD,17
42,PER,2.0,MEDIUM,14
43,PER,3.0,MEDIUM,12
44,PER,4.0,MEDIUM,14
45,PIA,1.0,MEDIUM,12
46,PIA,2.0,MEDIUM,13
47,PIA,3.0,MEDIUM,18
48,PIA,4.0,HARD,14
49,RUS,1.0,MEDIUM,1
50,RUS,2.0,MEDIUM,13
51,RUS,3.0,MEDIUM,18
52,RUS,4.0,HARD,18
53,RUS,5.0,SOFT,7
54,SAR,1.0,MEDIUM,13
55,SAR,2.0,MEDIUM,13
56,SAR,3.0,HARD,14
57,STR,1.0,MEDIUM,3
58,STR,2.0,MEDIUM,18
59,STR,3.0,HARD,18
60,STR,4.0,MEDIUM,18
61,TSU,1.0,MEDIUM,9
62,TSU,2.0,MEDIUM,13
63,TSU,3.0,HARD,18
64,TSU,4.0,HARD,16
65,VER,1.0,MEDIUM,17
66,VER,2.0,MEDIUM,17
67,VER,3.0,HARD,17
68,VER,4.0,MEDIUM,6
69,ZHO,1.0,MEDIUM,18
70,ZHO,2.0,HARD,17
71,ZHO,3.0,HARD,17
72,ZHO,4.0,SOFT,5
