,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,17
1,ALB,2.0,HARD,10
2,ALO,1.0,MEDIUM,18
3,ALO,2.0,HARD,32
4,BOT,1.0,MEDIUM,9
5,BOT,2.0,HARD,8
6,BOT,3.0,MEDIUM,18
7,BOT,4.0,SOFT,14
8,DEV,1.0,MEDIUM,17
9,DEV,2.0,HARD,33
10,GAS,1.0,MEDIUM,14
11,GAS,2.0,HARD,36
12,HAM,1.0,HARD,18
13,HAM,2.0,MEDIUM,32
14,HUL,1.0,MEDIUM,11
15,HUL,2.0,HARD,39
16,LEC,1.0,SOFT,16
17,LEC,2.0,HARD,34
18,MAG,1.0,MEDIUM,8
19,MAG,2.0,HARD,42
20,NOR,1.0,SOFT,2
21,NOR,2.0,HARD,17
22,NOR,3.0,MEDIUM,31
23,OCO,1.0,MEDIUM,16
24,OCO,2.0,HARD,34
25,PER,1.0,MEDIUM,18
26,PER,2.0,HARD,32
27,PIA,1.0,MEDIUM,1
28,PIA,2.0,HARD,49
29,RUS,1.0,MEDIUM,18
30,RUS,2.0,HARD,32
31,SAI,1.0,MEDIUM,15
32,SAI,2.0,HARD,35
33,SAR,1.0,HARD,18
34,SAR,2.0,MEDIUM,32
35,STR,1.0,MEDIUM,13
36,STR,2.0,HARD,4
37,TSU,1.0,MEDIUM,17
38,TSU,2.0,HARD,33
39,VER,1.0,MEDIUM,18
40,VER,2.0,HARD,32
41,ZHO,1.0,MEDIUM,11
42,ZHO,2.0,HARD,7
43,ZHO,3.0,MEDIUM,32
