,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,20
1,ALB,2.0,HARD,23
2,ALB,3.0,MEDIUM,19
3,ALO,1.0,MEDIUM,20
4,ALO,2.0,HARD,24
5,ALO,3.0,SOFT,18
6,BOT,1.0,HARD,40
7,BOT,2.0,MEDIUM,12
8,GAS,1.0,MEDIUM,20
9,GAS,2.0,HARD,42
10,HAM,1.0,MEDIUM,20
11,HAM,2.0,HARD,24
12,HAM,3.0,MEDIUM,18
13,HUL,1.0,MEDIUM,20
14,HUL,2.0,HARD,42
15,LAW,1.0,MEDIUM,20
16,LAW,2.0,HARD,42
17,LEC,1.0,SOFT,20
18,LEC,2.0,HARD,42
19,MAG,1.0,MEDIUM,20
20,MAG,2.0,HARD,23
21,MAG,3.0,SOFT,19
22,NOR,1.0,MEDIUM,20
23,NOR,2.0,HARD,42
24,OCO,1.0,MEDIUM,20
25,OCO,2.0,HARD,23
26,PER,1.0,HARD,39
27,PER,2.0,MEDIUM,23
28,PIA,1.0,MEDIUM,20
29,PIA,2.0,HARD,42
30,RUS,1.0,MEDIUM,20
31,RUS,2.0,HARD,24
32,RUS,3.0,MEDIUM,18
33,SAI,1.0,MEDIUM,20
34,SAI,2.0,HARD,42
35,SAR,1.0,MEDIUM,19
36,SAR,2.0,HARD,24
37,SAR,3.0,MEDIUM,19
38,TSU,1.0,SOFT,1
39,VER,1.0,HARD,40
40,VER,2.0,MEDIUM,22
41,ZHO,1.0,SOFT,2
42,ZHO,2.0,HARD,18
43,ZHO,3.0,MEDIUM,42
