,Driver,Stint,Compound,StintLength
0,ALB,1.0,SOFT,16
1,ALB,2.0,HARD,21
2,ALB,3.0,MEDIUM,28
3,ALO,1.0,SOFT,19
4,ALO,2.0,SOFT,25
5,ALO,3.0,HARD,22
6,BOT,1.0,SOFT,5
7,BOT,2.0,HARD,34
8,BOT,3.0,HARD,26
9,DEV,1.0,SOFT,9
10,DEV,2.0,HARD,29
11,DEV,3.0,MEDIUM,27
12,GAS,1.0,SOFT,19
13,GAS,2.0,MEDIUM,20
14,GAS,3.0,HARD,27
15,HAM,1.0,SOFT,24
16,HAM,2.0,MEDIUM,26
17,HAM,3.0,SOFT,16
18,HUL,1.0,SOFT,8
19,HUL,2.0,MEDIUM,18
20,HUL,3.0,HARD,17
21,HUL,4.0,MEDIUM,22
22,LEC,1.0,HARD,16
23,LEC,2.0,SOFT,25
24,LEC,3.0,HARD,25
25,MAG,1.0,SOFT,10
26,MAG,2.0,MEDIUM,14
27,MAG,3.0,HARD,18
28,MAG,4.0,MEDIUM,23
29,NOR,1.0,SOFT,1
30,NOR,2.0,HARD,21
31,NOR,3.0,MEDIUM,28
32,NOR,4.0,SOFT,15
33,OCO,1.0,SOFT,13
34,OCO,2.0,MEDIUM,22
35,OCO,3.0,HARD,31
36,PER,1.0,MEDIUM,27
37,PER,2.0,HARD,23
38,PER,3.0,SOFT,16
39,PIA,1.0,SOFT,17
40,PIA,2.0,HARD,22
41,PIA,3.0,MEDIUM,26
42,RUS,1.0,SOFT,25
43,RUS,2.0,MEDIUM,20
44,RUS,3.0,SOFT,21
45,SAI,1.0,SOFT,15
46,SAI,2.0,MEDIUM,26
47,SAI,3.0,HARD,25
48,SAR,1.0,MEDIUM,17
49,SAR,2.0,HARD,19
50,SAR,3.0,HARD,29
51,STR,1.0,SOFT,14
52,STR,2.0,SOFT,20
53,STR,3.0,HARD,32
54,TSU,1.0,SOFT,10
55,TSU,2.0,HARD,24
56,TSU,3.0,MEDIUM,32
57,VER,1.0,MEDIUM,26
58,VER,2.0,HARD,26
59,VER,3.0,SOFT,14
60,ZHO,1.0,SOFT,9
61,ZHO,2.0,HARD,27
62,ZHO,3.0,HARD,30
