,Driver,Stint,Compound,StintLength
0,ALB,1.0,SOFT,1
1,ALO,1.0,SOFT,1
2,ALO,2.0,SOFT,1
3,ALO,3.0,SOFT,23
4,ALO,4.0,MEDIUM,22
5,ALO,5.0,SOFT,24
6,BOT,1.0,SOFT,1
7,BOT,2.0,SOFT,1
8,BOT,3.0,SOFT,16
9,BOT,4.0,MEDIUM,21
10,GAS,1.0,SOFT,1
11,GAS,2.0,SOFT,1
12,GAS,3.0,SOFT,24
13,GAS,4.0,MEDIUM,20
14,GAS,5.0,SOFT,25
15,HAM,1.0,SOFT,1
16,HAM,2.0,SOFT,1
17,HAM,3.0,SOFT,16
18,HAM,4.0,MEDIUM,28
19,HAM,5.0,SOFT,25
20,HUL,1.0,SOFT,1
21,HUL,2.0,MEDIUM,1
22,HUL,3.0,SOFT,19
23,HUL,4.0,SOFT,25
24,HUL,5.0,SOFT,24
25,LEC,1.0,SOFT,1
26,MAG,1.0,SOFT,1
27,NOR,1.0,SOFT,1
28,NOR,2.0,SOFT,1
29,NOR,3.0,SOFT,25
30,NOR,4.0,MEDIUM,32
31,NOR,5.0,SOFT,12
32,OCO,1.0,SOFT,1
33,OCO,2.0,SOFT,1
34,OCO,3.0,SOFT,12
35,OCO,4.0,MEDIUM,17
36,OCO,5.0,SOFT,20
37,OCO,6.0,SOFT,19
38,PER,1.0,SOFT,1
39,PER,2.0,SOFT,1
40,PER,3.0,SOFT,18
41,PER,4.0,MEDIUM,26
42,PER,5.0,SOFT,25
43,PIA,1.0,SOFT,1
44,PIA,2.0,MEDIUM,1
45,PIA,3.0,MEDIUM,22
46,PIA,4.0,SOFT,28
47,PIA,5.0,SOFT,17
48,RIC,1.0,SOFT,1
49,RIC,2.0,SOFT,1
50,RIC,3.0,SOFT,24
51,RIC,4.0,MEDIUM,29
52,RIC,5.0,SOFT,15
53,RUS,1.0,SOFT,1
54,RUS,2.0,SOFT,1
55,RUS,3.0,SOFT,17
56,RUS,4.0,MEDIUM,26
57,RUS,5.0,SOFT,12
58,SAI,1.0,SOFT,1
59,SAI,2.0,SOFT,1
60,SAI,3.0,SOFT,24
61,SAI,4.0,MEDIUM,25
62,SAI,5.0,SOFT,20
63,SAR,1.0,MEDIUM,1
64,SAR,2.0,MEDIUM,1
65,SAR,3.0,SOFT,15
66,SAR,4.0,SOFT,27
67,SAR,5.0,SOFT,26
68,STR,1.0,SOFT,1
69,STR,2.0,SOFT,1
70,STR,3.0,SOFT,20
71,STR,4.0,MEDIUM,30
72,STR,5.0,SOFT,19
73,TSU,1.0,SOFT,1
74,TSU,2.0,SOFT,1
75,TSU,3.0,SOFT,24
76,TSU,4.0,MEDIUM,29
77,TSU,5.0,SOFT,16
78,VER,1.0,SOFT,1
79,VER,2.0,SOFT,1
80,VER,3.0,SOFT,25
81,VER,4.0,MEDIUM,29
82,VER,5.0,SOFT,15
83,ZHO,1.0,SOFT,1
84,ZHO,2.0,SOFT,1
85,ZHO,3.0,SOFT,13
86,ZHO,4.0,MEDIUM,7
