,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:23.445000,VER,Red Bull Racing,0.0
1,0 days 00:01:23.584000,LEC,Ferrari,0.139
2,0 days 00:01:23.782000,PIA,McLaren,0.337
3,0 days 00:01:23.788000,RUS,Mercedes,0.343
4,0 days 00:01:23.816000,NOR,McLaren,0.371
5,0 days 00:01:23.968000,TSU,AlphaTauri,0.523
6,0 days 00:01:24.078000,GAS,Alpine,0.633
7,0 days 00:01:24.084000,ALO,Aston Martin,0.639
8,0 days 00:01:24.108000,HUL,Haas F1 Team,0.663
9,0 days 00:01:24.116000,PER,Red Bull Racing,0.671
10,0 days 00:01:24.298000,ALB,Williams,0.853
11,0 days 00:01:24.359000,HAM,Mercedes,0.914
12,0 days 00:01:24.391000,OCO,Alpine,0.946
13,0 days 00:01:24.405000,STR,Aston Martin,0.96
14,0 days 00:01:24.442000,RIC,AlphaTauri,0.997
15,0 days 00:01:24.738000,SAI,Ferrari,1.293
16,0 days 00:01:24.764000,MAG,Haas F1 Team,1.319
17,0 days 00:01:24.788000,BOT,Alfa Romeo,1.343
18,0 days 00:01:25.159000,ZHO,Alfa Romeo,1.714
19,,,,
