,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:16.732000,VER,Red Bull Racing,0.0
1,0 days 00:01:16.968000,RUS,Mercedes,0.236
2,0 days 00:01:17.104000,HAM,Mercedes,0.372
3,0 days 00:01:17.139000,ALO,Aston Martin,0.407
4,0 days 00:01:17.270000,SAI,Ferrari,0.538
5,0 days 00:01:17.308000,STR,Aston Martin,0.576
6,0 days 00:01:17.369000,LEC,Ferrari,0.637
7,0 days 00:01:17.412000,HUL,Haas F1 Team,0.68
8,0 days 00:01:17.574000,GAS,Alpine,0.842
9,0 days 00:01:17.609000,ALB,Williams,0.877
10,0 days 00:01:17.768000,OCO,Alpine,1.036
11,0 days 00:01:18.099000,TSU,AlphaTauri,1.367
12,0 days 00:01:18.119000,NOR,McLaren,1.387
13,0 days 00:01:18.129000,MAG,Haas F1 Team,1.397
14,0 days 00:01:18.335000,DEV,AlphaTauri,1.603
15,0 days 00:01:18.517000,PIA,McLaren,1.785
16,0 days 00:01:18.540000,ZHO,Alfa Romeo,1.808
17,0 days 00:01:18.557000,SAR,Williams,1.825
18,0 days 00:01:18.714000,BOT,Alfa Romeo,1.982
19,,,,
