,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:40.203000,LEC,Ferrari,0.0
1,0 days 00:01:40.391000,VER,Red Bull Racing,0.188
2,0 days 00:01:40.495000,PER,Red Bull Racing,0.292
3,0 days 00:01:41.016000,SAI,Ferrari,0.813
4,0 days 00:01:41.177000,HAM,Mercedes,0.974
5,0 days 00:01:41.253000,ALO,Aston Martin,1.05
6,0 days 00:01:41.281000,NOR,McLaren,1.078
7,0 days 00:01:41.569000,TSU,AlphaTauri,1.366
8,0 days 00:01:41.576000,STR,Aston Martin,1.373
9,0 days 00:01:41.611000,PIA,McLaren,1.408
10,0 days 00:01:41.654000,RUS,Mercedes,1.451
11,0 days 00:01:41.798000,OCO,Alpine,1.595
12,0 days 00:01:41.818000,ALB,Williams,1.615
13,0 days 00:01:42.242000,SAR,Williams,2.039
14,0 days 00:01:42.259000,BOT,Alfa Romeo,2.056
15,0 days 00:01:42.642000,ZHO,Alfa Romeo,2.439
16,0 days 00:01:42.755000,HUL,Haas F1 Team,2.552
17,0 days 00:01:43.417000,MAG,Haas F1 Team,3.214
18,0 days 00:01:44.853000,GAS,Alpine,4.65
19,0 days 00:01:55.282000,DEV,AlphaTauri,15.079
