,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:46.168000,VER,Red Bull Racing,0.0
1,0 days 00:01:46.988000,LEC,Ferrari,0.82
2,0 days 00:01:47.045000,PER,Red Bull Racing,0.877
3,0 days 00:01:47.087000,HAM,Mercedes,0.919
4,0 days 00:01:47.152000,SAI,Ferrari,0.984
5,0 days 00:01:47.365000,PIA,McLaren,1.197
6,0 days 00:01:47.669000,NOR,McLaren,1.501
7,0 days 00:01:47.805000,RUS,Mercedes,1.637
8,0 days 00:01:47.843000,ALO,Aston Martin,1.675
9,0 days 00:01:48.841000,STR,Aston Martin,2.673
10,0 days 00:01:53.148000,TSU,AlphaTauri,6.98
11,0 days 00:01:53.671000,GAS,Alpine,7.503
12,0 days 00:01:54.160000,MAG,Haas F1 Team,7.992
13,0 days 00:01:54.694000,BOT,Alfa Romeo,8.526
14,0 days 00:01:56.372000,OCO,Alpine,10.204
15,0 days 00:02:00.314000,ALB,Williams,14.146
16,0 days 00:02:00.832000,ZHO,Alfa Romeo,14.664
17,0 days 00:02:01.535000,SAR,Williams,15.367
18,0 days 00:02:02.159000,RIC,AlphaTauri,15.991
19,0 days 00:02:03.166000,HUL,Haas F1 Team,16.998
