,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:10.567000,VER,Red Bull Racing,0.0
1,0 days 00:01:11.104000,NOR,McLaren,0.537
2,0 days 00:01:11.294000,RUS,Mercedes,0.727
3,0 days 00:01:11.419000,ALB,Williams,0.852
4,0 days 00:01:11.506000,ALO,Aston Martin,0.939
5,0 days 00:01:11.754000,SAI,Ferrari,1.187
6,0 days 00:01:11.880000,PER,Red Bull Racing,1.313
7,0 days 00:01:11.938000,PIA,McLaren,1.371
8,0 days 00:01:12.665000,LEC,Ferrari,2.098
9,0 days 00:01:16.748000,SAR,Williams,6.181
10,0 days 00:01:20.121000,STR,Aston Martin,9.554
11,0 days 00:01:20.128000,GAS,Alpine,9.561
12,0 days 00:01:20.151000,HAM,Mercedes,9.584
13,0 days 00:01:20.230000,TSU,AlphaTauri,9.663
14,0 days 00:01:20.250000,HUL,Haas F1 Team,9.683
15,0 days 00:01:22.067000,ZHO,Alfa Romeo,11.5
16,0 days 00:01:22.110000,OCO,Alpine,11.543
17,0 days 00:01:22.192000,MAG,Haas F1 Team,11.625
18,0 days 00:01:22.260000,BOT,Alfa Romeo,11.693
19,0 days 00:01:23.420000,LAW,AlphaTauri,12.853
