,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:16.609000,HAM,Mercedes,0.0
1,0 days 00:01:16.612000,VER,Red Bull Racing,0.003
2,0 days 00:01:16.694000,NOR,McLaren,0.085
3,0 days 00:01:16.905000,PIA,McLaren,0.296
4,0 days 00:01:16.971000,ZHO,Alfa Romeo,0.362
5,0 days 00:01:16.992000,LEC,Ferrari,0.383
6,0 days 00:01:17.034000,BOT,Alfa Romeo,0.425
7,0 days 00:01:17.035000,ALO,Aston Martin,0.426
8,0 days 00:01:17.045000,PER,Red Bull Racing,0.436
9,0 days 00:01:17.186000,HUL,Haas F1 Team,0.577
10,0 days 00:01:17.703000,SAI,Ferrari,1.094
11,0 days 00:01:17.841000,OCO,Alpine,1.232
12,0 days 00:01:18.002000,RIC,AlphaTauri,1.393
13,0 days 00:01:18.144000,STR,Aston Martin,1.535
14,0 days 00:01:18.217000,GAS,Alpine,1.608
15,0 days 00:01:18.917000,ALB,Williams,2.308
16,0 days 00:01:18.919000,TSU,AlphaTauri,2.31
17,0 days 00:01:19.027000,RUS,Mercedes,2.418
18,0 days 00:01:19.206000,MAG,Haas F1 Team,2.597
19,0 days 00:01:19.248000,SAR,Williams,2.639
