,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:28.877000,VER,Red Bull Racing,0.0
1,0 days 00:01:29.458000,PIA,McLaren,0.581
2,0 days 00:01:29.493000,NOR,McLaren,0.616
3,0 days 00:01:29.542000,LEC,Ferrari,0.665
4,0 days 00:01:29.650000,PER,Red Bull Racing,0.773
5,0 days 00:01:29.850000,SAI,Ferrari,0.973
6,0 days 00:01:29.908000,HAM,Mercedes,1.031
7,0 days 00:01:30.204000,TSU,AlphaTauri,1.327
8,0 days 00:01:30.219000,RUS,Mercedes,1.342
9,0 days 00:01:30.425000,LAW,AlphaTauri,1.548
10,0 days 00:01:30.465000,ALO,Aston Martin,1.588
11,0 days 00:01:30.509000,GAS,Alpine,1.632
12,0 days 00:01:30.537000,ALB,Williams,1.66
13,0 days 00:01:30.586000,OCO,Alpine,1.709
14,0 days 00:01:30.665000,MAG,Haas F1 Team,1.788
15,0 days 00:01:31.049000,BOT,Alfa Romeo,2.172
16,0 days 00:01:31.181000,STR,Aston Martin,2.304
17,0 days 00:01:31.299000,HUL,Haas F1 Team,2.422
18,0 days 00:01:31.398000,ZHO,Alfa Romeo,2.521
19,,,,
