,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:32.726000,LEC,Ferrari,0.0
1,0 days 00:01:32.770000,SAI,Ferrari,0.044
2,0 days 00:01:33.104000,VER,Red Bull Racing,0.378
3,0 days 00:01:33.112000,RUS,Mercedes,0.386
4,0 days 00:01:33.239000,GAS,Alpine,0.513
5,0 days 00:01:33.323000,ALB,Williams,0.597
6,0 days 00:01:33.513000,SAR,Williams,0.787
7,0 days 00:01:33.525000,BOT,Alfa Romeo,0.799
8,0 days 00:01:33.537000,MAG,Haas F1 Team,0.811
9,0 days 00:01:33.555000,ALO,Aston Martin,0.829
10,0 days 00:01:33.837000,HAM,Mercedes,1.111
11,0 days 00:01:33.855000,PER,Red Bull Racing,1.129
12,0 days 00:01:33.979000,HUL,Haas F1 Team,1.253
13,0 days 00:01:34.199000,STR,Aston Martin,1.473
14,0 days 00:01:34.308000,RIC,AlphaTauri,1.582
15,0 days 00:01:34.703000,NOR,McLaren,1.977
16,0 days 00:01:34.834000,OCO,Alpine,2.108
17,0 days 00:01:34.849000,ZHO,Alfa Romeo,2.123
18,0 days 00:01:34.850000,PIA,McLaren,2.124
19,0 days 00:01:36.447000,TSU,AlphaTauri,3.721
