,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:30.984000,SAI,Ferrari,0.0
1,0 days 00:01:31.056000,RUS,Mercedes,0.072
2,0 days 00:01:31.063000,LEC,Ferrari,0.079
3,0 days 00:01:31.270000,NOR,McLaren,0.286
4,0 days 00:01:31.485000,HAM,Mercedes,0.501
5,0 days 00:01:31.575000,MAG,Haas F1 Team,0.591
6,0 days 00:01:31.615000,ALO,Aston Martin,0.631
7,0 days 00:01:31.673000,OCO,Alpine,0.689
8,0 days 00:01:31.808000,HUL,Haas F1 Team,0.824
9,0 days 00:01:31.991000,TSU,AlphaTauri,1.007
10,0 days 00:01:32.099000,PER,Red Bull Racing,1.115
11,0 days 00:01:32.166000,LAW,AlphaTauri,1.182
12,0 days 00:01:32.173000,VER,Red Bull Racing,1.189
13,0 days 00:01:32.274000,GAS,Alpine,1.29
14,0 days 00:01:32.668000,ALB,Williams,1.684
15,0 days 00:01:32.809000,BOT,Alfa Romeo,1.825
16,0 days 00:01:32.902000,PIA,McLaren,1.918
17,0 days 00:01:33.252000,SAR,Williams,2.268
18,0 days 00:01:33.258000,ZHO,Alfa Romeo,2.274
19,0 days 00:01:33.397000,STR,Aston Martin,2.413
