,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:12.272000,VER,Red Bull Racing,0.0
1,0 days 00:01:12.734000,SAI,Ferrari,0.462
2,0 days 00:01:12.776000,NOR,McLaren,0.504
3,0 days 00:01:12.816000,GAS,Alpine,0.544
4,0 days 00:01:12.818000,HAM,Mercedes,0.546
5,0 days 00:01:12.994000,STR,Aston Martin,0.722
6,0 days 00:01:13.001000,OCO,Alpine,0.729
7,0 days 00:01:13.059000,PIA,McLaren,0.787
8,0 days 00:01:13.098000,ALO,Aston Martin,0.826
9,0 days 00:01:13.229000,HUL,Haas F1 Team,0.957
10,0 days 00:01:13.326000,RUS,Mercedes,1.054
11,0 days 00:01:13.334000,PER,Red Bull Racing,1.062
12,0 days 00:01:13.521000,ZHO,Alfa Romeo,1.249
13,0 days 00:01:13.581000,DEV,AlphaTauri,1.309
14,0 days 00:01:13.862000,TSU,AlphaTauri,1.59
15,0 days 00:01:13.977000,BOT,Alfa Romeo,1.705
16,0 days 00:01:14.042000,MAG,Haas F1 Team,1.77
17,0 days 00:01:14.063000,ALB,Williams,1.791
18,0 days 00:01:14.079000,LEC,Ferrari,1.807
19,0 days 00:01:14.699000,SAR,Williams,2.427
