,VER,LEC,PER,NOR,ALO,SAI,RUS,HAM,STR,GAS,ALB,ZHO,SAR,OCO,BOT,PIA,DEV,MAG,TSU,HUL
1.0,0.0,1.6970000000001164,19.536000000000058,8.66800000000012,10.537000000000262,4.022000000000389,16.771000000000186,6.495000000000346,13.739000000000033,14.730000000000018,15.411000000000058,20.725000000000364,22.945000000000164,17.477000000000317,24.383000000000266,22.187000000000353,26.045000000000073,13.669000000000324,28.751000000000204,12.055000000000291
2.0,0.0,1.6860000000001492,23.603000000000065,8.126999999999953,10.822999999999865,3.255999999999858,20.768999999999778,6.195000000000164,13.652000000000044,14.9699999999998,16.43399999999974,24.989000000000033,27.45199999999977,21.89300000000003,29.453999999999724,25.985999999999876,30.686999999999898,33.61000000000013,35.63200000000006,12.181999999999789
3.0,0.0,0.5740000000000691,4.9090000000001055,1.8829999999998108,2.3179999999997563,1.1179999999999382,4.072999999999865,1.6089999999999236,3.074000000000069,3.3330000000000837,3.563000000000102,5.2840000000001055,6.105000000000018,4.471000000000004,6.4409999999998035,5.788000000000011,6.951999999999771,7.295999999999822,7.226000000000113,2.742999999999938
4.0,0.0,1.275000000000091,7.594000000000506,3.6210000000005493,4.518999999999778,1.8660000000004402,6.682000000000244,2.8989999999998872,5.4659999999998945,5.894999999999982,6.163000000000011,8.005999999999858,8.88400000000047,7.179000000000542,10.016000000000076,8.473000000000411,10.496999999999844,11.400000000000091,9.719000000000506,5.112999999999829
5.0,0.0,1.6649999999999636,9.125,4.507999999999811,5.55199999999968,2.2489999999997963,8.75500000000011,3.5789999999997235,7.125,7.704999999999927,8.28399999999965,10.226999999999862,11.587999999999738,9.789999999999964,12.662999999999556,11.055999999999585,13.17199999999957,13.77099999999973,12.21100000000024,6.70299999999952
6.0,0.0,1.9369999999998981,10.429000000000087,5.019999999999527,6.7719999999999345,2.492000000000189,9.981999999999971,4.168999999999869,8.256000000000313,8.761999999999716,9.435999999999694,11.626000000000204,13.318000000000211,11.10400000000027,14.570999999999913,12.46600000000035,15.055999999999585,15.679000000000087,13.99499999999989,7.7039999999997235
7.0,0.0,2.074000000000524,11.430000000000291,5.493000000000393,7.426000000000386,2.681999999999789,11.018000000000029,4.597999999999956,9.07800000000043,9.686000000000604,10.34100000000035,12.619000000000597,14.360999999999876,12.033000000000357,15.958000000000538,13.35400000000027,16.48400000000038,17.208999999999833,15.365999999999985,8.601999999999862
8.0,0.0,2.5229999999992287,12.721999999999753,6.014000000000124,8.686999999999898,3.145999999999731,12.365999999999985,5.210000000000036,9.988999999999578,11.356999999999971,11.78899999999976,17.497999999999593,16.060999999999694,13.506999999999607,17.800999999999476,14.857999999999265,18.381999999999607,19.00799999999981,16.932999999999993,10.847999999999956
9.0,0.0,2.8410000000003492,14.292999999999665,6.717999999999847,9.585000000000036,3.444999999999709,13.972999999999956,5.819000000000415,11.103000000000065,12.658000000000357,13.399000000000342,38.3159999999998,17.636999999999716,14.97400000000016,19.368000000000393,16.154999999999745,20.139000000000124,20.59100000000035,18.66899999999987,12.106999999999971
10.0,0.0,3.334000000000742,15.436999999999898,7.554000000000087,10.695000000000618,4.15900000000056,16.153000000000247,6.8640000000004875,12.28400000000056,13.957000000000335,14.865000000000691,38.90800000000036,19.520000000000437,16.771999999999935,21.235000000000582,17.771999999999935,22.048999999999978,22.54700000000048,20.664999999999964,13.50500000000011
11.0,0.0,3.713999999999942,16.912000000000262,8.476999999999862,11.6850000000004,4.502999999999702,17.63500000000022,7.670000000000073,13.260999999999513,14.78899999999976,16.41899999999987,39.54899999999998,21.30199999999968,18.341999999999643,23.359999999999673,19.277000000000044,24.065999999999804,24.451000000000022,22.66700000000037,19.037999999999556
12.0,0.0,4.581000000000131,17.36200000000008,9.375,12.777000000000044,5.332000000000335,19.171000000000276,8.809000000000196,14.493000000000393,16.212000000000444,18.48400000000038,40.67500000000018,23.34400000000005,20.051000000000386,25.652000000000044,20.783000000000357,29.488000000000284,26.84100000000035,24.76299999999992,36.999000000000706
13.0,0.0,5.243000000000393,18.38500000000022,10.324000000000524,13.490999999999985,5.943000000000211,20.41400000000067,9.765000000000327,15.45300000000043,17.126000000000204,19.720000000000255,41.67500000000018,25.15900000000056,21.416000000000167,27.57000000000062,22.21900000000005,47.4950000000008,28.74200000000019,26.524000000000342,-0.6699999999991633
14.0,0.0,6.628999999999905,25.01800000000003,16.605999999999767,19.63299999999981,9.411000000000058,27.462999999999738,14.597999999999956,21.545000000000073,24.186999999999898,26.795000000000073,55.01900000000023,36.05799999999999,30.413000000000466,37.6840000000002,31.463999999999942,61.80799999999999,38.47100000000046,35.89000000000033,
15.0,0.0,6.817000000000007,24.69500000000062,31.239000000000487,19.075000000000728,12.657000000000153,41.42200000000048,27.69500000000062,25.442000000000007,38.18299999999999,40.65800000000036,51.92500000000018,48.70300000000043,43.056000000000495,38.004000000000815,44.53200000000015,57.1230000000005,38.78600000000006,36.1220000000003,
16.0,0.0,17.77099999999973,19.536999999999352,22.853000000000065,27.938999999999396,23.55699999999979,32.956999999999425,21.683999999999287,35.54699999999957,31.960000000000036,33.365999999999985,42.96099999999933,40.14599999999973,34.23399999999947,32.735999999999876,36.412999999999556,48.69699999999921,31.451000000000022,29.67999999999938,
17.0,0.0,17.136999999999716,19.902000000000044,23.88499999999931,28.634000000000015,22.761999999999716,34.31999999999971,21.654999999999745,36.21599999999944,32.623999999999796,35.00500000000011,43.746000000000095,41.097999999999956,35.81700000000001,35.55899999999929,36.97899999999936,49.649999999999636,33.86699999999928,31.631999999999607,
