,VER,PER,ALO,SAI,HAM,STR,RUS,BOT,GAS,ALB,TSU,SAR,MAG,DEV,HUL,ZHO,NOR,OCO,LEC,PIA
1.0,0.0,2.044000000000324,4.5890000000003965,2.6400000000003274,3.269000000000233,5.651000000000295,3.643000000000029,5.135000000000218,10.63000000000011,7.4340000000001965,8.77200000000039,7.83600000000024,10.31100000000015,10.940000000000055,8.320000000000164,9.44800000000032,6.345000000000255,6.94800000000032,1.21100000000024,9.195000000000164
2.0,0.0,2.9320000000002437,6.407000000000153,3.59900000000016,4.46100000000024,7.56899999999996,5.2590000000000146,7.117000000000189,13.094000000000051,9.889999999999873,11.635000000000218,10.329000000000178,13.858000000000175,14.25500000000011,11.066000000000258,12.565000000000055,8.804000000000087,9.382000000000062,1.98700000000008,12.05099999999993
3.0,0.0,3.756000000000313,7.501000000000204,4.635000000000218,5.675000000000182,9.188000000000102,6.346000000000004,8.508000000000266,15.731000000000222,12.027000000000044,13.872000000000298,12.672000000000025,17.830000000000382,17.16300000000001,13.544000000000324,15.1550000000002,10.575000000000273,11.32400000000007,2.6390000000001237,14.736000000000331
4.0,0.0,4.537999999999556,9.07299999999941,5.643999999999323,6.8969999999999345,10.956999999999425,7.630999999999403,10.354999999999563,18.648999999999432,13.811999999999898,15.845999999999549,15.339999999999236,20.626999999999498,19.55999999999949,16.571999999999207,18.031999999999243,14.865999999999985,12.890999999999622,3.4879999999993743,17.478000000000065
5.0,0.0,4.907000000000153,10.699999999999818,6.73700000000008,8.197000000000116,12.065999999999804,9.144999999999527,13.353000000000065,21.43199999999979,16.38299999999981,18.942000000000007,18.206999999999425,23.93199999999979,22.154999999999745,19.53899999999976,20.810999999999694,17.49499999999989,15.136999999999716,4.117000000000189,20.30499999999938
6.0,0.0,5.639000000000124,12.38799999999992,8.224999999999454,9.966999999999643,13.793999999999869,10.652000000000044,15.631999999999607,24.555999999999585,19.14099999999962,21.841999999999643,21.011999999999716,27.070999999999913,25.29399999999987,22.55500000000029,23.980999999999767,20.32300000000032,17.48199999999997,4.70299999999952,23.43000000000029
7.0,0.0,6.42200000000048,14.096000000000458,9.706000000000131,11.70300000000043,15.717999999999847,12.686999999999898,18.175000000000182,27.66899999999987,21.76600000000053,24.77300000000014,23.88299999999981,30.576000000000022,28.439000000000306,25.68199999999979,27.157000000000153,23.028000000000247,19.949000000000524,5.373000000000502,26.576000000000022
8.0,0.0,7.4399999999996,15.90099999999984,11.331000000000131,13.815999999999804,17.36499999999978,14.842999999999847,20.407999999999447,30.688000000000102,24.529999999999745,27.465000000000146,26.596999999999753,33.70499999999993,31.514999999999418,28.777000000000044,30.186999999999898,25.730999999999767,22.35699999999997,5.832999999999629,29.716999999999643
9.0,0.0,8.076000000000022,17.89800000000014,12.79700000000048,15.861000000000786,19.19300000000021,16.985000000000582,22.405000000000655,36.611000000000786,27.22100000000046,30.197000000000116,29.22700000000077,36.70499999999993,34.8100000000004,32.11400000000049,33.4350000000004,28.236000000000786,24.94500000000062,6.38300000000072,32.972999999999956
10.0,0.0,8.791999999999462,19.73199999999997,14.529999999999745,17.78099999999995,21.01599999999962,19.14800000000014,24.711999999999534,59.503999999999905,29.97099999999955,35.577000000000226,31.990999999999985,40.05499999999938,38.10699999999997,35.99699999999939,36.8090000000002,33.38799999999992,27.434000000000196,7.086999999999534,36.1880000000001
11.0,0.0,9.557999999999993,22.39599999999973,16.553999999999178,20.049999999999272,23.45599999999922,21.75,29.497999999999593,59.78299999999945,35.435999999999694,56.9369999999999,35.039999999999964,43.620999999999185,45.08399999999983,44.30399999999918,40.43399999999929,64.79099999999926,29.985999999999876,7.8159999999998035,39.05699999999979
12.0,0.0,10.16399999999976,24.739000000000487,18.483000000000175,24.795000000000073,25.90400000000045,24.27099999999973,50.35699999999997,60.11999999999989,56.289999999999964,57.48900000000049,40.32899999999972,46.375,67.67700000000059,68.29200000000037,45.71299999999974,65.51400000000012,35.18199999999979,8.713999999999942,41.6220000000003
13.0,0.0,11.018000000000029,26.597999999999956,23.311000000000604,45.49200000000019,28.54200000000037,30.480000000000473,49.904999999999745,60.98700000000008,56.457000000000335,58.478000000000065,62.10199999999986,49.54700000000048,68.1190000000006,69.21600000000035,69.33200000000033,66.54200000000037,57.08100000000013,12.300000000000182,65.21100000000024
14.0,0.0,8.462000000000444,27.515000000000327,41.021999999999935,42.50500000000011,27.248999999999796,50.45399999999972,46.70800000000054,58.551000000000386,53.634000000000015,55.92500000000018,59.220000000000255,49.990999999999985,65.65300000000025,66.76800000000003,67.36700000000019,64.48999999999978,54.4350000000004,29.775000000000546,
15.0,11.307999999999993,0.0,40.137000000000626,31.937000000000808,33.962000000000444,23.020000000000437,40.84400000000005,38.48900000000049,50.46600000000035,45.72200000000066,47.83000000000084,51.18299999999999,47.82000000000062,57.45100000000002,58.67000000000007,59.52600000000075,56.289999999999964,49.228000000000065,21.1820000000007,
16.0,10.338999999999942,0.0,38.90899999999965,31.600000000000364,33.8090000000002,44.126000000000204,39.90700000000015,38.21299999999974,50.64099999999962,46.20499999999993,48.121000000000095,51.40099999999984,69.63699999999972,57.80799999999999,59.03600000000006,59.753999999999905,56.38000000000011,86.16600000000017,20.36499999999978,
17.0,6.6270000000004075,0.0,35.6880000000001,28.40100000000075,31.153000000000247,40.27300000000014,37.15100000000075,36.82600000000002,48.29200000000037,43.939000000000306,45.78200000000015,49.48000000000047,66.59600000000046,55.444000000000415,57.072000000000116,57.53700000000026,56.52100000000064,83.58600000000024,17.036000000000058,
