,VER,ALO,GAS,PER,SAI,HAM,NOR,ALB,PIA,OCO,STR,HUL,LAW,BOT,TSU,MAG,RUS,ZHO,LEC,SAR
1.0,0.0,1.18100000000004,12.307999999999993,8.157999999999902,3.1089999999999236,7.2159999999998945,0.6419999999998254,2.6909999999998035,3.969000000000051,7.489999999999782,5.489000000000033,6.510999999999967,18.866999999999734,6.219000000000051,15.28399999999965,20.358999999999924,1.655999999999949,13.884000000000015,11.215999999999894,8.236999999999625
2.0,1.481999999999971,2.83600000000024,18.27500000000009,9.280999999999949,7.735999999999876,13.076000000000022,0.0,2.380999999999858,4.588000000000193,15.974999999999909,7.2400000000002365,9.224999999999909,40.340000000000146,8.641000000000076,25.639000000000124,30.18100000000004,0.32700000000022555,18.0,21.695000000000164,13.191000000000258
3.0,13.336999999999989,15.390000000000327,12.938000000000102,0.0,19.158000000000357,35.28800000000001,18.34100000000035,15.814000000000306,17.260999999999967,29.26700000000028,22.4670000000001,24.614000000000033,30.355000000000018,24.162000000000262,18.583000000000084,21.576000000000022,10.434000000000196,11.123000000000047,15.17300000000023,32.57600000000002
4.0,14.246000000000095,17.27300000000014,13.60400000000027,0.0,20.550000000000182,54.24399999999969,41.53600000000006,39.8130000000001,40.58799999999974,31.85400000000027,52.16600000000017,48.725000000000364,34.45600000000013,48.0659999999998,23.314000000000306,24.53099999999995,35.8730000000005,12.067000000000007,16.682999999999993,56.92100000000028
5.0,13.606999999999971,18.104999999999563,13.337999999999738,0.0,20.40599999999995,56.19200000000001,41.12199999999939,56.98999999999978,57.386999999999716,31.134000000000015,71.97099999999955,64.23099999999977,35.43499999999949,62.82600000000002,24.03399999999965,24.69799999999941,58.92099999999937,11.943999999999505,17.557999999999993,75.83699999999953
6.0,11.717999999999847,17.688000000000102,13.865999999999985,0.0,20.310999999999694,56.126000000000204,39.13299999999981,67.04899999999998,68.15899999999965,30.791000000000167,72.13299999999981,72.28700000000026,35.83899999999994,70.90200000000004,24.479999999999563,25.971999999999753,58.89899999999943,11.073999999999614,18.82300000000032,89.82399999999961
7.0,7.488999999999578,14.524999999999636,11.411000000000058,0.0,18.10699999999997,54.623999999999796,35.83599999999933,67.4439999999995,69.46799999999985,28.282999999999447,72.39199999999983,73.70299999999952,34.86399999999958,72.07600000000002,23.173999999999978,25.745999999999185,57.399999999999636,10.177999999999884,17.295999999999367,97.4439999999995
8.0,6.122000000000298,13.682000000000698,11.157000000000153,0.0,18.569000000000415,54.31600000000071,36.472999999999956,65.20400000000063,67.34200000000055,28.075000000000728,71.57500000000073,74.3730000000005,36.163000000000466,71.19900000000052,24.46900000000005,26.103000000000065,57.76300000000083,10.463000000000648,17.761000000000422,102.72299999999996
9.0,4.9399999999996,13.511999999999716,11.679999999999382,0.0,19.229999999999563,58.263999999999214,36.36999999999989,60.49199999999928,61.90799999999945,28.586999999999534,76.1869999999999,72.53899999999976,39.08499999999913,68.15999999999985,25.55499999999938,30.646999999999935,57.8779999999997,11.17199999999957,20.72399999999925,102.48799999999937
10.0,4.055000000000291,17.261999999999716,12.320999999999913,0.0,23.228000000000065,73.41899999999987,40.292999999999665,56.29200000000037,55.91200000000026,33.443999999999505,94.23800000000028,67.01800000000003,44.69599999999991,63.46399999999994,31.435999999999694,48.086999999999534,62.43199999999979,15.72400000000016,22.396999999999935,98.98599999999988
