,VER,HAM,LEC,SAI,NOR,RUS,RIC,PIA,ALB,OCO,GAS,TSU,HUL,ZHO,BOT,SAR,STR,ALO,MAG,PER
1.0,0.0,3.7970000000000255,1.6170000000001892,2.3200000000001637,9.762000000000171,5.4650000000001455,3.213000000000193,5.067000000000007,7.50400000000036,10.617999999999938,6.288000000000011,9.445000000000164,5.927000000000135,6.854000000000269,8.007000000000062,10.246000000000095,11.158000000000357,9.062000000000353,8.739000000000033,17.847000000000207
2.0,0.0,4.2520000000004075,1.7380000000002838,2.761000000000422,12.200000000000273,6.106000000000222,3.532000000000153,5.624000000000251,9.197000000000116,13.322000000000116,7.872000000000298,10.997000000000298,7.125,8.507000000000062,9.814000000000306,12.857000000000426,13.701000000000022,11.891000000000076,10.579000000000178,
3.0,0.0,4.8409999999998945,2.1219999999998436,3.3409999999998945,13.261999999999716,6.802999999999884,4.125,6.1469999999999345,10.424999999999727,17.204999999999927,9.103000000000065,12.483999999999924,8.286999999999807,9.793999999999869,11.277000000000044,14.976999999999862,16.432999999999993,14.146999999999935,12.063000000000102,
4.0,0.0,5.019999999999982,2.2289999999998145,3.548999999999978,14.02099999999973,7.230999999999767,4.332999999999629,6.087999999999738,11.086999999999989,24.23199999999997,9.643999999999778,13.68100000000004,8.915999999999713,10.246999999999844,12.111999999999625,20.68399999999974,23.028000000000247,19.55899999999974,12.75,
5.0,0.0,5.365000000000691,2.149000000000342,3.5020000000004075,15.34100000000035,7.514000000000124,4.48700000000008,6.528000000000247,12.088999999999942,19.302999999999884,10.462000000000444,14.73700000000008,9.84100000000035,11.402000000000044,13.351000000000568,17.079999999999927,18.09100000000035,16.51299999999992,14.168999999999869,
6.0,0.0,5.326000000000022,2.193000000000211,3.641000000000531,16.199000000000524,7.628000000000611,4.574000000000524,6.596000000000458,12.943000000000211,20.286000000000058,11.11200000000008,15.428000000000793,10.25800000000072,12.15100000000075,13.914999999999964,18.432999999999993,19.335000000000036,17.890000000000327,14.8700000000008,
7.0,0.0,5.579999999999927,2.229000000000269,3.856999999999971,17.01599999999962,8.381999999999607,4.938000000000102,7.253999999999905,13.891999999999825,21.475999999999658,11.951000000000022,16.243999999999687,11.35400000000027,12.966999999999643,14.805000000000291,19.26000000000022,20.743999999999687,20.18499999999949,15.885999999999513,
8.0,0.0,6.519000000000233,2.1959999999999127,4.208999999999833,19.202000000000226,9.225999999999658,5.610999999999876,7.894999999999527,15.197000000000116,23.207000000000335,13.422999999999774,18.452000000000226,12.920000000000073,14.261999999999716,16.121000000000095,20.98999999999978,22.46600000000035,21.89599999999973,17.432999999999993,
9.0,0.0,7.265000000000327,2.65099999999984,4.7979999999997744,21.585000000000036,10.108000000000175,6.331000000000131,9.09900000000016,16.88500000000022,25.123999999999796,15.163000000000466,24.141999999999825,14.557999999999993,15.934000000000196,17.728000000000065,22.605999999999767,24.382000000000517,23.663000000000466,18.738000000000284,
10.0,0.0,7.774000000000342,3.097000000000662,5.469000000000051,22.10900000000038,10.673999999999978,7.188000000000102,10.003999999999905,18.60900000000038,26.735999999999876,16.767000000000735,50.22600000000057,16.054000000000087,17.749000000000706,19.551000000000386,23.838000000000648,25.983000000000175,25.14600000000064,20.42700000000059,
11.0,0.0,8.09900000000016,3.338999999999942,5.707000000000335,26.136000000000422,11.689000000000306,9.125,10.912000000000262,19.907000000000153,28.36999999999989,18.041000000000167,49.10099999999966,17.45300000000043,18.936999999999898,20.756000000000313,24.92200000000048,26.73199999999997,27.828999999999724,21.784999999999854,
12.0,0.0,8.086999999999534,3.4039999999995416,6.21100000000024,46.35599999999977,12.268000000000029,9.609999999999673,11.390999999999622,21.16399999999976,29.841999999999643,19.58600000000024,48.456999999999425,18.84900000000016,20.363000000000284,22.108000000000175,25.91399999999976,27.722999999999956,29.096999999999753,23.279999999999745,
