,VER,PER,ALO,RUS,SAI,HAM,LEC,GAS,OCO,MAG,TSU,STR,BOT,ALB,HUL,ZHO,NOR,DEV,PIA,SAR
1.0,5.532999999999902,0.0,1.056999999999789,3.27599999999984,1.887000000000171,8.172000000000025,4.210999999999785,2.5729999999998654,5.992999999999938,4.668999999999869,9.545000000000073,10.097999999999956,5.123000000000047,7.154999999999745,6.532000000000153,9.715000000000146,11.561999999999898,11.987999999999829,8.567000000000007,10.650000000000091
2.0,5.830000000000382,0.0,1.2690000000002328,3.468000000000302,2.1390000000001237,9.124000000000251,4.868000000000393,2.7760000000002947,7.23700000000008,5.263000000000375,10.895000000000437,11.885000000000218,6.7830000000003565,8.369000000000142,7.882000000000062,11.34900000000016,13.281000000000404,13.75400000000036,10.178000000000338,17.7800000000002
3.0,6.441000000000258,0.0,1.0109999999999673,3.6469999999999345,2.105000000000018,9.664999999999964,6.258000000000266,2.7899999999999636,7.669000000000324,6.3270000000002256,11.657000000000153,12.696000000000367,7.200000000000273,9.010999999999967,8.22400000000016,12.202000000000226,13.634000000000015,14.908000000000357,10.614000000000033,59.88900000000058
4.0,6.296999999999571,0.0,1.4039999999995416,4.207999999999629,2.592999999999847,10.701000000000022,8.009000000000015,3.242000000000189,8.934000000000196,7.3270000000002256,12.381999999999607,13.564000000000306,8.613999999999578,10.201000000000022,9.608000000000175,12.957000000000335,19.381000000000313,15.954999999999927,11.493999999999687,60.396999999999935
5.0,5.91399999999976,0.0,1.9020000000000437,4.69800000000032,2.5839999999998327,11.246000000000095,8.17700000000059,3.355999999999767,9.030999999999949,7.350000000000364,12.822000000000116,13.943000000000211,9.533000000000357,10.784999999999854,10.057999999999993,13.311999999999898,36.60100000000057,17.011000000000422,17.20300000000043,61.072000000000116
6.0,5.305000000000291,0.0,1.481999999999971,4.640999999999622,2.0709999999999127,11.800000000000182,8.434000000000196,3.3980000000001382,9.19000000000051,7.582999999999629,13.051000000000386,14.414999999999964,9.99200000000019,11.11200000000008,10.530999999999949,13.703999999999724,36.154999999999745,17.884000000000015,31.859999999999673,61.10400000000027
7.0,4.994999999999891,0.0,1.6840000000001965,4.668000000000575,2.425000000000182,12.295000000000073,8.842999999999847,3.9020000000000437,9.682000000000698,7.881000000000313,13.445000000000618,15.143000000000029,10.79700000000048,11.791000000000167,11.088000000000648,14.377000000000407,36.35699999999997,19.061000000000604,32.09100000000035,61.90900000000056
8.0,4.799999999999272,0.0,1.53899999999976,5.11699999999928,2.27599999999984,13.595999999999549,9.000999999999294,3.9739999999992506,9.856999999999971,7.875,14.27099999999973,15.66399999999976,11.510999999999513,12.915999999999258,12.297999999999774,14.841999999999643,36.3799999999992,19.774999999999636,32.305999999999585,62.555999999999585
9.0,4.692000000000007,0.0,1.3940000000002328,5.372000000000298,2.287000000000262,13.86999999999989,9.220000000000255,5.149999999999636,10.059000000000196,8.072000000000116,14.622000000000298,16.34600000000046,12.141999999999825,13.412999999999556,12.676000000000386,15.333999999999833,36.52099999999973,20.94300000000021,32.40899999999965,63.185999999999694
10.0,4.832999999999629,0.0,1.8599999999996726,6.324999999999818,2.8099999999994907,15.225999999999658,9.943000000000211,7.369999999999891,10.701000000000022,9.023999999999432,15.782000000000153,17.192000000000007,13.305000000000291,14.71599999999944,14.014999999999418,16.516999999999825,37.090000000000146,22.33299999999963,33.70499999999993,63.98099999999977
11.0,4.605999999999767,0.0,2.3809999999994034,6.831000000000131,3.3029999999998836,16.086999999999534,10.34099999999944,8.036999999999352,11.318000000000211,9.976999999999862,16.868999999999687,18.728000000000065,14.203999999999724,15.693000000000211,14.97899999999936,17.475999999999658,38.13199999999961,23.652999999999338,36.32099999999991,65.17000000000007
12.0,4.539999999999964,0.0,2.738999999999578,7.087999999999738,3.5109999999995125,17.088999999999942,11.03399999999965,8.996000000000095,12.055000000000291,10.75500000000011,17.68499999999949,20.076000000000022,14.984999999999673,16.61499999999978,15.99200000000019,18.407999999999447,39.11399999999958,25.144000000000233,38.84400000000005,66.61700000000019
13.0,4.359999999999673,0.0,3.2219999999997526,8.152000000000044,4.0090000000000146,18.755999999999403,13.71099999999933,10.338999999999942,14.451999999999316,13.384999999999309,19.33100000000013,21.925999999999476,16.420999999999367,18.304000000000087,17.621000000000095,20.188999999999396,40.34299999999985,26.98199999999997,42.000999999999294,68.3819999999996
14.0,3.9290000000000873,0.0,3.3720000000002983,8.523000000000138,4.7039999999997235,19.953999999999724,14.833999999999833,11.457999999999629,15.760999999999513,19.488999999999578,20.583999999999833,23.05999999999949,17.690999999999804,19.384000000000015,18.430999999999585,21.429000000000087,40.89099999999962,28.353000000000065,42.90800000000036,69.69499999999971
15.0,3.7590000000000146,0.0,4.48700000000008,8.751000000000204,5.161000000000058,20.704999999999927,15.666000000000167,17.260999999999513,16.416000000000167,34.248999999999796,21.693999999999505,23.863000000000284,24.71900000000005,21.19300000000021,20.300999999999476,22.574999999999818,41.685999999999694,34.55799999999999,43.720000000000255,71.3149999999996
