,VER,ALO,OCO,HAM,RUS,LEC,GAS,SAI,NOR,PIA,BOT,DEV,ZHO,ALB,TSU,PER,HUL,SAR,MAG,STR
1.0,0.0,1.28899999999976,2.40099999999984,4.346999999999753,6.148999999999887,4.869999999999891,5.462999999999738,3.1520000000000437,7.795999999999822,8.83199999999988,12.67599999999993,9.210999999999785,34.547000000000025,10.377999999999702,7.0789999999997235,33.95199999999977,35.853999999999814,13.451000000000022,14.186999999999898,15.32400000000007
2.0,0.0,1.568000000000211,3.3350000000000364,5.507000000000062,7.937000000000353,6.052000000000135,6.731999999999971,4.378000000000156,10.039000000000215,11.269000000000233,13.330000000000382,11.608000000000175,35.93700000000035,11.988000000000284,9.0,34.289000000000215,36.92100000000028,13.74200000000019,14.995000000000346,15.946000000000367
3.0,0.0,1.606999999999971,3.9650000000001455,6.538000000000011,9.153999999999996,6.999000000000251,7.940000000000055,5.262000000000171,11.361000000000331,12.727000000000317,14.398000000000138,13.114000000000033,33.865999999999985,13.61700000000019,10.207000000000335,31.602000000000317,35.06800000000021,14.887000000000171,15.849999999999909,16.800000000000182
4.0,0.0,2.25400000000036,5.150000000000091,7.765000000000327,11.055000000000291,8.338000000000193,9.388000000000375,6.6150000000002365,13.441000000000258,15.006000000000313,16.610000000000127,15.361000000000331,32.68299999999999,15.764000000000124,12.110000000000127,30.008000000000266,34.08699999999999,17.00400000000036,18.128000000000156,18.669000000000324
5.0,0.0,2.173999999999978,6.17200000000048,8.48200000000088,11.876000000000204,9.156000000000859,10.262000000000626,7.319000000000415,14.923999999999978,16.694000000000415,18.613000000000284,17.132000000000517,31.590000000000146,17.712000000000444,13.387000000000626,28.25800000000072,33.113000000000284,19.199000000000524,20.33300000000054,21.088000000000648
6.0,0.0,2.4859999999998763,7.26299999999992,9.800000000000182,13.181000000000495,10.345000000000255,11.463999999999942,8.443000000000211,16.328999999999724,18.301000000000386,20.13799999999992,18.71600000000035,31.154999999999745,19.23700000000008,14.476999999999862,27.076000000000022,32.46399999999994,20.871000000000095,22.045000000000073,23.233000000000175
7.0,0.0,2.3580000000001746,8.412000000000262,10.818000000000211,14.131000000000313,11.356999999999971,12.4350000000004,9.507000000000517,17.347999999999956,19.537000000000262,21.67200000000048,20.121000000000095,30.93000000000029,20.65900000000056,15.556000000000495,26.842000000000553,32.16400000000067,22.47699999999986,23.923999999999978,25.017000000000735
8.0,0.0,2.3520000000007713,9.548000000000684,12.472000000000662,15.72400000000016,13.125,14.355000000000473,10.747000000000298,18.60200000000077,20.968000000000757,23.048999999999978,21.467000000000553,30.787000000000262,22.057999999999993,17.110000000000582,27.382000000000517,32.003999999999905,24.027000000000044,25.579000000000633,26.353000000000065
9.0,0.0,3.104000000000269,11.111000000000786,14.270000000000437,17.718000000000757,14.903000000000247,16.11200000000008,12.022000000000844,20.636000000000422,23.283000000000357,25.025000000000546,23.890000000000327,31.27900000000045,24.32000000000062,18.938000000000102,28.605000000000473,32.40600000000086,26.525000000000546,27.462000000000444,27.981000000000677
10.0,0.0,3.344000000000051,12.48700000000008,15.358999999999469,19.199999999999818,16.037999999999556,17.337999999999738,13.00799999999981,22.604999999999563,25.213999999999942,27.467999999999847,25.76299999999992,32.64399999999932,26.573999999999614,20.550999999999476,31.307999999999993,33.349999999999454,29.774999999999636,30.30699999999979,30.789999999999964
11.0,0.0,3.735000000000582,13.900000000000546,16.42700000000059,20.825000000000728,17.342000000000553,18.847000000000662,14.414999999999964,24.895000000000437,27.256000000000313,29.99000000000069,27.975000000000364,35.38800000000083,28.994000000000597,22.99000000000069,34.298000000000684,36.08800000000065,33.00600000000031,33.27300000000014,33.69000000000051
12.0,0.0,4.329999999999927,15.42199999999957,17.66399999999976,22.291000000000167,18.498999999999796,20.435999999999694,16.368999999999687,28.179000000000087,30.5649999999996,33.20300000000043,31.16399999999976,38.71399999999994,32.310999999999694,25.623999999999796,37.738000000000284,39.259000000000015,36.65099999999984,36.766999999999825,37.33600000000024
13.0,0.0,5.338999999999942,16.01299999999992,18.313999999999396,22.644000000000233,19.08299999999963,20.715000000000146,17.22099999999955,29.722999999999956,32.39599999999973,35.279999999999745,33.14899999999943,41.84099999999944,34.761999999999716,26.98999999999978,41.10099999999966,42.64899999999943,39.91899999999987,40.21900000000005,40.748999999999796
14.0,0.0,5.782000000000153,17.00300000000061,19.671000000000276,23.86499999999978,20.412000000000262,22.213999999999942,18.26299999999992,31.514000000000124,34.615999999999985,38.28200000000015,35.5630000000001,45.42900000000009,37.95600000000013,28.40599999999995,44.319000000000415,46.83800000000065,43.17200000000048,43.48199999999997,43.97900000000027
15.0,0.0,6.1469999999999345,17.942000000000007,20.78099999999995,25.317000000000007,21.644999999999527,23.41899999999987,19.067000000000007,33.289999999999964,36.67099999999937,42.11499999999978,37.5649999999996,48.74799999999959,41.76899999999932,29.76599999999962,47.65799999999945,50.73099999999977,46.37299999999959,46.6899999999996,47.102999999999156
16.0,0.0,6.493000000000393,19.065999999999804,22.266999999999825,26.99499999999989,23.136999999999716,24.89300000000003,20.48199999999997,35.45399999999972,38.5649999999996,45.77099999999973,39.74499999999989,52.65099999999984,45.38799999999992,31.188000000000102,51.32099999999991,54.1880000000001,50.01999999999953,50.32999999999993,50.823999999999614
17.0,0.0,7.332000000000335,20.57800000000043,23.661000000000058,28.378999999999905,24.511000000000422,26.02300000000014,21.98199999999997,37.53099999999995,40.75800000000072,49.488000000000284,42.06700000000001,56.460000000000036,49.152000000000044,32.69599999999991,55.77599999999984,57.499000000000706,56.39600000000064,52.676000000000386,55.134000000000015
18.0,0.0,8.148000000000138,22.08600000000024,25.318999999999505,29.89599999999973,26.159999999999854,27.764000000000124,23.44799999999941,39.82899999999972,42.810999999999694,51.539999999999964,44.63599999999951,61.271999999999935,70.85400000000027,35.01000000000022,57.15599999999995,61.95299999999952,61.09400000000005,54.6909999999998,56.1909999999998
19.0,0.0,8.583000000000538,23.337000000000444,26.70300000000043,31.3720000000003,27.527000000000044,29.050000000000182,24.624000000000706,42.51000000000022,45.40400000000045,52.54100000000017,47.04700000000048,66.83600000000024,77.22400000000016,36.754000000000815,58.20000000000073,64.96600000000035,66.59900000000016,56.3130000000001,57.28300000000036
20.0,0.0,8.498999999999796,24.210000000000036,27.609999999999673,32.477999999999156,28.677999999999884,30.422999999999774,25.442000000000007,44.28099999999995,47.47099999999955,53.35099999999966,49.02099999999973,70.19599999999991,78.47999999999956,38.67099999999937,58.964999999999236,65.39399999999932,86.59599999999955,57.45299999999952,58.1299999999992
