,PER,VER,ALO,RUS,HAM,SAI,LEC,OCO,GAS,MAG,TSU,HUL,ZHO,DEV,PIA,SAR,NOR,BOT,ALB,STR
1.0,0.40599999999994907,8.37099999999964,0.0,1.8009999999999309,4.186999999999898,2.561999999999898,6.454999999999927,3.393999999999778,5.320999999999913,7.842999999999847,8.737999999999829,7.901999999999589,7.712999999999738,9.888999999999669,10.402999999999793,10.413000000000011,9.471999999999753,8.760999999999967,9.134000000000015,2.2419999999997344
2.0,0.7449999999998909,10.483999999999924,0.0,2.3479999999999563,5.807999999999993,3.5779999999999745,7.794999999999618,4.832999999999629,6.809999999999945,9.49499999999989,11.341999999999643,10.004999999999654,8.760999999999967,15.069999999999709,39.64099999999962,14.271999999999935,16.97499999999991,11.95699999999988,12.48299999999972,2.9989999999997963
3.0,0.4339999999997417,11.86999999999989,0.0,2.507999999999811,7.295999999999822,3.7919999999999163,8.480000000000018,5.7590000000000146,7.713999999999942,11.15099999999984,13.351999999999862,11.402999999999793,9.880999999999858,16.875,40.13500000000022,16.128999999999905,45.36899999999969,13.773000000000138,14.407999999999902,3.0979999999999563
4.0,0.0,12.287999999999556,0.5789999999997235,2.019000000000233,7.47400000000016,3.1350000000002183,8.265999999999622,5.403000000000247,7.920000000000073,12.16399999999976,14.273000000000138,12.911000000000058,10.154999999999745,17.636999999999716,39.5619999999999,16.88799999999992,45.91100000000006,14.898999999999432,15.235999999999876,2.57300000000032
5.0,0.0,12.774000000000342,0.6260000000002037,2.5690000000004147,8.467999999999847,3.6950000000006185,9.668000000000575,6.378999999999905,9.020000000000437,14.588999999999942,16.105000000000473,14.791000000000167,11.596000000000458,19.756000000000313,40.35100000000057,18.89600000000064,46.96700000000055,16.623000000000502,17.47100000000046,3.1710000000002765
6.0,0.0,13.993000000000393,0.6630000000004657,3.425000000000182,9.820000000000618,4.7409999999999854,10.394000000000233,7.552000000000589,10.235999999999876,16.978000000000065,18.271999999999935,16.265000000000327,12.903000000000247,21.9970000000003,41.08899999999994,21.31800000000021,48.3090000000002,19.420000000000073,19.85400000000027,4.1010000000005675
7.0,0.0,15.403000000000247,0.8079999999999927,4.404000000000451,11.636000000000422,5.680000000000291,12.234000000000378,9.122000000000298,13.096000000000458,19.00500000000011,20.650000000000546,18.386000000000422,15.132000000000517,24.80699999999979,42.44800000000032,24.32300000000032,49.802999999999884,22.817000000000007,23.15400000000045,4.963999999999942
8.0,0.0,16.05500000000029,0.7290000000002692,5.084000000000742,13.280999999999949,6.524000000000342,13.615000000000691,10.856999999999971,15.264000000000124,23.715000000000146,22.74200000000019,20.191000000000713,17.78900000000067,27.550000000000182,43.59700000000066,28.105000000000473,50.84900000000016,27.171000000000276,25.730000000000473,6.1030000000000655
9.0,0.0,17.360999999999876,0.8739999999997963,6.719000000000051,16.003999999999905,8.646999999999935,14.72400000000016,12.52599999999984,17.557999999999993,42.42399999999998,24.771999999999935,22.548999999999978,19.985000000000582,30.54399999999987,45.24200000000019,31.009000000000015,52.31500000000051,32.53300000000036,27.601000000000568,7.966000000000349
10.0,0.0,18.69800000000032,1.6030000000000655,7.878000000000611,17.874000000000706,10.597000000000662,16.230000000000473,14.375,19.71400000000085,44.152000000000044,26.853000000000065,24.60900000000038,22.132000000000517,33.030000000000655,46.918000000000575,33.660000000000764,54.350000000000364,52.91600000000017,29.806000000000495,9.303000000000793
11.0,0.0,19.929000000000087,2.509999999999309,9.20299999999952,19.70799999999963,12.363999999999578,17.279999999999745,16.201000000000022,21.661000000000058,45.83299999999963,28.978000000000065,29.599999999999454,27.304000000000087,35.474999999999454,48.74199999999928,36.31999999999971,56.375,55.05899999999929,31.641999999999825,10.739999999999782
12.0,0.0,20.61700000000019,3.2770000000000437,10.326000000000022,22.115999999999985,14.148000000000138,18.557999999999993,18.30699999999979,23.628999999999905,47.478000000000065,30.657000000000153,48.89300000000003,49.01800000000003,37.59699999999975,50.94599999999991,38.80499999999938,58.5,56.82600000000002,33.547999999999774,13.101999999999862
13.0,0.0,21.537000000000262,3.931999999999789,11.105999999999767,23.675000000000182,15.140999999999622,19.52099999999973,21.199999999999818,25.536000000000058,48.766999999999825,32.48099999999977,50.521999999999935,50.01800000000003,39.347999999999956,53.336999999999534,40.667999999999665,60.50600000000031,59.05799999999999,35.310999999999694,17.381999999999607
14.0,0.0,21.32800000000043,4.360000000000582,11.637000000000626,24.97400000000016,15.733000000000175,19.72100000000046,23.36999999999989,29.677999999999884,49.5570000000007,34.01000000000022,52.9340000000002,51.15599999999995,41.38799999999992,55.20300000000043,42.69300000000021,62.38600000000042,60.85600000000068,37.780000000000655,37.27800000000025
15.0,0.0,21.4350000000004,4.6850000000004,12.191000000000713,26.275000000000546,18.864000000000487,20.400000000000546,25.187000000000808,48.41400000000067,50.34400000000005,35.23400000000038,54.54600000000028,52.38200000000052,43.01300000000083,56.89300000000003,44.490999999999985,64.22200000000066,62.723000000000866,40.01000000000022,39.14800000000014
16.0,0.0,21.688000000000102,5.336999999999534,13.121000000000095,27.313000000000102,38.07300000000032,23.89099999999962,29.564000000000306,49.76000000000022,51.715000000000146,36.68199999999979,56.287999999999556,54.17199999999957,44.948999999999614,59.00699999999961,46.45499999999993,66.47800000000007,64.6859999999997,42.649999999999636,41.44300000000021
17.0,0.0,21.516999999999825,5.970999999999549,14.05199999999968,28.398999999999432,46.222999999999956,49.36399999999958,61.57099999999991,63.53399999999965,66.02399999999943,45.1309999999994,72.08799999999974,69.53699999999935,60.30999999999949,76.3159999999998,59.77300000000014,88.52499999999964,89.6859999999997,53.323999999999614,-3.1580000000003565
18.0,0.0,28.50799999999981,8.23700000000008,18.911999999999352,37.80199999999968,51.761999999999716,56.27399999999943,68.38900000000012,71.38900000000012,74.87199999999939,67.0630000000001,81.58599999999933,79.89300000000003,82.46000000000004,85.38599999999951,68.64099999999962,98.8789999999999,113.45899999999983,76.38499999999931,
19.0,0.0,5.514000000000124,2.106999999999971,4.128999999999905,7.947999999999411,6.773000000000138,9.82799999999952,12.291999999999462,13.78899999999976,15.64599999999973,11.407999999999447,18.423999999999978,24.878999999999905,19.791000000000167,22.662000000000262,20.966999999999643,29.05499999999938,38.91699999999946,16.760999999999513,
20.0,0.0,1.1520000000000437,0.6300000000001091,0.8479999999999563,1.7770000000000437,1.4960000000000946,2.230999999999767,3.412000000000262,3.6700000000000728,3.9089999999996508,3.0559999999995853,4.438000000000102,5.6840000000001965,5.010000000000218,5.554000000000087,5.074999999999818,6.591000000000349,6.210000000000036,4.408999999999651,
21.0,0.0,3.5410000000001673,2.105999999999767,3.092999999999847,4.4539999999997235,4.3090000000001965,5.704999999999927,6.88799999999992,7.48700000000008,8.001000000000204,6.65099999999984,8.301000000000386,9.89599999999973,9.84100000000035,10.659999999999854,9.217000000000553,11.333999999999833,10.717999999999847,8.863000000000284,
22.0,0.0,4.618999999999687,2.9489999999996144,4.268000000000029,5.7409999999999854,6.726999999999862,7.509999999999309,9.550999999999476,10.167999999999665,10.985999999999876,8.95299999999952,11.356999999999971,13.391999999999825,13.36999999999989,14.390999999999622,12.431999999999789,15.139000000000124,15.188999999999396,11.931999999999789,
23.0,0.0,5.269999999999527,4.255999999999403,5.761999999999716,6.992000000000189,8.304000000000087,8.898999999999432,11.298999999999978,12.621999999999389,13.22400000000016,11.206000000000131,13.425999999999476,16.273999999999432,17.009000000000015,17.488999999999578,14.789999999999964,17.927999999999884,19.9429999999993,14.123999999999796,
24.0,0.0,5.9760000000005675,5.652000000000044,7.385000000000218,7.886999999999716,9.520000000000437,10.86200000000008,12.740999999999985,14.503999999999905,15.063000000000102,14.190999999999804,15.768000000000029,18.286000000000058,18.954999999999927,20.453999999999724,16.907000000000153,20.739000000000487,22.74200000000019,16.251000000000204,
25.0,0.0,5.483000000000175,6.36200000000008,8.0649999999996,9.194999999999709,10.907999999999447,12.177999999999884,14.445999999999913,16.347999999999956,17.953999999999724,17.597999999999956,18.233000000000175,20.420000000000073,21.215000000000146,23.76299999999992,19.21900000000005,22.82799999999952,25.728000000000065,18.831999999999425,
26.0,0.0,5.350999999999658,7.408999999999651,9.485999999999876,10.121000000000095,12.250999999999294,13.537999999999556,15.982999999999265,18.380999999999403,20.425999999999476,20.03899999999976,21.203999999999724,23.685999999999694,24.216999999999643,26.4429999999993,23.058999999999287,25.070999999999913,28.998999999999796,23.988999999999578,
27.0,0.0,5.2979999999997744,8.764000000000124,10.712999999999738,11.215000000000146,13.899000000000342,15.32800000000043,17.99499999999989,20.48999999999978,23.036000000000058,22.539999999999964,24.551000000000386,26.423999999999978,27.091999999999643,29.524999999999636,25.771999999999935,27.753999999999905,33.10099999999966,83.07899999999972,
28.0,0.0,5.142000000000735,9.801000000000386,11.779000000000451,12.423999999999978,15.636000000000422,17.189000000000306,19.88800000000083,22.11500000000069,25.575000000000728,24.670000000000073,27.14600000000064,28.798999999999978,29.575000000000728,32.043000000000575,27.955000000000837,30.45300000000043,36.20400000000063,,
29.0,0.0,5.08600000000024,11.063000000000102,12.740999999999985,13.884000000000015,17.240999999999985,18.78399999999965,21.743999999999687,23.98999999999978,27.849999999999454,26.734999999999673,29.59599999999955,30.884000000000015,32.608000000000175,35.26599999999962,29.966999999999643,33.45600000000013,39.64400000000023,,
30.0,0.0,5.23700000000008,11.990999999999985,14.180000000000291,15.605000000000473,19.01299999999992,20.391999999999825,23.996000000000095,26.13299999999981,30.26299999999992,29.1220000000003,33.13299999999981,34.311000000000604,35.659999999999854,38.21299999999974,33.64800000000014,36.176000000000386,42.764000000000124,,
31.0,0.0,5.065000000000509,13.042000000000371,15.059000000000196,16.896999999999935,20.563000000000102,21.920000000000073,26.23199999999997,28.314000000000306,32.76600000000053,31.4970000000003,35.61700000000019,37.024999999999636,38.746000000000095,41.10500000000047,36.13299999999981,39.3159999999998,46.45799999999963,,
32.0,0.0,4.9669999999996435,13.944999999999709,16.193999999999505,18.469999999999345,21.93199999999979,24.122999999999593,28.375,30.442000000000007,35.22699999999986,34.24499999999989,38.48699999999917,39.662999999999556,41.388999999999214,43.83099999999922,38.948999999999614,42.29599999999937,50.10199999999986,,
33.0,0.0,4.804000000000087,14.731999999999971,17.16400000000067,19.79399999999987,23.371000000000095,25.360000000000582,30.21900000000005,32.40800000000036,37.07900000000063,36.49200000000019,40.965000000000146,42.51000000000022,44.027000000000044,46.92500000000018,41.72400000000016,45.235999999999876,53.54899999999998,,
34.0,0.0,4.8510000000005675,15.658000000000357,18.62800000000061,21.364000000000487,24.938000000000102,26.782000000000153,32.6230000000005,34.50800000000072,39.637000000000626,39.1230000000005,44.14900000000034,45.577000000000226,46.983000000000175,50.10100000000057,44.499000000000706,48.423000000000684,57.40300000000025,,
35.0,0.0,4.420000000000073,16.49200000000019,19.703999999999724,22.570999999999913,26.11999999999989,28.44300000000021,34.587000000000444,36.32800000000043,42.615999999999985,41.32099999999991,46.48199999999997,48.060999999999694,49.32999999999993,52.69800000000032,47.34200000000055,51.003999999999905,63.55699999999979,,
36.0,0.0,4.511999999999716,17.52300000000014,21.036999999999352,23.66899999999987,27.36700000000019,29.899999999999636,36.58100000000013,38.47199999999975,44.985999999999876,43.639000000000124,49.146999999999935,51.0019999999995,51.800999999999476,55.41100000000006,50.58399999999983,53.86999999999989,85.3739999999998,,
37.0,0.0,4.369999999999891,18.05999999999949,21.922999999999774,24.65599999999995,28.532000000000153,31.100999999999658,38.07899999999972,40.12299999999959,46.70499999999993,45.71599999999944,51.31800000000021,53.75500000000011,54.289999999999964,57.63199999999961,53.38299999999981,56.23700000000008,87.11999999999989,,
