,SAI,NOR,HAM,LEC,VER,GAS,PIA,PER,LAW,MAG,ALB,ZHO,HUL,SAR,ALO,RUS,BOT,OCO,TSU,18
1.0,0.0,3.105999999999767,1.7139999999999418,1.2350000000001273,6.518000000000029,6.80600000000004,8.617999999999938,8.279999999999745,7.625,5.036000000000058,9.768000000000029,11.748000000000047,5.882000000000062,10.750999999999749,4.067999999999756,2.463000000000193,11.404999999999745,4.485999999999876,0.0,
2.0,0.0,3.548999999999978,2.91800000000012,1.1900000000000546,6.731000000000222,7.776000000000295,9.295000000000073,8.905999999999949,8.381000000000313,6.321000000000367,10.287000000000262,20.334000000000287,7.347999999999956,11.351000000000113,4.940000000000055,2.1829999999999927,12.204000000000178,5.50400000000036,,
3.0,0.0,3.71100000000024,3.044000000000324,0.9800000000000182,7.278999999999996,8.256000000000313,10.24200000000019,9.566000000000258,8.932999999999993,6.898000000000138,11.108000000000175,42.08799999999974,7.786000000000058,12.088999999999942,5.3270000000002256,2.1649999999999636,14.278000000000247,5.738000000000284,,
4.0,0.0,4.8090000000001965,5.324999999999818,1.061000000000604,7.842000000000553,9.010000000000218,11.032000000000153,10.340000000000146,9.712000000000444,7.322000000000116,12.001000000000204,41.37700000000041,8.462000000000444,13.384000000000015,6.1030000000000655,2.6710000000002765,15.463999999999942,6.5330000000003565,,
5.0,0.0,4.542999999999665,5.751999999999498,0.8379999999997381,8.59900000000016,9.751000000000204,11.721999999999753,11.11999999999989,10.511999999999716,8.239999999999782,12.810999999999694,41.197000000000116,9.260999999999513,14.096999999999753,6.746000000000095,2.5839999999998327,16.670000000000073,7.310999999999694,,
6.0,0.0,4.421999999999571,5.764999999999418,0.8899999999994179,9.798999999999978,11.466999999999643,14.281999999999243,14.153999999999542,12.331999999999425,10.752999999999702,14.698999999999614,41.55499999999938,11.096999999999753,15.61999999999989,7.318999999999505,2.6920000000000073,17.826999999999316,8.105999999999767,,
7.0,0.0,4.21599999999944,5.505000000000109,0.9909999999999854,10.043999999999869,12.688000000000102,16.412999999999556,15.328999999999724,13.621999999999389,11.40899999999965,17.6279999999997,41.964999999999236,12.036000000000058,18.32799999999952,7.914999999999964,2.7849999999998545,20.045999999999367,8.659999999999854,,
8.0,0.0,4.014000000000124,5.167999999999665,0.8840000000000146,9.717999999999847,12.86200000000008,17.001000000000204,15.381999999999607,14.011999999999716,11.536000000000058,18.44300000000021,42.702000000000226,12.266999999999825,19.50799999999981,7.622000000000298,2.7460000000000946,21.695999999999913,8.496000000000095,,
9.0,0.0,4.518000000000029,5.85399999999936,0.9039999999995416,10.355999999999767,14.298999999999978,17.84900000000016,16.449999999999818,15.271999999999935,12.904999999999745,19.685999999999694,43.6309999999994,13.618999999999687,21.109999999999673,8.417999999999665,3.1589999999996508,23.372999999999593,9.212999999999738,,
10.0,0.0,4.123000000000502,5.628999999999905,1.324999999999818,10.395000000000437,14.307999999999993,18.00799999999981,16.72400000000016,15.501000000000204,13.039999999999964,19.942000000000007,43.82800000000043,13.88299999999981,21.480000000000473,8.60400000000027,2.882999999999811,24.23400000000038,9.533000000000357,,
11.0,0.0,4.180999999999585,5.572999999999411,1.4309999999995853,10.52099999999973,14.738999999999578,18.388999999999214,17.11999999999989,16.027999999999338,13.157999999999447,20.00799999999981,44.0649999999996,14.144999999999527,21.893999999999323,8.453999999999724,3.1809999999995853,25.312999999999192,9.320999999999913,,
12.0,0.0,4.117000000000189,5.2609999999995125,1.2929999999996653,10.592999999999847,14.648000000000138,18.42199999999957,17.30500000000029,15.952000000000226,13.332999999999629,19.935999999999694,43.85099999999966,14.094000000000051,21.917999999999665,8.306999999999789,3.113999999999578,25.84599999999955,9.179000000000087,,
13.0,0.0,4.132999999999811,4.985999999999876,1.0910000000003492,10.930000000000291,15.121000000000095,19.1850000000004,17.79200000000037,16.238000000000284,13.805000000000291,20.335000000000036,43.891999999999825,14.52099999999973,22.35900000000038,8.50500000000011,3.1019999999998618,26.684000000000196,9.385000000000218,,
14.0,0.0,4.155999999999949,4.860999999999876,2.3149999999996,11.164999999999964,15.350000000000364,19.09400000000005,17.70799999999963,16.51599999999962,13.92199999999957,20.711999999999534,44.327000000000226,14.764000000000124,22.944000000000415,8.287000000000262,3.4619999999995343,27.240999999999985,9.234000000000378,,
15.0,0.0,4.466000000000349,5.318000000000211,1.9909999999999854,11.434000000000196,16.015000000000327,19.865999999999985,18.309000000000196,17.30699999999979,14.582999999999629,21.413000000000466,44.853000000000065,15.520000000000437,23.845000000000255,8.444999999999709,3.4899999999997817,28.096999999999753,9.649999999999636,,
16.0,0.0,5.4099999999998545,6.704999999999927,2.217999999999847,12.425999999999476,17.546000000000276,21.06800000000021,19.59900000000016,18.850000000000364,15.855999999999767,22.829999999999927,45.88000000000011,16.911000000000058,25.412000000000262,9.284999999999854,4.153999999999542,29.623999999999796,10.639000000000124,,
17.0,0.0,5.985999999999876,7.636999999999716,2.569999999999709,13.458999999999833,18.77099999999973,22.46599999999944,21.13799999999992,20.341999999999643,17.266999999999825,24.070999999999913,46.85599999999977,18.21599999999944,27.076999999999316,10.33599999999933,4.734999999999673,30.984999999999673,11.765999999999622,,
18.0,0.0,6.686999999999898,9.009000000000015,3.191000000000713,14.931000000000495,20.645000000000437,24.369000000000597,23.222999999999956,22.46900000000005,19.26800000000003,26.028000000000247,48.44599999999991,20.101000000000568,29.655000000000655,11.660000000000764,5.429000000000087,32.896999999999935,13.197000000000116,,
19.0,0.0,7.537999999999556,9.373999999999796,4.398000000000138,16.64800000000014,22.67699999999968,26.662000000000262,25.597999999999956,24.725999999999658,21.246000000000095,28.172999999999774,51.10099999999966,22.167999999999665,80.27099999999973,12.976999999999862,6.395999999999731,35.65399999999954,14.657999999999447,,
