Driver,Position,Time,Status,Points
VER,1,01:27:02.624000,Finished,26
LEC,2,+00:00:17.993000,Finished,18
RUS,3,+00:00:20.328000,Finished,15
PER,4,+00:00:21.453000,Finished,12
NOR,5,+00:00:24.284000,Finished,10
PIA,6,+00:00:31.487000,Finished,8
ALO,7,+00:00:39.512000,Finished,6
TSU,8,+00:00:43.088000,Finished,4
HAM,9,+00:00:44.424000,Finished,2
STR,10,+00:00:55.632000,Finished,1
RIC,11,+00:00:56.229000,Finished,0
OCO,12,+00:01:06.373000,Finished,0
GAS,13,+00:01:10.360000,Finished,0
ALB,14,+00:01:13.184000,Finished,0
HUL,15,+00:01:23.696000,Finished,0
SAR,16,+00:01:27.791000,Finished,0
ZHO,17,+00:01:29.422000,Finished,0
SAI,18,,Retired,0
BOT,19,,+1 Lap,0
MAG,20,,+1 Lap,0
