Driver,Position,Time,Status,Points
VER,1,02:32:38.371000,Finished,25
HAM,2,+00:00:00.179000,Finished,18
ALO,3,+00:00:00.769000,Finished,15
STR,4,+00:00:03.082000,Finished,12
PER,5,+00:00:03.320000,Finished,11
NOR,6,+00:00:03.701000,Finished,8
HUL,7,+00:00:04.939000,Finished,6
PIA,8,+00:00:05.382000,Finished,4
ZHO,9,+00:00:05.713000,Finished,2
TSU,10,+00:00:06.052000,Finished,1
BOT,11,+00:00:06.513000,Finished,0
SAI,12,+00:00:06.594000,Finished,0
GAS,13,,Collision,0
OCO,14,,Collision,0
DEV,15,,Collision,0
SAR,16,,Collision,0
MAG,17,,Accident,0
RUS,18,,Engine,0
ALB,19,,Accident,0
LEC,20,,Collision,0
