Driver,Position,Time,Status,Points
VER,1,01:27:38.241000,Finished,26
PER,2,+00:00:05.384000,Finished,18
ALO,3,+00:00:26.305000,Finished,15
RUS,4,+00:00:33.229000,Finished,12
SAI,5,+00:00:42.511000,Finished,10
HAM,6,+00:00:51.249000,Finished,8
LEC,7,+00:00:52.988000,Finished,6
GAS,8,+00:00:55.670000,Finished,4
OCO,9,+00:00:58.123000,Finished,2
MAG,10,+00:01:02.945000,Finished,1
TSU,11,+00:01:04.309000,Finished,0
STR,12,+00:01:04.754000,Finished,0
BOT,13,+00:01:11.637000,Finished,0
ALB,14,+00:01:12.861000,Finished,0
HUL,15,+00:01:14.950000,Finished,0
ZHO,16,+00:01:18.440000,Finished,0
NOR,17,+00:01:27.717000,Finished,0
DEV,18,+00:01:28.949000,Finished,0
PIA,19,,+1 Lap,0
SAR,20,,+1 Lap,0
