,VER,PER,SAI,LEC,RUS,NOR,HAM,PIA,HUL,ALO,STR,GAS,ZHO,TSU,RIC,MAG,ALB,SAR,BOT,OCO,BEA,COL,LAW,DOO
Bahrain Grand Prix,-1.352255021108922,-0.9130643034055742,-0.855447737749007,-0.5815829130312411,-0.48361731588329165,-0.4505921821934524,-0.3910047074459788,-0.38142990055352316,-0.11911362725252062,-0.028980060981331494,0.2445797242288713,0.3818873511550362,0.5258767352750066,0.5416683111646218,0.5451579625807423,0.5628320060772841,0.5695561107288919,0.6619482024457507,0.8193963727761869,0.8829198528600439,,,,
Saudi Arabian Grand Prix,-1.5079116164943,-1.2789754462815361,,-1.0451243824517484,-0.4644860845794084,-0.7104928153183462,-0.594520948310674,-0.7097626803240882,0.17144196729035013,-0.622528637770898,0.29675727554179615,,0.6080664461957042,0.9179254498137945,1.2955341454659677,0.6476415749950615,0.7118330643567623,0.9938244467377599,0.9965198715743627,1.0053819715529246,-0.27806055266451385,,,
Australian Grand Prix,-0.6575684210526305,-0.3758680414502762,-1.0538996958855007,-0.8346520988837379,-0.12255917365765476,-0.8824012721641608,0.07722349175162763,-0.5218118211059611,0.28183337364406214,-0.09673805492736622,0.06885308595772972,0.6617525111103703,0.5894395442910632,0.19959445500534956,0.42476116476617665,0.37900204429106227,0.43796478467567906,,0.45013145134234434,0.5412241665414015,,,,
Japanese Grand Prix,-1.3727784387521513,-1.0468053618290745,-0.9528768762521516,-0.5114809195939448,-0.5059135555450819,-0.7578255741688178,-0.4434582998632628,-0.44900066097437347,0.5475222949140985,-0.4718620458568526,0.37075692996262155,1.5601052351278273,0.9961792717086817,0.4998344420910754,,1.0862128912141793,,0.41334236173956795,0.763113540964669,1.2745492817726702,,,,
Chinese Grand Prix,-1.9339360038924034,-1.0690012212837074,-0.21742223607766706,-0.5721938666937467,-0.20671991218514735,-1.106555568821406,0.4823641272437998,0.09591053872705434,0.4142737529122504,-0.5482259307036657,-0.02470090891717373,0.18802793071973606,0.4993263097304302,0.7205154255608073,0.5980978930168547,1.1696098343145083,0.7146893688606039,1.2450409215021738,0.15418310400183324,0.48081867269834594,,,,
Miami Grand Prix,-0.9951939664867292,-0.6032796410962047,-0.7709230488079168,-0.7989115778227615,0.07164540935672534,-1.1164721941070614,-0.2556191663800018,-0.4795980105492482,0.3963268260520593,0.4289629916294013,0.46677671711959656,0.5277581986010784,0.5983963249627342,-0.06855766419253147,0.6556512269235186,0.25795514849214496,0.6387804332259223,0.5656536491228087,0.4666842514619893,0.41147279555096916,,,,
Emilia Romagna Grand Prix,-1.1415355449027365,-0.2767732858395187,-0.7953740659365044,-1.0426715569759306,-0.7614098214033953,-1.148570349656556,-0.577616001420374,-0.9138588329615935,0.5547671510824651,0.4773864340533568,0.0550501029172103,0.5174384309061127,0.7741606386882244,0.4508396273551134,0.5934660294258638,0.46056760463249685,0.42948656615964426,0.8229132702671724,0.9635127026717136,0.8504649748769237,,,,
Monaco Grand Prix,-1.0769546332046345,,-0.9185321428571435,-1.0025716165413545,-0.868005904761906,-0.908768984962407,-1.1043068854568865,-0.9174663533834604,,0.9997452054794504,0.4157887323943644,0.7381581081081063,1.2814553990610316,0.3878671232876693,0.999498630136986,,0.6636581081081063,0.7986342592592585,0.7682231481481467,,,,,
Canadian Grand Prix,-1.0624913903061224,-0.1417322870031212,0.031701060744809696,0.6105714285714328,-0.8113262566137578,-0.8336318423763722,-0.9218053434592239,-0.5351280094905103,0.3330658501220999,0.09431386684303368,0.5898966654722078,0.03484253853785072,1.4041727182539683,0.7704569035131531,0.415474995354885,0.5529324779056918,0.33134403790653527,,1.0374846812909306,0.5104277213728302,,,,
Spanish Grand Prix,-1.0759100586456667,-0.4210986430723265,-0.6000637044790011,-0.7465729789673037,-0.7819855794790005,-1.0412275842304632,-0.775137489201223,-0.585527017709994,0.02105677249468263,0.23690751744953809,0.4470942275042435,-0.18020346142344446,0.27896326164874624,0.7802365545010057,0.7070959724580279,0.7908879928315418,0.797336257309941,1.4139875850829253,0.929681710997925,0.04408560107655535,,,,
Austrian Grand Prix,-1.0628858909007513,0.04191761037361191,-0.6024518160037488,-0.4880560210197442,-0.6541414444867205,-0.9136765568695121,-0.336943590422495,-0.6355221020128896,0.06895706660380764,0.382423621352324,0.4100011279219287,0.17508568820170106,0.8096766769109807,0.39567559446559,0.15043537680717706,0.16710309086845015,0.39236532979619326,0.8987428515375457,0.5215212309126206,0.3028416849053869,,,,
British Grand Prix,-0.8023379420415159,0.14635626287942075,-0.5524298716491048,-0.32307341613364593,-0.8847464850749213,-0.670687624329672,-0.9156427039462776,-1.0163173071208806,0.023736184516950996,-0.0724964162156498,-0.02062805342930609,,1.2730212093609379,0.34624717352794004,0.8216069716056182,0.1667070359556821,-0.09788268554189952,0.25624982874847463,1.3457691337677802,1.7427328527237598,,,,
Hungarian Grand Prix,-0.7165453631596888,-0.5763815928507847,-0.7545174332565989,-0.7521002762497944,-0.49298936282444594,-0.9764138433368474,-0.7960155669274701,-1.0591298359839059,0.6028787375170693,0.15029897555618904,-0.00473633327405564,0.6764641233063682,0.9820422717239474,0.25788504822055,0.4023914497790076,0.7802511249622133,0.6572265656435364,0.6285434512846977,0.7627109623062412,0.7534536838797591,,,,
Belgian Grand Prix,-0.803030599886152,-0.4250310034861171,-0.6092644934435747,-0.8869832239913503,-0.7176984929120553,-0.5213975353197157,-1.0907861009754771,-1.049370679251232,0.994279818725738,0.36636215460276383,0.6623975228198182,0.39830530114092527,1.4854000000000056,0.862027523363147,0.19194208918947656,0.653106888442512,0.4221227614583845,0.7929475713584541,0.5955300365906605,0.10757505487575157,,,,
Dutch Grand Prix,-0.7312667604180292,-0.5220103153146598,-0.6581423370927323,-0.6778657226122465,-0.7027761268366995,-1.0557990065262577,-0.684149111215806,-0.6851963378828183,0.22181990098861895,0.1705387332301338,0.2460892957030259,0.06849529129195539,1.159477962098691,0.5922469910358373,0.2139350378646245,0.8198450726133324,0.2265654034885375,0.8214873304317911,0.7857222668905217,0.5819298754131706,,,,
Italian Grand Prix,-0.6353170793365999,-0.2621123503861962,-0.610191386383043,-0.8957034763151699,-0.7152816442475306,-1.1355884493225021,-0.8243055052625256,-1.2343493746076497,0.30662925213945175,0.021655623470012382,0.5547302456892845,0.591863935486475,1.3230595734434119,1.976284210526316,0.4635767131644677,0.1303732786842078,0.3633855995395309,,1.1082662646198829,0.8650933234434123,,0.5362763928710592,,
Azerbaijan Grand Prix,-0.5004210884646252,-0.9434793928627737,-0.9504087910109226,-0.8943233508315607,-0.6850252551312925,-0.7560054319544174,-0.06375557970855326,-1.026268062049381,-0.03431776681743951,-0.09260269079305743,0.4693495795472658,0.5173812552853742,0.9336742370763164,1.874312105263158,0.9124645886187078,,-0.10709166138129274,,1.217278905770927,1.4751312552853744,0.164051857137227,0.1347230316011633,,
Singapore Grand Prix,-1.1902146890148049,0.20621732807304247,-0.01916107418259448,-0.5023495009723755,-0.49765519046128504,-1.5329288966650794,-0.1447849986687213,-0.8572959276304697,0.0872531614063772,-0.053798845495676276,0.5939437031452038,0.6721455850473887,0.6968064552862888,0.09878054549801064,0.5408155069813027,0.63616976768609,0.6821896929824559,,0.7267748460908885,0.5713213738686655,,0.14060316140637638,,
United States Grand Prix,-0.9977913863419864,-0.17136002950438056,-1.1704847624103627,-1.391186952581303,-0.26067945823741046,-1.0676952953414829,1.536526315789473,-0.9119943777949779,-0.13468624556772796,0.629681930701416,0.9000944162838844,0.20955131099335816,1.0691714026487784,0.3577386575507396,,-0.14836899522450905,0.9795220723136177,,1.3091713097863844,0.7607831404491614,,0.10596395553835528,0.07237207519647462,
Mexico City Grand Prix,-0.4888870187397889,0.5573209967320254,-1.093061172385622,-0.873369947608675,-0.41111514373978797,-1.0224745187397881,-0.44333389373978793,-0.2270349354064547,0.13987337249714632,1.1325987654320973,0.4637794571532311,0.37116675874053234,0.9493762825500557,,,-0.1720838937397886,,,0.6565727772590512,0.6119080947193691,,0.4340539280527013,0.4796672399014238,
São Paulo Grand Prix,-1.0219405487721527,0.36997632659124385,0.42030287517306025,-0.3473503070429279,-0.721479753636042,-0.5585142363946622,0.3149742432730681,-0.1780593876944701,0.06392578976035068,0.2628333341978767,,-0.3827412478889141,1.326478437538539,-0.0815671177349182,,,,,0.7290925934571367,-0.7057032606365599,0.5105278442175776,0.6180722875817025,0.23511074465047893,
Las Vegas Grand Prix,-0.6897527505446623,0.04986347343901949,-0.7427787922113286,-0.7108324840005448,-1.0291205167483672,-0.3910229123209575,-0.9276636822160743,-0.07553216230936884,0.15585207992919278,0.2516411034626615,0.27011347343902214,0.09925010121457507,0.2883600316367684,0.24581832788670907,,0.5069027760757076,0.513215700483091,,0.9664701602017615,0.6183123438634706,,0.3845007891809201,0.6469182293839506,
Qatar Grand Prix,-1.4191005675821053,-0.36095261632430703,-0.7074817622124612,-1.048758357972819,-0.7203721842903822,-1.2116250246394862,0.03462418170971975,-0.9788028024172633,1.245786086561061,0.08701941980495904,2.976482026143792,-0.1437361357505978,0.1790416420271814,1.2977749753605148,,0.2904261111641617,1.3139023828523653,,1.1933275547255948,,,,1.2312845670465151,
Abu Dhabi Grand Prix,-0.41731588024204935,,-0.928031732037312,-0.47801479799096697,-0.38297464647581514,-1.0231746464758158,-0.5081394192030876,-0.4123641461019111,0.3019629203691047,0.014097650375938629,0.39486242137205646,0.24301954544337745,0.15612112158170102,0.5930548807680972,,0.472274786013477,0.5787612397005588,,0.24113098108676595,,,0.28054440328763247,0.4894725097056366,0.8220733992866148
