,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,8
1,ALB,2.0,MEDIUM,15
2,ALB,3.0,HARD,21
3,ALO,1.0,MEDIUM,13
4,ALO,2.0,HARD,31
5,BOT,1.0,MEDIUM,11
6,BOT,2.0,HARD,24
7,BOT,3.0,MEDIUM,9
8,GAS,1.0,MEDIUM,9
9,GAS,2.0,HARD,19
10,GAS,3.0,HARD,16
11,HAM,1.0,MEDIUM,11
12,HAM,2.0,HARD,15
13,HAM,3.0,HARD,18
14,HUL,1.0,MEDIUM,7
15,HUL,2.0,HARD,13
16,HUL,3.0,MEDIUM,24
17,LEC,1.0,MEDIUM,12
18,LEC,2.0,HARD,13
19,LEC,3.0,HARD,19
20,MAG,1.0,MEDIUM,17
21,MAG,2.0,HARD,27
22,NOR,1.0,MEDIUM,15
23,NOR,2.0,HARD,14
24,NOR,3.0,HARD,15
25,OCO,1.0,MEDIUM,12
26,OCO,2.0,HARD,18
27,OCO,3.0,HARD,14
28,PER,1.0,MEDIUM,11
29,PER,2.0,MEDIUM,10
30,PER,3.0,HARD,21
31,PER,4.0,SOFT,2
32,PIA,1.0,MEDIUM,11
33,PIA,2.0,HARD,19
34,PIA,3.0,HARD,14
35,RIC,1.0,SOFT,8
36,RIC,2.0,MEDIUM,13
37,RIC,3.0,HARD,23
38,RUS,1.0,MEDIUM,10
39,RUS,2.0,HARD,34
40,SAI,1.0,HARD,20
41,SAI,2.0,MEDIUM,8
42,SAI,3.0,HARD,16
43,SAR,1.0,MEDIUM,8
44,SAR,2.0,MEDIUM,16
45,SAR,3.0,HARD,20
46,STR,1.0,MEDIUM,12
47,STR,2.0,HARD,32
48,TSU,1.0,MEDIUM,15
49,TSU,2.0,HARD,29
50,VER,1.0,MEDIUM,10
51,VER,2.0,HARD,18
52,VER,3.0,MEDIUM,16
53,ZHO,1.0,HARD,5
