,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,27
1,ALB,2.0,INTERMEDIATE,11
2,ALB,3.0,MEDIUM,14
3,ALO,1.0,MEDIUM,27
4,ALO,2.0,INTERMEDIATE,11
5,ALO,3.0,MEDIUM,14
6,BOT,1.0,MEDIUM,26
7,BOT,2.0,INTERMEDIATE,11
8,BOT,3.0,SOFT,14
9,GAS,1.0,MEDIUM,1
10,HAM,1.0,MEDIUM,27
11,HAM,2.0,INTERMEDIATE,11
12,HAM,3.0,SOFT,14
13,HUL,1.0,MEDIUM,26
14,HUL,2.0,INTERMEDIATE,13
15,HUL,3.0,SOFT,13
16,LEC,1.0,MEDIUM,19
17,LEC,2.0,INTERMEDIATE,8
18,LEC,3.0,INTERMEDIATE,10
19,LEC,4.0,SOFT,14
20,MAG,1.0,MEDIUM,27
21,MAG,2.0,INTERMEDIATE,10
22,MAG,3.0,SOFT,15
23,NOR,1.0,MEDIUM,27
24,NOR,2.0,INTERMEDIATE,12
25,NOR,3.0,SOFT,13
26,OCO,1.0,SOFT,19
27,OCO,2.0,INTERMEDIATE,2
28,OCO,3.0,MEDIUM,5
29,OCO,4.0,INTERMEDIATE,12
30,OCO,5.0,MEDIUM,12
31,PER,1.0,HARD,19
32,PER,2.0,INTERMEDIATE,9
33,PER,3.0,INTERMEDIATE,9
34,PER,4.0,MEDIUM,10
35,PER,5.0,SOFT,3
36,PIA,1.0,MEDIUM,28
37,PIA,2.0,INTERMEDIATE,10
38,PIA,3.0,MEDIUM,14
39,RIC,1.0,MEDIUM,26
40,RIC,2.0,INTERMEDIATE,11
41,RIC,3.0,SOFT,14
42,RUS,1.0,MEDIUM,27
43,RUS,2.0,INTERMEDIATE,6
44,SAI,1.0,MEDIUM,26
45,SAI,2.0,INTERMEDIATE,13
46,SAI,3.0,HARD,11
47,SAI,4.0,SOFT,2
48,SAR,1.0,MEDIUM,27
49,SAR,2.0,INTERMEDIATE,11
50,SAR,3.0,SOFT,14
51,STR,1.0,MEDIUM,26
52,STR,2.0,INTERMEDIATE,13
53,STR,3.0,MEDIUM,13
54,TSU,1.0,MEDIUM,27
55,TSU,2.0,INTERMEDIATE,11
56,TSU,3.0,SOFT,14
57,VER,1.0,MEDIUM,26
58,VER,2.0,INTERMEDIATE,12
59,VER,3.0,HARD,14
60,ZHO,1.0,SOFT,12
61,ZHO,2.0,MEDIUM,7
62,ZHO,3.0,INTERMEDIATE,7
63,ZHO,4.0,INTERMEDIATE,11
64,ZHO,5.0,SOFT,13
