,Driver,Stint,Compound,StintLength
0,ALB,1.0,SOFT,6
1,ALB,2.0,HARD,23
2,ALB,3.0,HARD,40
3,ALO,1.0,SOFT,7
4,ALO,2.0,MEDIUM,30
5,ALO,3.0,HARD,33
6,BOT,1.0,MEDIUM,16
7,BOT,2.0,HARD,29
8,BOT,3.0,HARD,24
9,GAS,1.0,HARD,28
10,GAS,2.0,MEDIUM,5
11,HAM,1.0,MEDIUM,16
12,HAM,2.0,HARD,24
13,HAM,3.0,HARD,30
14,HUL,1.0,MEDIUM,2
15,HUL,2.0,HARD,27
16,HUL,3.0,HARD,40
17,LEC,1.0,MEDIUM,23
18,LEC,2.0,HARD,17
19,LEC,3.0,MEDIUM,30
20,MAG,1.0,SOFT,6
21,MAG,2.0,HARD,28
22,MAG,3.0,HARD,35
23,NOR,1.0,MEDIUM,17
24,NOR,2.0,HARD,28
25,NOR,3.0,MEDIUM,25
26,OCO,1.0,MEDIUM,6
27,OCO,2.0,HARD,24
28,OCO,3.0,HARD,34
29,OCO,4.0,SOFT,5
30,PER,1.0,HARD,28
31,PER,2.0,MEDIUM,19
32,PER,3.0,MEDIUM,23
33,PIA,1.0,MEDIUM,18
34,PIA,2.0,HARD,29
35,PIA,3.0,MEDIUM,23
36,RIC,1.0,MEDIUM,7
37,RIC,2.0,HARD,21
38,RIC,3.0,HARD,41
39,RUS,1.0,HARD,33
40,RUS,2.0,MEDIUM,20
41,RUS,3.0,HARD,17
42,SAI,1.0,MEDIUM,21
43,SAI,2.0,HARD,26
44,SAI,3.0,MEDIUM,23
45,SAR,1.0,MEDIUM,8
46,SAR,2.0,HARD,25
47,SAR,3.0,HARD,30
48,SAR,4.0,SOFT,6
49,STR,1.0,SOFT,14
50,STR,2.0,MEDIUM,31
51,STR,3.0,HARD,25
52,TSU,1.0,MEDIUM,29
53,TSU,2.0,HARD,41
54,VER,1.0,MEDIUM,21
55,VER,2.0,HARD,28
56,VER,3.0,MEDIUM,21
57,ZHO,1.0,MEDIUM,7
58,ZHO,2.0,HARD,29
59,ZHO,3.0,HARD,33
