,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,9
1,ALB,2.0,HARD,16
2,ALO,1.0,SOFT,4
3,ALO,2.0,HARD,20
4,ALO,3.0,HARD,26
5,BOT,1.0,HARD,17
6,BOT,2.0,MEDIUM,18
7,BOT,3.0,HARD,14
8,COL,1.0,HARD,16
9,COL,2.0,MEDIUM,10
10,COL,3.0,HARD,24
11,GAS,1.0,MEDIUM,10
12,GAS,2.0,HARD,5
13,HAM,1.0,MEDIUM,13
14,HAM,2.0,HARD,14
15,HAM,3.0,HARD,23
16,HUL,1.0,MEDIUM,14
17,HUL,2.0,HARD,19
18,HUL,3.0,HARD,17
19,LAW,1.0,MEDIUM,11
20,LAW,2.0,HARD,27
21,LAW,3.0,HARD,12
22,LEC,1.0,MEDIUM,9
23,LEC,2.0,HARD,22
24,LEC,3.0,HARD,19
25,MAG,1.0,MEDIUM,17
26,MAG,2.0,HARD,33
27,NOR,1.0,MEDIUM,9
28,NOR,2.0,HARD,21
29,NOR,3.0,HARD,18
30,NOR,4.0,SOFT,2
31,OCO,1.0,MEDIUM,11
32,OCO,2.0,MEDIUM,1
33,OCO,3.0,HARD,33
34,OCO,4.0,SOFT,4
35,PER,1.0,HARD,17
36,PER,2.0,MEDIUM,15
37,PER,3.0,HARD,18
38,PIA,1.0,MEDIUM,10
39,PIA,2.0,HARD,15
40,PIA,3.0,HARD,25
41,RUS,1.0,MEDIUM,12
42,RUS,2.0,HARD,20
43,RUS,3.0,HARD,18
44,SAI,1.0,MEDIUM,10
45,SAI,2.0,HARD,18
46,SAI,3.0,HARD,22
47,STR,1.0,MEDIUM,9
48,STR,2.0,HARD,19
49,STR,3.0,HARD,22
50,TSU,1.0,MEDIUM,10
51,TSU,2.0,HARD,19
52,TSU,3.0,HARD,21
53,VER,1.0,MEDIUM,11
54,VER,2.0,HARD,16
55,VER,3.0,HARD,23
56,ZHO,1.0,MEDIUM,11
57,ZHO,2.0,HARD,23
58,ZHO,3.0,HARD,16
