,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,1
1,ALB,2.0,HARD,76
2,ALO,1.0,HARD,1
3,ALO,2.0,MEDIUM,75
4,BOT,1.0,HARD,1
5,BOT,2.0,MEDIUM,14
6,BOT,3.0,HARD,61
7,GAS,1.0,HARD,1
8,GAS,2.0,MEDIUM,76
9,HAM,1.0,HARD,1
10,HAM,2.0,MEDIUM,50
11,HAM,3.0,HARD,27
12,HUL,1.0,MEDIUM,1
13,LEC,1.0,MEDIUM,1
14,LEC,2.0,HARD,77
15,MAG,1.0,HARD,1
16,NOR,1.0,MEDIUM,1
17,NOR,2.0,HARD,77
18,OCO,1.0,HARD,1
19,PER,1.0,HARD,1
20,PIA,1.0,MEDIUM,1
21,PIA,2.0,HARD,77
22,RIC,1.0,MEDIUM,1
23,RIC,2.0,HARD,75
24,RUS,1.0,HARD,1
25,RUS,2.0,MEDIUM,77
26,SAI,1.0,MEDIUM,1
27,SAI,2.0,HARD,77
28,SAR,1.0,HARD,1
29,SAR,2.0,HARD,56
30,SAR,3.0,MEDIUM,19
31,STR,1.0,HARD,1
32,STR,2.0,MEDIUM,41
33,STR,3.0,HARD,6
34,STR,4.0,SOFT,28
35,TSU,1.0,MEDIUM,1
36,TSU,2.0,HARD,76
37,VER,1.0,HARD,1
38,VER,2.0,MEDIUM,51
39,VER,3.0,HARD,26
40,ZHO,1.0,MEDIUM,1
41,ZHO,2.0,HARD,69
42,ZHO,3.0,SOFT,6
