,Driver,Stint,Compound,StintLength
0,ALB,1.0,MEDIUM,3
1,ALB,2.0,MEDIUM,30
2,ALB,3.0,HARD,22
3,ALO,1.0,MEDIUM,26
4,ALO,2.0,HARD,29
5,BOT,1.0,MEDIUM,15
6,BOT,2.0,HARD,40
7,COL,1.0,HARD,39
8,COL,2.0,MEDIUM,17
9,GAS,1.0,MEDIUM,18
10,GAS,2.0,HARD,38
11,HAM,1.0,HARD,2
12,HUL,1.0,MEDIUM,27
13,HUL,2.0,HARD,29
14,LAW,1.0,HARD,36
15,LAW,2.0,MEDIUM,20
16,LEC,1.0,MEDIUM,26
17,LEC,2.0,HARD,30
18,MAG,1.0,MEDIUM,17
19,MAG,2.0,HARD,21
20,MAG,3.0,MEDIUM,18
21,NOR,1.0,MEDIUM,31
22,NOR,2.0,HARD,25
23,OCO,1.0,MEDIUM,31
24,OCO,2.0,HARD,20
25,OCO,3.0,SOFT,4
26,PER,1.0,MEDIUM,26
27,PER,2.0,HARD,30
28,PIA,1.0,MEDIUM,32
29,PIA,2.0,HARD,24
30,RUS,1.0,HARD,40
31,RUS,2.0,MEDIUM,16
32,SAI,1.0,MEDIUM,21
33,SAI,2.0,HARD,35
34,STR,1.0,HARD,27
35,STR,2.0,MEDIUM,28
36,TSU,1.0,MEDIUM,18
37,TSU,2.0,HARD,37
38,VER,1.0,MEDIUM,25
39,VER,2.0,HARD,31
40,ZHO,1.0,MEDIUM,13
41,ZHO,2.0,MEDIUM,22
42,ZHO,3.0,HARD,20
