,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:15.915000,VER,Red Bull Racing,0.0
1,0 days 00:01:16.185000,SAI,Ferrari,0.27
2,0 days 00:01:16.274000,PER,Red Bull Racing,0.359
3,0 days 00:01:16.304000,LEC,Ferrari,0.389
4,0 days 00:01:16.315000,NOR,McLaren,0.4
5,0 days 00:01:16.572000,PIA,McLaren,0.657
6,0 days 00:01:16.710000,ALO,Aston Martin,0.795
7,0 days 00:01:16.724000,RUS,Mercedes,0.809
8,0 days 00:01:16.780000,STR,Aston Martin,0.865
9,0 days 00:01:16.788000,TSU,RB,0.873
10,0 days 00:01:16.960000,HAM,Mercedes,1.045
11,0 days 00:01:17.130000,ALB,Williams,1.215
12,0 days 00:01:17.340000,BOT,Kick Sauber,1.425
13,0 days 00:01:17.427000,MAG,Haas F1 Team,1.512
14,0 days 00:01:17.617000,OCO,Alpine,1.702
15,0 days 00:01:17.976000,HUL,Haas F1 Team,2.061
16,0 days 00:01:17.982000,GAS,Alpine,2.067
17,0 days 00:01:18.085000,RIC,RB,2.17
18,0 days 00:01:18.188000,ZHO,Kick Sauber,2.273
