,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:04.314000,VER,Red Bull Racing,0.0
1,0 days 00:01:04.718000,NOR,McLaren,0.404
2,0 days 00:01:04.840000,RUS,Mercedes,0.526
3,0 days 00:01:04.851000,SAI,Ferrari,0.537
4,0 days 00:01:04.903000,HAM,Mercedes,0.589
5,0 days 00:01:05.044000,LEC,Ferrari,0.73
6,0 days 00:01:05.048000,PIA,McLaren,0.734
7,0 days 00:01:05.144000,PER,Red Bull Racing,0.83
8,0 days 00:01:05.262000,HUL,Haas F1 Team,0.948
9,0 days 00:01:05.274000,OCO,Alpine,0.96
10,0 days 00:01:05.289000,RIC,RB,0.975
11,0 days 00:01:05.347000,MAG,Haas F1 Team,1.033
12,0 days 00:01:05.359000,GAS,Alpine,1.045
13,0 days 00:01:05.412000,TSU,RB,1.098
14,0 days 00:01:05.639000,ALO,Aston Martin,1.325
15,0 days 00:01:05.736000,ALB,Williams,1.422
16,0 days 00:01:05.819000,STR,Aston Martin,1.505
17,0 days 00:01:05.847000,BOT,Kick Sauber,1.533
18,0 days 00:01:05.856000,SAR,Williams,1.542
19,0 days 00:01:06.061000,ZHO,Kick Sauber,1.747
