,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:29.165000,LEC,Ferrari,0.0
1,0 days 00:01:29.179000,VER,Red Bull Racing,0.014
2,0 days 00:01:29.485000,RUS,Mercedes,0.32
3,0 days 00:01:29.507000,SAI,Ferrari,0.342
4,0 days 00:01:29.537000,PER,Red Bull Racing,0.372
5,0 days 00:01:29.542000,ALO,Aston Martin,0.377
6,0 days 00:01:29.614000,NOR,McLaren,0.449
7,0 days 00:01:29.683000,PIA,McLaren,0.518
8,0 days 00:01:29.710000,HAM,Mercedes,0.545
9,0 days 00:01:29.851000,HUL,Haas F1 Team,0.686
10,0 days 00:01:29.965000,STR,Aston Martin,0.8
11,0 days 00:01:30.129000,TSU,RB,0.964
12,0 days 00:01:30.221000,ALB,Williams,1.056
13,0 days 00:01:30.278000,RIC,RB,1.113
14,0 days 00:01:30.529000,MAG,Haas F1 Team,1.364
15,0 days 00:01:30.756000,BOT,Kick Sauber,1.591
16,0 days 00:01:30.757000,ZHO,Kick Sauber,1.592
17,0 days 00:01:30.770000,SAR,Williams,1.605
18,0 days 00:01:30.793000,OCO,Alpine,1.628
19,0 days 00:01:30.948000,GAS,Alpine,1.783
