,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:25.819000,RUS,Mercedes,0.0
1,0 days 00:01:25.990000,HAM,Mercedes,0.171
2,0 days 00:01:26.030000,NOR,McLaren,0.211
3,0 days 00:01:26.203000,VER,Red Bull Racing,0.384
4,0 days 00:01:26.237000,PIA,McLaren,0.418
5,0 days 00:01:26.338000,HUL,Haas F1 Team,0.519
6,0 days 00:01:26.509000,SAI,Ferrari,0.69
7,0 days 00:01:26.585000,STR,Aston Martin,0.766
8,0 days 00:01:26.640000,ALB,Williams,0.821
9,0 days 00:01:26.730000,ALO,Aston Martin,0.911
10,0 days 00:01:27.097000,LEC,Ferrari,1.278
11,0 days 00:01:27.175000,SAR,Williams,1.356
12,0 days 00:01:27.269000,TSU,RB,1.45
13,0 days 00:01:27.867000,ZHO,Kick Sauber,2.048
14,0 days 00:01:27.949000,RIC,RB,2.13
15,0 days 00:01:32.431000,BOT,Kick Sauber,6.612
16,0 days 00:01:32.905000,MAG,Haas F1 Team,7.086
17,0 days 00:01:34.557000,OCO,Alpine,8.738
18,0 days 00:01:38.348000,PER,Red Bull Racing,12.529
19,0 days 00:01:39.804000,GAS,Alpine,13.985
