,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:11.742000,RUS,Mercedes,0.0
1,0 days 00:01:11.979000,HAM,Mercedes,0.237
2,0 days 00:01:12,VER,Red Bull Racing,0.258
3,0 days 00:01:12.021000,NOR,McLaren,0.279
4,0 days 00:01:12.103000,PIA,McLaren,0.361
5,0 days 00:01:12.178000,RIC,RB,0.436
6,0 days 00:01:12.228000,ALO,Aston Martin,0.486
7,0 days 00:01:12.303000,TSU,RB,0.561
8,0 days 00:01:12.485000,ALB,Williams,0.743
9,0 days 00:01:12.659000,STR,Aston Martin,0.917
10,0 days 00:01:12.691000,LEC,Ferrari,0.949
11,0 days 00:01:12.728000,SAI,Ferrari,0.986
12,0 days 00:01:12.736000,SAR,Williams,0.994
13,0 days 00:01:12.916000,MAG,Haas F1 Team,1.174
14,0 days 00:01:12.940000,GAS,Alpine,1.198
15,0 days 00:01:13.326000,PER,Red Bull Racing,1.584
16,0 days 00:01:13.366000,BOT,Kick Sauber,1.624
17,0 days 00:01:13.435000,OCO,Alpine,1.693
18,0 days 00:01:13.978000,HUL,Haas F1 Team,2.236
19,0 days 00:01:14.292000,ZHO,Kick Sauber,2.55
