,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:33.660000,VER,Red Bull Racing,0.0
1,0 days 00:01:33.982000,PER,Red Bull Racing,0.322
2,0 days 00:01:34.148000,ALO,Aston Martin,0.488
3,0 days 00:01:34.165000,NOR,McLaren,0.505
4,0 days 00:01:34.273000,PIA,McLaren,0.613
5,0 days 00:01:34.289000,LEC,Ferrari,0.629
6,0 days 00:01:34.297000,SAI,Ferrari,0.637
7,0 days 00:01:34.433000,RUS,Mercedes,0.773
8,0 days 00:01:34.604000,HUL,Haas F1 Team,0.944
9,0 days 00:01:34.665000,BOT,Kick Sauber,1.005
10,0 days 00:01:34.838000,STR,Aston Martin,1.178
11,0 days 00:01:34.934000,RIC,RB,1.274
12,0 days 00:01:35.223000,OCO,Alpine,1.563
13,0 days 00:01:35.241000,ALB,Williams,1.581
14,0 days 00:01:35.287000,GAS,Alpine,1.627
15,0 days 00:01:35.505000,ZHO,Kick Sauber,1.845
16,0 days 00:01:35.516000,MAG,Haas F1 Team,1.856
17,0 days 00:01:35.573000,HAM,Mercedes,1.913
18,0 days 00:01:35.746000,TSU,RB,2.086
19,0 days 00:01:36.358000,SAR,Williams,2.698
