,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:14.746000,VER,Red Bull Racing,0.0
1,0 days 00:01:14.820000,PIA,McLaren,0.074
2,0 days 00:01:14.837000,NOR,McLaren,0.091
3,0 days 00:01:14.970000,LEC,Ferrari,0.224
4,0 days 00:01:15.233000,SAI,Ferrari,0.487
5,0 days 00:01:15.234000,RUS,Mercedes,0.488
6,0 days 00:01:15.358000,TSU,RB,0.612
7,0 days 00:01:15.504000,HAM,Mercedes,0.758
8,0 days 00:01:15.569000,HUL,Haas F1 Team,0.823
9,0 days 00:01:15.674000,RIC,RB,0.928
10,0 days 00:01:15.706000,PER,Red Bull Racing,0.96
11,0 days 00:01:15.906000,OCO,Alpine,1.16
12,0 days 00:01:15.992000,STR,Aston Martin,1.246
13,0 days 00:01:16.015000,GAS,Alpine,1.269
14,0 days 00:01:16.200000,ALB,Williams,1.454
15,0 days 00:01:16.626000,BOT,Kick Sauber,1.88
16,0 days 00:01:16.834000,ZHO,Kick Sauber,2.088
17,0 days 00:01:16.854000,MAG,Haas F1 Team,2.108
18,0 days 00:01:16.917000,ALO,Aston Martin,2.171
19,,,,
