,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:19.327000,NOR,McLaren,0.0
1,0 days 00:01:19.436000,PIA,McLaren,0.109
2,0 days 00:01:19.440000,RUS,Mercedes,0.113
3,0 days 00:01:19.461000,LEC,Ferrari,0.134
4,0 days 00:01:19.467000,SAI,Ferrari,0.14
5,0 days 00:01:19.513000,HAM,Mercedes,0.186
6,0 days 00:01:19.662000,VER,Red Bull Racing,0.335
7,0 days 00:01:20.062000,PER,Red Bull Racing,0.735
8,0 days 00:01:20.299000,ALB,Williams,0.972
9,0 days 00:01:20.339000,HUL,Haas F1 Team,1.012
10,0 days 00:01:20.421000,ALO,Aston Martin,1.094
11,0 days 00:01:20.479000,RIC,RB,1.152
12,0 days 00:01:20.698000,MAG,Haas F1 Team,1.371
13,0 days 00:01:20.738000,GAS,Alpine,1.411
14,0 days 00:01:20.764000,OCO,Alpine,1.437
15,0 days 00:01:20.945000,TSU,RB,1.618
16,0 days 00:01:21.013000,STR,Aston Martin,1.686
17,0 days 00:01:21.061000,COL,Williams,1.734
18,0 days 00:01:21.101000,BOT,Kick Sauber,1.774
19,0 days 00:01:21.445000,ZHO,Kick Sauber,2.118
