,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:27.241000,VER,Red Bull Racing,0.0
1,0 days 00:01:27.382000,LEC,Ferrari,0.141
2,0 days 00:01:27.455000,SAI,Ferrari,0.214
3,0 days 00:01:27.460000,PER,Red Bull Racing,0.219
4,0 days 00:01:27.594000,NOR,McLaren,0.353
5,0 days 00:01:27.675000,PIA,McLaren,0.434
6,0 days 00:01:27.697000,HAM,Mercedes,0.456
7,0 days 00:01:27.976000,GAS,Alpine,0.735
8,0 days 00:01:28.067000,RUS,Mercedes,0.826
9,0 days 00:01:28.146000,HUL,Haas F1 Team,0.905
10,0 days 00:01:28.167000,TSU,RB,0.926
11,0 days 00:01:28.177000,STR,Aston Martin,0.936
12,0 days 00:01:28.209000,OCO,Alpine,0.968
13,0 days 00:01:28.343000,ALB,Williams,1.102
14,0 days 00:01:28.427000,ALO,Aston Martin,1.186
15,0 days 00:01:28.463000,BOT,Kick Sauber,1.222
16,0 days 00:01:28.487000,SAR,Williams,1.246
17,0 days 00:01:28.617000,RIC,RB,1.376
18,0 days 00:01:28.619000,MAG,Haas F1 Team,1.378
19,0 days 00:01:28.824000,ZHO,Kick Sauber,1.583
