,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:10.270000,LEC,Ferrari,0.0
1,0 days 00:01:10.424000,PIA,McLaren,0.154
2,0 days 00:01:10.518000,SAI,Ferrari,0.248
3,0 days 00:01:10.542000,NOR,McLaren,0.272
4,0 days 00:01:10.543000,RUS,Mercedes,0.273
5,0 days 00:01:10.567000,VER,Red Bull Racing,0.297
6,0 days 00:01:10.621000,HAM,Mercedes,0.351
7,0 days 00:01:10.858000,TSU,RB,0.588
8,0 days 00:01:10.896000,GAS,Alpine,0.626
9,0 days 00:01:10.948000,ALB,Williams,0.678
10,0 days 00:01:11.285000,OCO,Alpine,1.015
11,0 days 00:01:11.440000,HUL,Haas F1 Team,1.17
12,0 days 00:01:11.482000,RIC,RB,1.212
13,0 days 00:01:11.563000,STR,Aston Martin,1.293
14,0 days 00:01:11.725000,MAG,Haas F1 Team,1.455
15,0 days 00:01:12.019000,ALO,Aston Martin,1.749
16,0 days 00:01:12.020000,SAR,Williams,1.75
17,0 days 00:01:12.060000,PER,Red Bull Racing,1.79
18,0 days 00:01:12.512000,BOT,Kick Sauber,2.242
19,0 days 00:01:13.028000,ZHO,Kick Sauber,2.758
