,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:20.520000,VER,Red Bull Racing,0.0
1,0 days 00:01:20.575000,RUS,Mercedes,0.055
2,0 days 00:01:20.772000,NOR,McLaren,0.252
3,0 days 00:01:20.829000,PIA,McLaren,0.309
4,0 days 00:01:20.852000,LEC,Ferrari,0.332
5,0 days 00:01:21.011000,HAM,Mercedes,0.491
6,0 days 00:01:21.041000,SAI,Ferrari,0.521
7,0 days 00:01:21.208000,ALO,Aston Martin,0.688
8,0 days 00:01:21.387000,MAG,Haas F1 Team,0.867
9,0 days 00:01:21.425000,PER,Red Bull Racing,0.905
10,0 days 00:01:21.437000,GAS,Alpine,0.917
11,0 days 00:01:21.501000,ZHO,Kick Sauber,0.981
12,0 days 00:01:21.731000,BOT,Kick Sauber,1.211
13,0 days 00:01:21.771000,TSU,RB,1.251
14,0 days 00:01:21.911000,STR,Aston Martin,1.391
15,0 days 00:01:22.390000,ALB,Williams,1.87
16,0 days 00:01:22.411000,LAW,RB,1.891
17,0 days 00:01:22.442000,HUL,Haas F1 Team,1.922
18,0 days 00:01:22.594000,COL,Williams,2.074
19,0 days 00:01:22.714000,OCO,Alpine,2.194
