,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:27.472000,VER,Red Bull Racing,0.0
1,0 days 00:01:27.791000,LEC,Ferrari,0.319
2,0 days 00:01:27.807000,PER,Red Bull Racing,0.335
3,0 days 00:01:27.846000,ALO,Aston Martin,0.374
4,0 days 00:01:28.089000,PIA,McLaren,0.617
5,0 days 00:01:28.132000,NOR,McLaren,0.66
6,0 days 00:01:28.250000,STR,Aston Martin,0.778
7,0 days 00:01:28.316000,RUS,Mercedes,0.844
8,0 days 00:01:28.460000,HAM,Mercedes,0.988
9,0 days 00:01:28.547000,TSU,RB,1.075
10,0 days 00:01:28.642000,BEA,Ferrari,1.17
11,0 days 00:01:28.980000,ALB,Williams,1.508
12,0 days 00:01:29.020000,MAG,Haas F1 Team,1.548
13,0 days 00:01:29.025000,RIC,RB,1.553
14,0 days 00:01:29.055000,HUL,Haas F1 Team,1.583
15,0 days 00:01:29.179000,BOT,Kick Sauber,1.707
16,0 days 00:01:29.475000,OCO,Alpine,2.003
17,0 days 00:01:29.479000,GAS,Alpine,2.007
18,0 days 00:01:29.526000,SAR,Williams,2.054
19,,,,
