,LapTime,Driver,Team,LapTimeDelta
0,0 days 00:01:23.405000,NOR,McLaren,0.0
1,0 days 00:01:23.578000,RUS,Mercedes,0.173
2,0 days 00:01:24.111000,TSU,RB,0.706
3,0 days 00:01:24.475000,OCO,Alpine,1.07
4,0 days 00:01:24.484000,LAW,RB,1.079
5,0 days 00:01:24.525000,LEC,Ferrari,1.12
6,0 days 00:01:24.657000,ALB,Williams,1.252
7,0 days 00:01:24.686000,PIA,McLaren,1.281
8,0 days 00:01:25.035000,ALO,Aston Martin,1.63
9,0 days 00:01:26.334000,STR,Aston Martin,2.929
10,0 days 00:01:26.472000,BOT,Kick Sauber,3.067
11,0 days 00:01:27.771000,VER,Red Bull Racing,4.366
12,0 days 00:01:28.158000,PER,Red Bull Racing,4.753
13,0 days 00:01:29.406000,SAI,Ferrari,6.001
14,0 days 00:01:29.420000,GAS,Alpine,6.015
15,0 days 00:01:31.150000,HAM,Mercedes,7.745
16,0 days 00:01:31.229000,BEA,Haas F1 Team,7.824
17,0 days 00:01:31.270000,COL,Williams,7.865
18,0 days 00:01:31.623000,HUL,Haas F1 Team,8.218
19,0 days 00:01:32.263000,ZHO,Kick Sauber,8.858
