,NOR,SAI,LEC,HAM,RUS,VER,GAS,HUL,ALO,PIA,ALB,TSU,ZHO,STR,DOO,MAG,LAW,BOT,COL,PER
1.0,0.0,1.856999999999971,6.501999999999953,8.741999999999734,3.536999999999807,8.367999999999938,2.8419999999996435,4.355999999999767,5.023999999999887,12.614999999999782,10.047999999999774,10.864999999999782,9.576000000000022,7.181999999999789,10.422000000000025,5.806999999999789,7.875,9.040999999999713,11.364000000000033,0.0
2.0,0.0,3.2780000000002474,11.166000000000167,17.12400000000025,5.026000000000295,14.957000000000335,4.253000000000156,5.894000000000233,6.831000000000131,26.182000000000244,21.890000000000327,24.108000000000175,21.054000000000087,12.189000000000306,22.88700000000017,7.6550000000002,13.673999999999978,18.23600000000033,25.04300000000012,
3.0,0.0,2.7600000000002183,7.5090000000000146,11.547000000000025,4.523999999999887,9.695000000000164,3.7770000000000437,5.269999999999982,5.758000000000266,17.72900000000027,14.353000000000065,15.615999999999985,13.66800000000012,8.40099999999984,16.376000000000204,6.625,10.684999999999945,13.023999999999887,52.440000000000055,
4.0,0.0,2.744999999999891,7.7719999999999345,12.202999999999975,5.001999999999953,10.18899999999985,4.1729999999997744,5.60799999999972,6.181999999999789,20.919999999999618,15.402999999999793,16.721000000000004,14.623999999999796,9.076000000000022,17.56399999999985,6.817000000000007,11.413000000000011,13.957999999999629,78.57600000000002,
5.0,0.0,2.8910000000000764,8.420999999999822,12.83199999999988,5.69399999999996,10.898000000000138,4.679999999999836,6.472000000000207,7.161999999999807,42.702999999999975,16.66800000000012,17.960000000000036,15.981999999999971,10.021999999999935,18.916999999999916,7.753000000000156,12.177999999999884,15.327999999999975,78.88299999999981,
6.0,0.0,2.7830000000003565,9.057000000000244,14.164000000000215,6.124000000000251,10.94900000000007,5.333000000000084,6.898000000000138,7.630000000000109,42.29200000000037,18.1220000000003,19.346000000000004,16.53500000000031,11.7800000000002,20.059000000000196,8.577999999999975,13.38000000000011,19.355000000000018,79.38300000000027,
7.0,0.0,2.8219999999996617,9.570999999999913,15.49499999999989,6.837999999999738,11.809999999999945,6.052999999999884,7.6340000000000146,8.390999999999622,42.42000000000007,19.414999999999964,20.75799999999981,18.05199999999968,12.945999999999913,21.809999999999945,10.631999999999607,14.61999999999989,60.46299999999974,80.39300000000003,
8.0,0.0,3.16399999999976,10.49499999999989,16.853000000000065,7.966000000000349,12.774000000000342,6.925000000000182,8.863000000000284,9.563000000000102,43.04200000000037,21.26000000000022,22.289999999999964,19.48999999999978,14.552999999999884,23.902000000000044,12.194999999999709,16.105000000000473,61.19999999999982,81.80299999999988,
9.0,0.0,3.344000000000051,11.40099999999984,18.141999999999825,8.774999999999636,13.211999999999534,7.548999999999978,9.8149999999996,10.640999999999622,43.58799999999974,22.721999999999753,23.938999999999396,20.902999999999338,16.050999999999476,25.854999999999563,14.277000000000044,17.40099999999984,62.09599999999955,82.73399999999947,
10.0,0.0,3.4200000000000728,12.164999999999964,19.552999999999884,9.586999999999534,14.417000000000371,8.431999999999789,10.971999999999753,13.104999999999563,44.01299999999992,24.225999999999658,25.484999999999673,22.18199999999979,17.64300000000003,27.664999999999964,16.06800000000021,18.916000000000167,62.6899999999996,83.89000000000033,
11.0,0.0,3.5380000000004657,13.305000000000291,21.490999999999985,10.514000000000124,15.684000000000196,9.376000000000204,12.588000000000648,15.06500000000051,44.202000000000226,25.856000000000677,27.192000000000007,23.86200000000008,21.369000000000597,29.36200000000008,17.88299999999981,20.777000000000044,63.45499999999993,85.22100000000046,
12.0,0.0,3.604000000000269,13.728000000000065,22.36200000000008,11.468000000000757,16.764000000000124,10.46600000000035,14.792000000000371,17.80200000000059,44.95900000000074,28.972999999999956,28.783000000000357,27.64100000000053,43.970000000000255,31.137000000000626,21.364000000000487,23.580000000000837,64.25400000000081,86.34500000000025,
13.0,0.0,3.5239999999994325,14.289999999999964,23.36999999999989,12.27599999999984,17.669999999999163,11.36699999999928,18.00999999999931,21.773999999999432,45.253999999999905,49.67399999999998,30.237999999999374,50.69799999999941,44.57799999999952,32.448999999999614,45.964999999999236,25.54199999999946,64.79399999999987,87.33299999999963,
14.0,0.0,3.625,14.766999999999825,24.368999999999687,13.203999999999724,18.759000000000015,14.568999999999505,38.61999999999989,44.527000000000044,45.53399999999965,50.53200000000015,32.11499999999978,51.78699999999935,46.08299999999963,34.01999999999953,46.7519999999995,27.297999999999774,65.23700000000008,91.02499999999964,
15.0,0.0,3.7770000000000437,15.372000000000298,25.171000000000276,14.228000000000065,19.56500000000051,35.28300000000036,39.33600000000024,45.21299999999974,46.35900000000038,51.45600000000013,33.73099999999977,52.802999999999884,46.97599999999966,37.069000000000415,47.58100000000013,28.688000000000102,65.73900000000049,94.84699999999975,
16.0,0.0,4.050000000000182,16.240999999999985,26.185999999999694,15.072000000000116,20.661000000000058,36.259000000000015,40.36999999999989,46.16899999999987,47.3119999999999,52.43199999999979,35.49399999999969,53.988000000000284,48.05699999999979,39.21799999999985,48.64400000000023,30.35699999999997,66.36999999999989,96.35999999999967,
17.0,0.0,4.282000000000153,16.855999999999767,26.868000000000393,15.88299999999981,21.61499999999978,37.289999999999964,40.56700000000001,47.10599999999977,48.01600000000053,53.1880000000001,38.54200000000037,55.29700000000048,48.873999999999796,41.82600000000002,49.63000000000011,31.95800000000054,67.23400000000038,97.60199999999986,
