,SAI,LEC,NOR,PIA,PER,STR,TSU,ALO,HUL,MAG,ALB,RIC,GAS,BOT,ZHO,OCO,RUS,HAM,VER
1.0,0.9169999999999163,3.061999999999898,2.326000000000022,3.5779999999999745,4.9699999999998,5.376999999999953,5.846999999999753,7.045000000000073,9.461999999999989,8.009000000000015,8.293999999999869,10.186999999999898,9.846000000000004,7.304999999999836,11.23299999999972,8.824999999999818,4.451999999999771,6.230000000000018,0.0
2.0,0.0,2.5590000000001965,1.9920000000001892,3.29300000000012,4.834000000000287,5.411000000000058,6.137000000000171,7.811999999999898,10.652000000000044,8.740000000000236,9.313000000000102,11.496000000000095,10.978000000000065,8.132000000000062,12.095000000000255,9.988000000000284,4.282000000000153,6.768000000000029,0.58199999999988
3.0,0.0,2.3290000000001783,1.6420000000002801,2.956000000000131,4.993000000000393,5.601000000000113,6.334000000000287,7.7840000000001055,11.222000000000207,9.299000000000433,9.913000000000011,12.330000000000382,11.82300000000032,8.398000000000138,13.001000000000204,10.559000000000196,4.313000000000102,6.832000000000335,0.6910000000002583
4.0,0.0,2.4150000000004184,1.818000000000211,3.104000000000269,5.958000000000084,6.622000000000298,7.335000000000036,9.093000000000302,12.520000000000437,10.395000000000437,10.91800000000012,13.99200000000019,13.090000000000146,9.670000000000073,14.516000000000076,11.700000000000273,5.451000000000022,7.835000000000036,18.623000000000047
5.0,0.0,2.4179999999996653,1.8739999999997963,3.06899999999996,6.692999999999756,7.329999999999927,8.016000000000076,9.75799999999981,14.355999999999767,11.726999999999862,12.204999999999927,30.16899999999987,14.98700000000008,10.600999999999658,16.047999999999774,12.855000000000018,5.993999999999687,8.761999999999716,
6.0,0.0,2.519000000000233,1.9340000000001965,3.0790000000001783,7.144999999999982,7.785000000000309,8.889000000000124,10.382000000000062,15.531000000000404,13.109000000000378,27.494000000000142,38.17300000000023,16.327000000000226,11.151000000000295,32.41700000000037,14.124000000000251,6.541000000000167,9.355000000000018,
7.0,0.0,2.769000000000233,2.244000000000142,3.5219999999999345,7.515000000000327,8.36999999999989,9.319000000000415,10.743000000000393,16.965000000000146,28.61999999999989,33.50699999999961,39.77900000000045,17.337999999999738,12.454999999999927,41.15099999999984,14.88799999999992,6.871000000000095,23.77900000000045,
8.0,0.0,3.449000000000524,2.5709999999999127,4.270999999999731,8.260000000000218,23.429000000000087,10.396999999999935,11.208999999999833,18.5,36.29600000000028,34.92399999999998,41.08399999999983,18.91399999999976,56.79700000000048,43.25,15.56500000000051,21.488000000000284,29.640000000000327,
9.0,0.0,17.459999999999127,3.2729999999992287,18.74699999999939,9.204999999999927,29.34899999999925,26.581999999999425,12.528999999999542,20.33099999999922,37.93299999999999,36.54399999999987,42.54999999999927,20.717999999999847,64.6909999999998,44.84899999999925,31.487999999999374,27.79399999999987,30.169999999999163,
10.0,0.0,23.606000000000677,4.253000000000611,24.83100000000013,10.170000000000073,30.517000000000735,34.759000000000015,13.42200000000048,22.39300000000003,39.889000000000124,38.681000000000495,44.07999999999993,22.85900000000038,66.13700000000063,46.79400000000078,39.212000000000444,28.816000000000713,32.75,
11.0,0.0,24.31500000000051,5.251000000000204,25.621000000000095,11.153000000000247,31.29700000000048,35.71900000000005,14.423000000000684,25.525000000000546,41.27300000000014,39.9970000000003,45.225000000000364,26.31800000000021,67.63900000000012,48.302999999999884,40.613000000000284,29.59400000000005,33.25600000000031,
12.0,0.0,23.980999999999767,5.890000000000327,26.394000000000233,12.681999999999789,32.1850000000004,36.34299999999985,15.152000000000044,28.173999999999978,42.20799999999963,40.58899999999994,46.108000000000175,28.76800000000003,68.4399999999996,49.30500000000029,41.31999999999971,30.440999999999804,34.1220000000003,
13.0,0.0,23.998000000000502,6.837999999999738,26.61499999999978,14.141000000000531,33.30199999999968,37.17000000000007,16.134000000000015,29.92200000000048,43.0659999999998,41.56700000000001,46.80699999999979,30.61200000000008,69.39400000000023,50.57099999999991,42.07099999999991,31.673999999999978,35.163000000000466,
14.0,0.0,23.462999999999738,22.449999999999818,26.09600000000046,30.346999999999753,33.92100000000028,37.50600000000031,17.10199999999986,31.399999999999636,43.48400000000038,42.05799999999999,47.197000000000116,32.22900000000027,70.30199999999968,51.38600000000042,42.70300000000043,32.577000000000226,35.38799999999992,
15.0,0.0,22.57800000000043,28.034999999999854,25.436999999999898,35.63600000000042,34.751000000000204,38.22199999999975,17.61999999999989,33.061000000000604,44.53200000000015,42.465000000000146,47.40700000000015,33.70899999999983,71.01100000000042,52.095000000000255,43.17399999999998,34.043000000000575,36.90900000000056,
