,HAM,PIA,LEC,VER,NOR,SAI,PER,ALO,OCO,RIC,STR,ALB,GAS,MAG,BOT,TSU,SAR,HUL,ZHO,RUS
1.0,0.7880000000000109,2.33600000000024,0.0,5.2710000000001855,3.8150000000000546,3.3580000000001746,1.5270000000000437,4.664999999999964,5.934999999999945,7.344000000000051,7.706000000000131,5.4090000000001055,6.64200000000028,8.83600000000024,6.84900000000016,9.72900000000027,10.278000000000247,8.244000000000142,9.209000000000287,2.8510000000001128
2.0,0.3969999999999345,2.2599999999997635,0.0,4.858999999999924,4.0789999999997235,3.3779999999997017,1.5270000000000437,5.7409999999999854,7.007000000000062,8.644999999999982,9.11999999999989,6.451999999999771,7.674999999999727,10.327999999999975,8.060999999999694,11.879999999999654,12.326000000000022,9.803999999999633,11.067999999999756,2.770999999999731
3.0,0.0,2.724999999999909,1.01299999999992,5.494000000000142,4.704000000000178,3.9850000000001273,2.0039999999999054,6.438999999999851,8.018999999999778,10.353999999999814,11.00799999999981,7.1460000000001855,8.92599999999993,12.135999999999967,9.639999999999873,13.425000000000182,14.18600000000015,11.532000000000153,82.73199999999997,3.2770000000000437
4.0,0.0,2.7640000000001237,1.0010000000002037,5.7409999999999854,4.907999999999902,4.0590000000001965,1.9859999999998763,7.052000000000135,8.58199999999988,11.260999999999967,12.018999999999778,7.648000000000138,9.483999999999924,13.33199999999988,10.358999999999924,14.474999999999909,15.150000000000091,12.635999999999967,85.30000000000018,3.52599999999984
5.0,0.0,3.4729999999999563,1.1189999999996871,6.502999999999702,5.686999999999898,4.919999999999618,2.505999999999858,8.365999999999985,9.841999999999643,12.198999999999614,13.13799999999992,8.99499999999989,10.635999999999967,14.742999999999938,11.444999999999709,16.054999999999836,16.88899999999967,14.028999999999996,109.55699999999979,4.334999999999582
6.0,0.0,4.036000000000058,1.3769999999999527,7.175999999999931,6.488000000000284,5.763000000000375,3.2350000000001273,9.717000000000098,11.350000000000364,13.759000000000015,14.661000000000058,10.622000000000298,12.327999999999975,16.69800000000032,13.14200000000028,17.972999999999956,18.771000000000186,15.907000000000153,,5.025000000000091
7.0,0.0,4.709000000000287,1.818000000000211,7.9650000000001455,7.2029999999999745,6.383000000000266,3.5150000000003274,11.138000000000375,13.087999999999738,15.692000000000007,16.538000000000466,12.171000000000276,14.11999999999989,18.618000000000393,14.963999999999942,19.795000000000073,21.076000000000022,22.07000000000062,,5.580000000000382
8.0,0.0,5.104999999999563,1.7010000000000218,8.393000000000029,7.835000000000036,7.101999999999862,3.761000000000422,12.297999999999774,14.532000000000153,21.621000000000095,18.442000000000007,17.86999999999989,15.841999999999643,20.23700000000008,16.715000000000146,21.497999999999593,27.046000000000276,37.21900000000005,,6.462000000000444
9.0,0.0,5.882000000000517,2.092999999999847,9.298000000000684,8.429000000000087,7.694000000000415,4.342999999999847,13.826000000000022,16.13300000000072,34.936000000000604,20.07300000000032,31.35699999999997,22.14800000000014,21.722000000000662,18.420000000000073,23.48400000000038,41.228000000000065,37.14900000000034,,6.900000000000546
10.0,0.0,5.9760000000005675,2.105000000000473,14.002000000000407,8.811999999999898,7.925000000000182,4.449000000000524,14.789999999999964,17.266999999999825,34.67399999999998,21.373000000000502,31.108000000000175,37.02300000000014,23.483000000000175,19.332000000000335,25.04700000000048,40.70499999999993,36.46700000000055,,11.601000000000568
11.0,2.256000000000313,8.175000000000182,0.0,24.71900000000005,6.748999999999796,5.375,7.221000000000458,13.400000000000546,16.127000000000407,32.54700000000048,20.063000000000102,28.98999999999978,34.539999999999964,23.33100000000013,22.485999999999876,25.453999999999724,39.00799999999981,34.1220000000003,,21.985000000000582
12.0,12.956999999999425,17.186999999999898,0.0,19.03099999999995,2.381999999999607,0.4250000000001819,16.833999999999833,10.199999999999818,17.560999999999694,28.402000000000044,21.217999999999847,25.024999999999636,30.22899999999936,21.373999999999796,31.365999999999985,22.91899999999987,35.11899999999969,29.855999999999767,,17.76599999999962
13.0,11.488000000000284,15.078999999999724,12.993999999999687,17.78899999999976,2.67200000000048,0.0,15.932999999999993,15.180999999999585,31.480999999999767,28.55199999999968,36.09699999999975,25.72699999999986,30.60400000000027,22.694000000000415,31.065999999999804,24.626000000000204,36.0649999999996,29.988000000000284,,16.795000000000073
14.0,10.5649999999996,14.27099999999973,12.173999999999978,16.894999999999527,3.191999999999098,0.0,15.279999999999745,30.126999999999498,32.43299999999999,28.975999999999658,36.24399999999969,27.19799999999941,32.1899999999996,24.513999999999214,33.8119999999999,26.695999999999913,38.26299999999992,31.45799999999963,,16.01299999999992
15.0,7.563000000000102,11.189000000000306,9.043000000000575,13.972000000000662,5.968000000000757,0.0,12.432999999999993,28.444000000000415,30.757000000000517,27.835000000000036,34.944000000000415,25.873000000000502,31.467000000000553,24.105000000000473,32.54100000000017,31.952000000000226,37.626000000000204,30.289999999999964,,13.176000000000386
16.0,6.375,10.38300000000072,7.8640000000004875,13.320000000000618,18.56800000000021,0.0,11.77600000000075,28.82300000000032,30.593000000000757,28.16900000000078,35.46700000000055,26.97700000000077,32.41900000000078,25.41700000000037,33.327000000000226,47.63100000000031,38.92100000000028,31.832000000000335,,12.621000000000095
17.0,5.501000000000204,10.025000000000546,7.014000000000124,12.920000000000073,17.259000000000015,0.0,11.436999999999898,30.02300000000014,31.192000000000007,29.065999999999804,36.34700000000066,28.19000000000051,33.422999999999774,31.141999999999825,34.67100000000028,48.215000000000146,40.91700000000037,33.96700000000055,,12.25
18.0,4.368999999999687,9.135999999999513,5.943000000000211,12.773999999999432,16.359999999999673,0.0,10.948999999999614,30.94300000000021,31.63000000000011,29.9970000000003,37.11499999999978,29.039999999999964,34.43199999999979,46.48199999999997,36.01999999999953,48.83299999999963,42.689000000000306,35.414999999999964,,11.764000000000124
19.0,3.356999999999971,8.317000000000007,5.23700000000008,12.300000000000182,15.356999999999971,0.0,10.592000000000553,31.68199999999979,32.306000000000495,30.820999999999913,38.14900000000034,29.98999999999978,35.33100000000013,46.52300000000014,36.288000000000466,49.16899999999987,44.20100000000002,37.76600000000053,,11.21100000000024
20.0,0.0,4.898000000000138,1.9220000000004802,9.840000000000146,11.895000000000437,2.1239999999997963,8.661000000000058,31.297999999999774,30.21100000000024,29.429000000000087,37.1869999999999,28.631000000000313,33.61999999999989,44.88600000000042,34.64400000000023,47.19599999999991,43.876000000000204,40.990999999999985,,9.221999999999753
21.0,0.0,4.878000000000611,1.905999999999949,10.717000000000553,11.762000000000626,16.36200000000008,14.947000000000116,33.09700000000066,31.41400000000067,35.42000000000007,38.3700000000008,30.041000000000167,35.28400000000056,46.875,36.22900000000027,48.43299999999999,46.35200000000077,56.4320000000007,,8.588999999999942
22.0,0.0,4.689000000000306,1.8940000000002328,10.79699999999957,11.573999999999614,15.92199999999957,28.409999999999854,34.66100000000006,32.47400000000016,51.516999999999825,39.509000000000015,31.715000000000146,36.86899999999969,48.69599999999991,37.66899999999987,51.86800000000039,51.23400000000038,57.35699999999997,,8.809000000000196
23.0,0.0,4.703000000000429,2.005000000000109,10.95300000000043,11.699999999999818,16.015000000000327,27.295000000000073,36.33899999999994,33.78700000000026,51.501000000000204,40.74499999999989,37.676000000000386,38.26000000000022,49.73000000000047,39.21799999999985,54.61500000000069,54.09900000000016,59.082000000000335,,8.88299999999981
24.0,0.0,4.837999999999738,2.4210000000002765,11.078999999999724,12.028000000000247,15.80199999999968,27.088999999999942,37.66399999999976,34.503999999999905,52.034999999999854,42.527000000000044,52.80699999999979,39.73999999999978,50.909999999999854,40.947000000000116,57.68299999999999,61.78399999999965,61.48700000000008,,9.180000000000291
