,HAM,VER,NOR,PIA,SAI,HUL,STR,ALO,ALB,TSU,SAR,MAG,RIC,LEC,BOT,OCO,PER,ZHO,RUS,GAS
1.0,,,,,,,,,,,,,,,,,,,,
2.0,0.8250000000002728,1.8550000000000182,2.905999999999949,3.7400000000002365,4.429000000000087,6.381000000000313,5.162000000000262,7.0470000000000255,8.11700000000019,7.69399999999996,8.577999999999975,11.268000000000029,9.795000000000073,5.89200000000028,13.028999999999996,10.269000000000233,15.771000000000186,9.164999999999964,0.0,
3.0,1.2429999999999382,2.757000000000062,3.5989999999997053,4.368999999999687,5.23299999999972,7.688000000000102,6.170999999999822,8.699999999999818,10.192000000000007,9.458000000000084,10.598999999999705,13.228999999999814,11.92599999999993,6.962999999999738,16.177999999999884,12.449999999999818,16.813000000000102,11.353999999999814,0.0,
4.0,1.431999999999789,2.8910000000000764,3.77599999999984,4.489000000000033,5.4789999999998145,8.45199999999977,7.339999999999691,10.092999999999847,11.45199999999977,10.822999999999865,11.909999999999854,14.539999999999964,13.38000000000011,7.868999999999687,18.701000000000022,13.967000000000098,17.583999999999833,12.77599999999984,0.0,
5.0,1.481000000000222,3.0410000000001673,3.8640000000000327,4.693000000000211,5.790000000000418,9.592000000000098,8.41800000000012,11.082000000000335,12.670000000000073,11.802000000000135,13.421000000000276,15.911000000000058,15.015000000000327,8.938000000000102,20.84100000000035,15.549000000000433,18.067000000000007,14.419000000000324,0.0,
6.0,1.6020000000003165,3.1270000000004075,4.135000000000218,5.130000000000109,6.065000000000055,10.664000000000215,9.581000000000131,12.13000000000011,14.059000000000196,12.791000000000167,14.700000000000273,17.830000000000382,17.05600000000004,10.071000000000367,22.676000000000386,17.54000000000042,18.692000000000007,16.582000000000335,0.0,
7.0,1.6140000000004875,3.399000000000342,4.543000000000575,5.391999999999825,7.104000000000269,11.734000000000378,10.634000000000015,13.179000000000087,15.335000000000036,13.945000000000618,16.03899999999976,19.90099999999984,18.345000000000255,11.070000000000618,24.661000000000058,21.0600000000004,20.342000000000553,19.429000000000087,0.0,
8.0,1.643000000000029,3.706000000000131,4.830000000000837,5.655000000000655,7.7450000000008,12.805000000000291,11.551000000000386,13.944000000000415,16.402000000000044,14.837000000000444,17.114000000000487,21.374000000000706,19.709000000000742,12.199000000000524,26.490999999999985,23.119000000000597,22.01800000000003,24.02100000000064,0.0,
9.0,1.58600000000024,3.9680000000007567,5.1850000000004,6.03400000000056,8.608000000000175,13.579999999999927,12.221000000000458,14.902000000000044,17.713999999999942,15.786000000000058,18.512000000000626,22.536000000000058,20.850000000000364,12.904000000000451,28.515000000000327,25.39600000000064,23.197000000000116,27.722000000000662,0.0,
10.0,1.4620000000004438,3.9899999999997817,5.376000000000204,6.206000000000131,9.331000000000131,14.38000000000011,13.201000000000022,16.003999999999905,19.14800000000014,17.585000000000036,19.829000000000633,23.54399999999987,21.93199999999979,13.761000000000422,30.663000000000466,27.600000000000364,24.266999999999825,31.911000000000058,0.0,
11.0,1.3630000000002838,4.213999999999942,5.537999999999556,6.475000000000364,9.868000000000393,15.221999999999753,13.88799999999992,16.96600000000035,20.542999999999665,18.804000000000087,21.140000000000327,24.628999999999905,23.149999999999636,14.523000000000138,32.63799999999992,29.859999999999673,25.17199999999957,35.336999999999534,0.0,
12.0,1.3070000000006985,4.4890000000004875,5.637000000000626,6.519000000000233,10.606999999999971,16.003999999999905,14.631000000000313,17.774000000000342,21.490999999999985,19.967000000000553,22.269000000000233,25.541000000000167,24.32800000000043,15.140000000000327,34.288000000000466,32.3119999999999,26.061999999999898,37.95300000000043,0.0,
13.0,1.4719999999997526,4.532000000000153,5.393000000000029,6.698999999999614,11.141999999999825,16.756000000000313,16.006999999999607,18.574999999999818,22.54399999999987,21.282000000000153,23.592999999999847,26.5649999999996,25.49200000000019,15.412999999999556,36.22199999999975,35.086999999999534,27.117999999999483,61.28600000000006,0.0,
14.0,1.6030000000000655,4.753999999999905,5.322000000000116,6.917999999999665,11.769999999999527,17.898999999999432,17.170000000000073,19.479999999999563,23.60400000000027,22.534999999999854,24.721999999999753,27.592999999999847,26.947000000000116,16.33100000000013,37.899999999999636,38.902000000000044,28.1279999999997,62.25799999999981,0.0,
15.0,1.6000000000003638,5.436999999999898,4.7020000000002256,6.8659999999999854,12.11999999999989,19.00500000000011,18.2529999999997,20.172999999999774,24.302999999999884,23.557999999999993,25.698999999999614,28.980000000000473,28.55199999999968,17.520000000000437,39.5619999999999,42.220000000000255,29.264000000000124,63.17100000000028,0.0,
16.0,1.9049999999997453,6.3149999999996,4.765999999999622,7.358000000000175,12.948999999999614,20.57299999999941,19.717999999999847,21.136999999999716,25.854999999999563,25.14099999999962,27.773999999999432,30.840000000000146,31.363000000000284,18.817000000000007,41.90300000000025,47.115999999999985,31.868999999999687,66.7470000000003,0.0,
17.0,0.8330000000005384,6.881000000000313,4.277000000000044,6.552999999999884,12.384000000000015,21.22699999999986,20.63799999999992,21.358000000000175,25.9350000000004,25.08600000000024,28.239000000000487,30.70800000000054,32.45499999999993,19.304000000000087,42.608000000000175,51.05799999999999,31.904999999999745,70.0600000000004,0.0,
18.0,0.0,7.1489999999994325,2.4979999999995925,4.917999999999665,10.789999999999964,21.157000000000153,20.52300000000014,21.333999999999833,25.35399999999936,24.573999999999614,27.234999999999673,29.53399999999965,33.3779999999997,19.350999999999658,42.77899999999954,53.65099999999984,31.38499999999931,73.79299999999967,0.4609999999993306,
19.0,0.0,5.923000000000684,0.22300000000086584,1.9350000000004002,7.589000000000851,23.19800000000032,24.38000000000011,24.89300000000003,26.262000000000626,25.44800000000032,27.614000000000487,29.32800000000043,34.58900000000085,21.50800000000072,43.4940000000006,51.67100000000028,29.54200000000037,76.39500000000044,0.9010000000007494,
20.0,2.094000000000051,5.104000000000269,0.0,1.3559999999997672,6.199999999999818,22.800000000000182,23.943999999999505,23.445999999999913,24.86499999999978,24.39599999999973,25.802999999999884,26.581999999999425,33.99200000000019,43.849999999999454,44.10899999999947,74.76900000000023,50.76499999999942,104.42299999999977,2.9359999999996944,
21.0,2.73700000000008,7.0789999999997235,0.0,1.662000000000262,8.193999999999505,23.935999999999694,25.721999999999753,24.93199999999979,26.997999999999593,26.60699999999997,27.92199999999957,28.552999999999884,37.20100000000002,55.18299999999999,47.83100000000013,82.99200000000019,61.248999999999796,117.47000000000025,4.175999999999476,
22.0,2.972000000000662,8.123000000000502,0.0,1.9710000000004584,9.490999999999985,25.309000000000196,27.35699999999997,26.74499999999989,29.22400000000016,28.427999999999884,29.88799999999992,30.458999999999833,39.35600000000068,68.67500000000018,51.001000000000204,107.34000000000015,75.32499999999982,136.85800000000017,4.6599999999998545,
23.0,2.9030000000002474,9.090000000000146,0.0,1.7709999999997308,10.61200000000008,26.74499999999989,29.242999999999483,28.162000000000262,30.938999999999396,30.358000000000175,33.20600000000013,32.560999999999694,42.40399999999954,84.09199999999964,53.90099999999984,111.65200000000004,90.36300000000028,155.76299999999992,4.980999999999767,
24.0,2.9089999999996508,10.480999999999767,0.0,1.5339999999996508,11.716999999999643,28.467999999999847,32.198999999999614,30.621000000000095,33.26999999999953,32.835000000000036,35.61399999999958,34.55699999999979,47.25799999999981,104.19499999999971,59.6220000000003,118.02800000000025,109.46299999999974,173.0010000000002,5.319999999999709,
25.0,3.5900000000001455,12.23700000000008,0.0,1.498000000000502,12.552999999999884,30.078999999999724,33.24300000000039,32.001000000000204,34.57499999999982,34.001000000000204,37.472999999999956,35.400000000000546,51.676000000000386,119.1890000000003,65.07600000000002,131.15300000000025,122.48300000000017,186.9390000000003,5.793999999999869,
26.0,2.867000000000189,12.212999999999738,0.0,0.6049999999995634,13.519000000000233,30.41699999999946,32.511999999999716,34.10400000000027,36.83100000000013,35.746000000000095,40.599999999999454,39.35099999999966,54.97400000000016,123.32899999999972,73.09400000000005,148.34799999999996,126.70399999999972,190.53700000000026,4.2280000000000655,
27.0,3.2440000000005966,26.576000000000022,0.0,5.5460000000002765,30.377000000000407,48.33800000000065,49.31700000000001,37.811000000000604,39.77900000000045,39.0659999999998,48.039999999999964,45.86999999999989,72.95600000000013,124.4350000000004,93.65500000000065,166.27800000000025,134.4360000000006,210.2460000000001,7.119999999999891,
28.0,5.588000000000648,9.230000000000473,2.393000000000029,0.0,14.496000000000095,31.713000000000648,32.98199999999997,43.71600000000035,49.71600000000035,43.99200000000019,55.499000000000706,52.646999999999935,57.771999999999935,129.05100000000039,77.69500000000062,149.47200000000066,121.13799999999992,193.59000000000015,12.94000000000051,
29.0,3.34900000000016,8.10399999999936,0.0,18.524999999999636,14.28399999999965,31.69499999999971,33.3149999999996,44.128999999999905,48.78299999999945,45.081999999999425,55.05499999999938,52.82999999999993,58.48999999999978,127.99399999999969,78.33799999999974,149.17500000000018,142.86399999999958,192.92399999999998,10.685999999999694,
30.0,3.09900000000016,9.484999999999673,0.0,18.300000000000182,16.304000000000087,33.78899999999976,35.66399999999976,45.98900000000049,51.337000000000444,47.332000000000335,56.814000000000306,54.246000000000095,61.07099999999991,129.57600000000002,81.09299999999985,151.79399999999987,142.16799999999967,195.3640000000005,11.206000000000131,
31.0,3.3239999999996144,10.197000000000116,0.0,19.14800000000014,17.997999999999593,35.75,38.0649999999996,47.47199999999975,53.2529999999997,49.373999999999796,59.83299999999963,56.99300000000039,63.457000000000335,132.21299999999974,84.28999999999996,154.5,143.53099999999995,198.3670000000002,11.795000000000073,
32.0,3.582999999999629,10.518999999999323,0.0,20.068999999999505,19.079999999999927,37.667999999999665,40.39399999999932,48.94599999999991,55.34099999999944,51.61399999999958,62.52899999999954,59.860999999999876,65.38499999999931,133.79199999999946,87.27299999999923,156.95699999999943,145.34999999999945,201.17999999999938,12.66399999999976,
33.0,3.411000000000058,10.518000000000029,0.0,20.786999999999352,19.673999999999978,38.746000000000095,42.0,50.60099999999966,57.55400000000009,53.985999999999876,65.60599999999977,62.51999999999953,67.63299999999981,134.40200000000004,90.21799999999985,159.63999999999942,147.38400000000001,203.98499999999967,16.277999999999338,
34.0,3.0900000000001455,9.886999999999716,0.0,21.663000000000466,19.390000000000327,39.931000000000495,43.09299999999985,51.89800000000014,59.69200000000001,55.83100000000013,68.6230000000005,65.57700000000023,70.52400000000034,134.92799999999988,92.33899999999994,162.07300000000032,149.35100000000057,208.91700000000037,,
35.0,2.425999999999476,9.980999999999767,0.0,22.036999999999352,20.045000000000073,41.037999999999556,44.57999999999993,53.21399999999994,61.95899999999983,57.677999999999884,71.53899999999976,68.19899999999961,73.1239999999998,134.40799999999945,94.88000000000011,162.1329999999998,149.94999999999982,208.55099999999948,,
36.0,2.009999999999309,9.59899999999925,0.0,22.216999999999643,20.45299999999952,41.74199999999928,45.23999999999978,53.386999999999716,62.693999999999505,58.063999999999396,72.5639999999994,69.46999999999935,73.99699999999939,132.15899999999965,95.50799999999981,161.0079999999998,149.45499999999993,209.03399999999965,,
37.0,1.9349999999994907,8.681999999999789,0.0,22.065999999999804,21.09899999999925,42.612999999999374,46.27899999999954,54.347999999999956,63.180999999999585,59.375999999999294,74.98499999999967,71.72199999999975,74.6939999999995,130.72999999999956,95.70899999999983,163.45699999999943,149.36599999999999,210.85599999999977,,
38.0,1.155999999999949,6.645999999999731,0.0,21.172999999999774,21.469999999999345,43.46799999999985,47.65299999999934,55.03299999999945,63.024999999999636,60.04699999999957,75.79699999999957,97.65399999999954,100.02300000000014,150.54199999999946,124.33799999999974,164.89800000000014,171.53799999999956,239.58599999999933,,
39.0,21.798999999999978,28.21099999999933,0.0,39.085000000000036,21.52599999999984,43.96699999999964,48.66599999999926,77.52099999999973,83.95699999999943,81.9380000000001,95.30699999999979,94.11999999999989,96.41499999999996,145.27700000000004,124.70599999999922,188.28199999999924,167.5139999999992,235.53600000000006,,
40.0,0.0,6.150000000000546,2.7229999999999563,16.881000000000313,26.162000000000262,47.509000000000015,52.58100000000013,56.55000000000018,62.72900000000027,62.139000000000124,74.54300000000057,74.07400000000052,76.72600000000057,124.03800000000047,105.56200000000081,169.0030000000006,148.61599999999999,216.58899999999994,,
41.0,0.0,5.636000000000422,2.337999999999738,16.337000000000444,26.519000000000233,48.488000000000284,52.560999999999694,57.02599999999984,63.32600000000002,62.83299999999963,75.30000000000018,74.5659999999998,77.89699999999993,123.95499999999993,108.78799999999956,169.9989999999998,149.1869999999999,217.6220000000003,,
42.0,0.0,5.4909999999999854,2.7269999999998618,16.300999999999476,26.773999999999432,49.572000000000116,53.10499999999956,57.57600000000002,64.16699999999946,63.534999999999854,75.65499999999975,75.04199999999946,79.04500000000007,124.17000000000007,111.51900000000023,171.5689999999995,150.11200000000008,219.1260000000002,,
43.0,0.0,4.802999999999884,2.1959999999999127,15.793999999999869,26.853000000000065,49.61499999999978,53.50799999999981,57.88100000000031,64.5,63.97100000000046,76.02400000000034,75.70300000000043,80.44999999999982,124.125,113.45800000000054,172.86000000000058,150.54799999999977,220.34699999999975,,
44.0,0.0,4.4780000000000655,2.2510000000002037,15.318000000000211,26.895000000000437,50.3100000000004,53.84100000000035,58.11399999999958,65.54299999999967,65.15599999999995,76.32999999999993,77.34799999999996,81.83299999999963,124.36099999999988,115.03800000000047,174.09100000000035,151.3689999999997,222.02800000000025,,
45.0,0.0,4.17699999999968,2.44800000000032,15.101999999999862,27.046000000000276,50.92000000000007,54.427999999999884,58.54699999999957,66.51099999999951,67.15599999999995,77.50500000000011,79.6319999999996,83.35000000000036,124.83399999999983,118.75900000000001,175.60499999999956,152.4960000000001,223.94999999999982,,
46.0,0.0,4.079000000000633,2.767000000000735,14.694000000000415,26.993000000000393,51.46399999999994,54.6840000000002,58.65900000000056,67.10400000000027,69.20300000000043,78.69000000000051,81.1220000000003,84.55799999999999,125.2440000000006,120.51400000000012,176.83899999999994,152.99099999999999,225.7390000000005,,
47.0,0.0,3.9520000000002256,3.0670000000000073,14.204999999999927,27.00799999999981,51.789999999999964,55.07099999999991,58.83100000000013,67.71399999999994,70.64699999999993,80.40200000000004,82.61999999999989,85.75500000000011,125.99499999999989,122.40700000000015,180.89999999999964,154.2479999999996,227.48399999999947,,
