,VER,NOR,PER,LEC,SAI,RUS,ALO,PIA,HAM,HUL,OCO,ALB,GAS,ZHO,STR,MAG,SAR,RIC,TSU,BOT
1.0,0.0,2.9960000000000946,2.4420000000000073,4.960000000000036,5.619000000000142,4.218000000000302,1.6449999999999818,3.593000000000302,9.97400000000016,5.513000000000375,7.369000000000142,7.83600000000024,8.37900000000036,9.143000000000029,6.2020000000002256,9.557999999999993,10.602000000000317,8.727000000000317,9.097000000000207,6.621000000000095
2.0,0.0,4.160000000000309,3.2200000000002547,6.669000000000324,7.631000000000313,5.811000000000149,2.6700000000000728,5.097000000000207,14.006000000000313,9.097000000000207,10.288000000000011,10.890000000000327,11.454999999999927,13.438000000000102,8.425000000000182,13.36200000000008,14.586999999999989,12.094000000000051,12.66800000000012,9.559000000000196
3.0,0.0,4.947999999999865,3.699000000000069,8.264999999999873,9.115999999999985,7.088000000000193,3.16399999999976,6.356999999999971,16.41800000000012,10.949999999999818,12.601000000000113,13.409999999999854,13.972999999999956,16.934999999999945,10.235999999999876,16.047000000000025,17.73700000000008,14.672999999999774,15.309999999999945,11.612999999999829
4.0,0.0,6.304000000000087,4.730000000000018,9.912000000000262,10.688000000000102,8.927999999999884,4.170000000000073,8.030999999999949,18.858000000000175,13.201000000000022,15.0300000000002,15.811999999999898,16.2470000000003,19.846000000000004,12.219000000000051,19.590000000000146,21.390000000000327,17.076000000000022,17.83199999999988,14.072000000000116
5.0,0.0,7.324999999999818,5.435999999999694,11.087999999999738,11.978999999999814,10.19399999999996,6.310999999999694,9.338999999999942,21.437999999999647,15.612999999999829,17.215999999999894,18.284999999999854,18.879999999999654,22.94499999999971,14.28399999999965,22.467999999999847,23.986999999999625,19.605999999999767,20.56999999999971,16.3449999999998
6.0,0.0,8.186999999999898,5.944999999999709,12.26299999999992,13.240999999999985,11.643999999999778,7.527000000000044,10.799999999999727,23.75799999999981,17.84999999999991,19.28099999999995,20.490999999999985,21.22699999999986,26.009999999999764,16.41399999999976,25.2199999999998,26.565999999999804,22.07199999999966,23.091999999999643,18.348999999999705
7.0,0.0,9.471999999999753,6.4099999999998545,13.561999999999898,14.905999999999949,13.114999999999782,10.226000000000113,12.057999999999993,26.695999999999913,20.79300000000012,21.71199999999999,22.733999999999924,23.460999999999785,28.96499999999969,18.55699999999979,28.031999999999698,29.531999999999698,24.751999999999953,25.924999999999727,20.190000000000055
8.0,0.0,10.118000000000393,7.01299999999992,15.421000000000276,16.7470000000003,15.119000000000597,12.248000000000502,13.574999999999818,29.355000000000473,28.7470000000003,24.646999999999935,25.61499999999978,26.222000000000662,37.33300000000054,20.515000000000327,31.161000000000058,32.63500000000022,27.485000000000582,33.24499999999989,22.530000000000655
9.0,0.0,10.65099999999984,7.625999999999294,16.454999999999927,18.391999999999825,17.948999999999614,14.03899999999976,15.39599999999973,36.141999999999825,47.53099999999995,31.781999999999243,32.83099999999922,28.75799999999981,57.391999999999825,27.073999999999614,33.46699999999964,34.71599999999944,29.93499999999949,51.93499999999949,29.35199999999986
10.0,0.0,10.92199999999957,8.041999999999462,17.354999999999563,20.20599999999922,19.751999999999498,15.69799999999941,16.6299999999992,53.6269999999995,47.53599999999915,51.00999999999931,52.90099999999984,30.768999999999323,57.732999999999265,45.375999999999294,35.32299999999941,36.97599999999966,31.81999999999971,52.68199999999979,48.943999999999505
11.0,0.0,11.34900000000016,8.407999999999447,18.081999999999425,22.10399999999936,26.36700000000019,22.344999999999345,18.68499999999949,53.63499999999931,47.55499999999938,51.08100000000013,54.4369999999999,38.090000000000146,58.164999999999964,45.2559999999994,37.47099999999955,39.149999999999636,33.90599999999995,52.873999999999796,48.818999999999505
12.0,0.0,12.037999999999556,9.355999999999767,18.70299999999952,23.388999999999214,43.05199999999968,41.076999999999316,20.341999999999643,54.22099999999955,48.05799999999999,51.555999999999585,55.26999999999953,74.42699999999968,58.774999999999636,45.94699999999921,39.8179999999993,46.90099999999984,35.70299999999952,53.85999999999967,49.49499999999989
13.0,0.0,7.317000000000007,9.695999999999913,14.255999999999403,19.26299999999992,37.310999999999694,36.80699999999979,16.686999999999898,49.62199999999939,43.59299999999985,47.222999999999956,51.35199999999986,68.97199999999975,54.46099999999933,40.89300000000003,37.88199999999961,60.603000000000065,32.1929999999993,50.86499999999978,45.112999999999374
14.0,10.100999999999658,0.0,18.978000000000065,7.094999999999345,13.376999999999498,30.091999999999643,28.777999999999338,10.853000000000065,42.36899999999969,36.74299999999948,40.36200000000008,45.65299999999934,61.891999999999825,48.11399999999958,33.74499999999989,32.86799999999948,52.63000000000011,31.021999999999935,44.402000000000044,38.498999999999796
15.0,7.652000000000044,0.0,16.975999999999658,6.918999999999869,14.128999999999905,29.359999999999673,27.72099999999955,11.457999999999629,42.64300000000003,37.110999999999876,40.67900000000009,46.375,61.53099999999995,49.06800000000021,33.17500000000018,35.29399999999987,52.33100000000013,49.23899999999958,44.65599999999995,38.849999999999454
16.0,5.8419999999996435,0.0,15.73700000000008,7.8530000000000655,15.027000000000044,28.965000000000146,27.199999999999818,17.305999999999585,43.378999999999905,37.8159999999998,41.326999999999316,47.1909999999998,61.84299999999985,50.51299999999992,33.19599999999991,37.146999999999935,52.97699999999986,48.4380000000001,45.389000000000124,39.26999999999953
17.0,3.661000000000058,0.0,16.140000000000327,8.131999999999607,21.1899999999996,28.64099999999962,26.751000000000204,34.88799999999992,43.902000000000044,38.07099999999991,42.17699999999968,48.60899999999947,62.09900000000016,52.0019999999995,33.21699999999964,45.70899999999983,53.55199999999968,47.8149999999996,46.13000000000011,40.175999999999476
18.0,1.73700000000008,0.0,14.345000000000255,8.252000000000407,38.047999999999774,28.13799999999992,25.985999999999876,32.63299999999981,44.47200000000066,39.09600000000046,42.66899999999987,49.6190000000006,61.91700000000037,52.89500000000044,33.65900000000056,64.6190000000006,53.85900000000038,47.363000000000284,46.764000000000124,40.94999999999982
19.0,0.0,0.7820000000001528,12.782000000000153,8.358000000000175,35.935999999999694,27.677999999999884,25.569000000000415,31.389000000000124,45.44999999999982,39.6850000000004,43.337000000000444,50.93000000000029,62.17699999999968,53.84600000000046,34.11700000000019,63.84900000000016,54.57300000000032,47.44200000000001,48.11200000000008,41.32600000000002
20.0,0.0,2.8679999999994834,13.222999999999956,10.318000000000211,36.51599999999962,29.66399999999976,27.1279999999997,31.786000000000058,48.48399999999947,41.79100000000017,45.85499999999956,54.034999999999854,64.32499999999982,56.93499999999949,36.13100000000031,65.07999999999993,57.69499999999971,49.177999999999884,51.20499999999993,8.48700000000008
21.0,0.0,5.944000000000415,19.85900000000038,21.79700000000048,51.83399999999983,41.30400000000009,37.54200000000037,43.837000000000444,70.77300000000014,58.91200000000026,62.909999999999854,74.27300000000014,87.08500000000004,78.42600000000039,54.6220000000003,88.43299999999999,79.32700000000023,68.0590000000002,70.54500000000007,
22.0,0.0,10.293999999999869,19.23700000000008,37.74200000000019,52.3130000000001,40.4409999999998,37.10999999999967,44.89300000000003,85.8739999999998,57.32899999999972,63.77300000000014,73.85499999999956,86.88299999999981,78.01299999999992,71.17199999999957,89.52199999999993,78.72499999999945,67.88799999999992,70.03899999999976,
23.0,0.0,21.032999999999447,18.791000000000167,32.715000000000146,47.482999999999265,40.576999999999316,36.32499999999982,39.33100000000013,81.47199999999975,57.0619999999999,63.44799999999941,72.5069999999996,87.42599999999948,77.6889999999994,65.84599999999955,83.70100000000002,74.72199999999975,62.777000000000044,69.80299999999988,
24.0,0.0,1.2989999999999782,5.010000000000218,3.248000000000502,14.583000000000538,23.140000000000327,18.557999999999993,10.597000000000662,48.280000000000655,41.18000000000029,45.79400000000078,55.9970000000003,71.01500000000033,63.81600000000071,32.39900000000034,50.35900000000038,43.764000000000124,29.1200000000008,52.92700000000059,
25.0,0.0,1.3540000000002692,4.3159999999998035,3.407000000000153,5.992000000000189,9.445999999999913,8.708999999999833,10.619000000000597,18.207000000000335,15.65900000000056,16.965000000000146,22.90099999999984,35.43000000000029,28.72100000000046,14.38299999999981,19.597999999999956,25.467000000000553,12.253000000000611,22.146999999999935,
26.0,0.0,0.8699999999998909,2.1890000000003056,1.7399999999997817,2.4970000000002983,4.041000000000167,3.1159999999999854,4.360999999999876,8.063000000000102,6.028999999999542,7.523000000000138,8.873999999999796,10.516999999999825,9.854999999999563,12.488999999999578,8.302999999999884,9.561999999999898,7.2479999999995925,8.493999999999687,
27.0,0.0,2.378000000000611,4.13799999999992,3.3410000000003492,7.609000000000378,10.295000000000073,6.385000000000218,11.359000000000378,16.375,13.167000000000371,17.11200000000008,18.601000000000568,22.220000000000255,21.137000000000626,126.80000000000018,61.77600000000075,19.64800000000014,14.928000000000793,-47.03899999999976,
28.0,0.0,0.9520000000002256,4.019999999999527,3.088999999999942,6.2719999999999345,8.13799999999992,5.003999999999905,8.972999999999956,12.581999999999425,11.340000000000146,13.342999999999847,14.188999999999396,17.690999999999804,16.80699999999979,113.42399999999998,47.45100000000002,15.146999999999935,10.126000000000204,,
29.0,0.0,1.831000000000131,3.3969999999999345,2.8530000000000655,5.627999999999702,6.793000000000575,4.2520000000004075,8.057999999999993,10.90099999999984,9.918000000000575,11.69000000000051,12.403000000000247,17.485999999999876,16.313000000000102,71.40099999999984,18.685999999999694,13.371000000000095,8.92200000000048,,
30.0,0.0,1.5869999999995343,4.9229999999997744,3.5189999999993233,7.3859999999995125,8.329999999999927,6.233999999999469,9.010999999999513,11.88299999999981,11.161000000000058,12.893999999999323,13.634000000000015,18.255999999999403,17.548999999999978,34.550999999999476,20.16399999999976,14.859999999999673,9.858000000000175,,
31.0,0.0,0.8270000000002256,2.0090000000000146,1.5150000000003274,3.268000000000029,3.813000000000102,2.3209999999999127,4.242000000000189,5.947000000000116,5.532000000000153,6.469000000000051,6.992000000000189,8.756000000000313,8.199000000000524,10.02100000000064,9.19800000000032,7.592999999999847,4.885000000000218,,
32.0,0.0,1.180000000000291,3.1359999999995125,2.4359999999996944,5.0649999999996,5.899000000000342,3.907000000000153,6.654999999999745,8.46100000000024,7.743000000000393,9.766999999999825,10.609000000000378,12.037999999999556,11.596999999999753,12.902000000000044,12.333999999999833,11.173999999999978,10.355999999999767,,
33.0,0.0,1.5249999999996362,4.118000000000393,3.41399999999976,6.707000000000335,7.969000000000051,4.980999999999767,8.97400000000016,10.912000000000262,10.21600000000035,12.297999999999774,13.471999999999753,15.679000000000087,15.936999999999898,16.697000000000116,16.40099999999984,15.25,27.36499999999978,,
34.0,0.0,2.120999999999185,5.2039999999997235,4.548999999999978,8.696999999999207,10.009999999999309,6.006999999999607,11.295999999999367,13.320999999999913,12.653999999999542,14.844000000000051,15.83599999999933,18.774999999999636,19.230999999999767,21.23999999999978,21.492999999999483,18.05699999999979,,,
35.0,0.0,2.449999999999818,6.137000000000626,5.4909999999999854,10.243000000000393,11.738000000000284,7.0590000000001965,12.927999999999884,15.463999999999942,14.923999999999978,17.087999999999738,18.40599999999995,21.087999999999738,21.832000000000335,28.153000000000247,25.34400000000005,20.38799999999992,,,
36.0,0.0,2.7910000000001673,6.992000000000189,6.441000000000713,12.033000000000357,13.40900000000056,8.872000000000298,15.603000000000065,17.928000000000793,17.322000000000116,19.457000000000335,20.96100000000024,23.574000000000524,24.289999999999964,59.90400000000045,27.817000000000007,23.08100000000013,,,
37.0,0.0,3.2899999999999636,8.195999999999913,7.680000000000291,13.957999999999629,15.295000000000073,10.470999999999549,18.252000000000407,20.341999999999643,19.64800000000014,22.016999999999825,23.421000000000276,25.84400000000005,27.22699999999986,60.54699999999957,30.435999999999694,26.710000000000036,,,
38.0,0.0,3.7150000000001455,9.40900000000056,8.88300000000072,15.706000000000131,16.89100000000053,11.735000000000582,20.343000000000757,22.46100000000024,21.791000000000167,24.293000000000575,25.65400000000045,33.337000000000444,29.682999999999993,61.14100000000053,32.94100000000071,30.202000000000226,,,
39.0,0.0,4.47400000000016,10.076000000000022,10.930000000000291,17.46100000000024,18.261000000000422,13.44000000000051,23.097000000000662,24.832000000000335,24.317000000000007,26.864000000000487,28.25300000000061,52.83399999999983,32.69000000000051,62.038000000000466,35.47900000000027,33.806000000000495,,,
